mean fitness,best fitness,population size
185.887619,746.132629,382
307.998953,924.257324,380
415.802900,924.257324,378
510.120267,924.257324,376
593.774848,1071.437378,374
606.118148,1071.437378,372
638.011354,1134.320557,370
673.515959,1134.320557,368
713.195463,1166.790283,366
711.145317,1134.320557,364
703.011440,1139.903687,362
753.868942,1166.790283,360
773.265350,1166.790283,358
775.686817,1166.790283,356
784.490779,1166.790283,354
785.018134,1166.790283,352
776.917892,1166.790283,350
765.912108,1166.790283,348
798.356160,1166.790283,346
804.676554,1166.790283,344
755.856838,1166.790283,342
762.234460,1166.790283,340
802.501919,1166.790283,338
799.844866,1166.790283,336
795.271560,1166.790283,334
809.310364,1166.790283,332
816.106676,1166.790283,330
800.896803,1166.790283,328
807.618364,1166.790283,326
763.453864,1166.790283,324
788.130711,1166.790283,322
819.992193,1166.790283,320
801.154665,1166.790283,318
806.612640,1166.790283,316
792.314924,1166.790283,314
829.584755,1166.790283,312
796.660947,1166.790283,310
821.229591,1185.105347,308
806.032290,1166.790283,306
765.371061,1166.790283,304
