candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.229887
began: 2023-Apr-21 16:17:28
it: 0, best value: -16.8392, curr value: -16.8392, tabu list size: 1
it: 1, best value: 109.074, curr value: 109.074, tabu list size: 2
it: 2, best value: 126.503, curr value: 126.503, tabu list size: 3
it: 3, best value: 152.915, curr value: 152.915, tabu list size: 4
it: 4, best value: 227.915, curr value: 227.915, tabu list size: 5
it: 5, best value: 227.915, curr value: 227.915, tabu list size: 6
it: 6, best value: 257.463, curr value: 257.463, tabu list size: 7
it: 7, best value: 269.16, curr value: 269.16, tabu list size: 8
it: 8, best value: 288.121, curr value: 288.121, tabu list size: 9
it: 9, best value: 308.519, curr value: 308.519, tabu list size: 10
it: 10, best value: 310.135, curr value: 310.135, tabu list size: 11
it: 11, best value: 314.337, curr value: 314.337, tabu list size: 12
it: 12, best value: 314.376, curr value: 314.376, tabu list size: 13
it: 13, best value: 314.376, curr value: 314.337, tabu list size: 14
it: 14, best value: 314.376, curr value: 313.877, tabu list size: 15
it: 15, best value: 314.376, curr value: 312.686, tabu list size: 16
it: 16, best value: 314.376, curr value: 310.742, tabu list size: 17
it: 17, best value: 314.376, curr value: 307.996, tabu list size: 18
it: 18, best value: 314.376, curr value: 313.156, tabu list size: 18
it: 19, best value: 328.089, curr value: 328.089, tabu list size: 19
it: 20, best value: 355.469, curr value: 355.469, tabu list size: 20
it: 21, best value: 355.469, curr value: 347.462, tabu list size: 21
it: 22, best value: 355.469, curr value: 355.469, tabu list size: 22
it: 23, best value: 355.469, curr value: 343.656, tabu list size: 23
it: 24, best value: 355.469, curr value: 333.108, tabu list size: 24
it: 25, best value: 355.469, curr value: 332.623, tabu list size: 25
it: 26, best value: 355.469, curr value: 320.953, tabu list size: 26
it: 27, best value: 355.469, curr value: 297.296, tabu list size: 27
it: 28, best value: 355.469, curr value: 355.469, tabu list size: 28
it: 29, best value: 355.469, curr value: 355.469, tabu list size: 28
it: 30, best value: 355.469, curr value: 338.801, tabu list size: 29
it: 31, best value: 355.469, curr value: 319.706, tabu list size: 30
it: 32, best value: 355.469, curr value: 329.547, tabu list size: 30
it: 33, best value: 355.469, curr value: 329.547, tabu list size: 30
it: 34, best value: 355.469, curr value: 355.469, tabu list size: 30
it: 35, best value: 355.469, curr value: 324.975, tabu list size: 30
it: 36, best value: 355.469, curr value: 347.462, tabu list size: 30
it: 37, best value: 355.469, curr value: 347.462, tabu list size: 30
it: 38, best value: 355.469, curr value: 324.975, tabu list size: 30
it: 39, best value: 355.469, curr value: 323.192, tabu list size: 30
it: 40, best value: 355.469, curr value: 313.779, tabu list size: 30
it: 41, best value: 355.469, curr value: 325.667, tabu list size: 30
it: 42, best value: 355.469, curr value: 316.151, tabu list size: 30
it: 43, best value: 355.469, curr value: 327.573, tabu list size: 30
it: 44, best value: 355.469, curr value: 329.775, tabu list size: 30
it: 45, best value: 355.469, curr value: 328.986, tabu list size: 30
it: 46, best value: 355.469, curr value: 329.775, tabu list size: 30
it: 47, best value: 355.469, curr value: 319.194, tabu list size: 30
it: 48, best value: 355.469, curr value: 329.775, tabu list size: 30
it: 49, best value: 355.469, curr value: 329.775, tabu list size: 29
it: 50, best value: 355.469, curr value: 329.121, tabu list size: 29
it: 51, best value: 355.469, curr value: 327.573, tabu list size: 29
it: 52, best value: 355.469, curr value: 325.667, tabu list size: 29
it: 53, best value: 355.469, curr value: 325.667, tabu list size: 29
it: 54, best value: 355.469, curr value: 320.158, tabu list size: 29
it: 55, best value: 355.469, curr value: 348.215, tabu list size: 29
it: 56, best value: 355.469, curr value: 355.469, tabu list size: 29
it: 57, best value: 355.469, curr value: 347.462, tabu list size: 29
it: 58, best value: 355.469, curr value: 355.469, tabu list size: 29
it: 59, best value: 355.469, curr value: 343.656, tabu list size: 29
it: 60, best value: 355.469, curr value: 333.108, tabu list size: 29
it: 61, best value: 355.469, curr value: 332.623, tabu list size: 30
it: 62, best value: 355.469, curr value: 332.623, tabu list size: 29
it: 63, best value: 355.469, curr value: 320.953, tabu list size: 29
it: 64, best value: 355.469, curr value: 297.296, tabu list size: 29
it: 65, best value: 355.469, curr value: 355.469, tabu list size: 29
it: 66, best value: 355.469, curr value: 355.469, tabu list size: 30
it: 67, best value: 355.469, curr value: 338.801, tabu list size: 30
it: 68, best value: 355.469, curr value: 329.547, tabu list size: 30
it: 69, best value: 355.469, curr value: 319.706, tabu list size: 30
it: 70, best value: 355.469, curr value: 319.706, tabu list size: 30
it: 71, best value: 355.469, curr value: 309.823, tabu list size: 30
it: 72, best value: 355.469, curr value: 308.407, tabu list size: 30
it: 73, best value: 355.469, curr value: 320.946, tabu list size: 30
it: 74, best value: 355.469, curr value: 324.201, tabu list size: 30
it: 75, best value: 355.469, curr value: 324.201, tabu list size: 29
it: 76, best value: 355.469, curr value: 324.201, tabu list size: 28
it: 77, best value: 355.469, curr value: 324.201, tabu list size: 27
it: 78, best value: 355.469, curr value: 320.946, tabu list size: 27
it: 79, best value: 355.469, curr value: 317.147, tabu list size: 27
it: 80, best value: 355.469, curr value: 324.201, tabu list size: 27
it: 81, best value: 355.469, curr value: 317.147, tabu list size: 28
it: 82, best value: 355.469, curr value: 319.861, tabu list size: 28
it: 83, best value: 355.469, curr value: 317.147, tabu list size: 28
it: 84, best value: 355.469, curr value: 317.147, tabu list size: 27
it: 85, best value: 355.469, curr value: 313.156, tabu list size: 27
it: 86, best value: 355.469, curr value: 320.946, tabu list size: 27
it: 87, best value: 355.469, curr value: 328.089, tabu list size: 27
