time,entry level 1,entry level 2,entry level 3
1503291540,264.192108,261.401337,255.819824
1503293340,264.539978,261.745544,256.156677
1503295140,265.031097,262.231506,256.632233
1503296940,265.857208,263.048859,257.432159
1503298740,266.760223,263.942352,258.306549
1503300540,267.533478,264.707397,259.055298
1503302340,268.198364,265.365295,259.699127
1503304140,268.877563,266.037292,260.356781
1503305940,269.573669,266.726074,261.030853
1503307740,270.192566,267.338409,261.630127
1503309540,270.826172,267.965332,262.243652
1503311340,271.572845,268.704132,262.966675
1503313140,272.321198,269.444580,263.691315
1503314940,273.029297,270.145203,264.376984
1503316740,273.848663,270.955902,265.170349
1503318540,274.853363,271.949982,266.143219
1503320340,275.851562,272.937653,267.109772
1503322140,276.998962,274.072937,268.220825
1503323940,278.342102,275.401886,269.521393
1503325740,279.631500,276.677673,270.769958
1503327540,280.704041,277.738861,271.808502
1503329340,281.775543,278.799042,272.846039
1503331140,282.921997,279.933380,273.956177
1503332940,284.169800,281.168030,275.164429
1503334740,285.476959,282.461365,276.430176
1503336540,286.765656,283.736450,277.678009
1503338340,287.937469,284.895905,278.812714
1503340140,288.941467,285.889282,279.784882
1503341940,289.662231,286.602448,280.482819
1503343740,290.412415,287.344696,281.209198
1503345540,291.034149,287.959839,281.811249
1503347340,291.272491,288.195679,282.042023
1503349140,291.305939,288.228760,282.074432
1503350940,291.345795,288.268219,282.113007
1503352740,291.499146,288.419922,282.261475
1503354540,291.645081,288.564331,282.402832
1503356340,291.679077,288.597992,282.435730
1503358140,291.724823,288.643219,282.480011
1503359940,291.834625,288.751892,282.586365
1503361740,291.876801,288.793610,282.627197
1503363540,291.987579,288.903198,282.734436
1503365340,292.083130,288.997772,282.826996
1503367140,291.761353,288.679352,282.515381
1503368940,291.146362,288.070862,281.919891
1503370740,290.600220,287.530518,281.391052
1503372540,289.852814,286.791016,280.667358
1503374340,288.449463,285.402466,279.308472
1503376140,284.814270,281.805695,275.788483
1503377940,283.581360,280.585785,274.594635
1503379740,282.339355,279.356903,273.391968
1503381540,280.998901,278.030609,272.093994
1503383340,279.676605,276.722290,270.813629
1503385140,278.723267,275.778992,269.890472
1503386940,277.501129,274.569794,268.707062
1503388740,276.346741,273.427582,267.589264
1503390540,275.323669,272.415314,266.598602
1503392340,274.507477,271.607758,265.808289
1503394140,273.737976,270.846375,265.063171
1503395940,273.039062,270.154846,264.386414
1503397740,272.410370,269.532806,263.777649
1503399540,271.968445,269.095520,263.349731
1503401340,271.597015,268.728058,262.990082
1503403140,271.183868,268.319244,262.590027
1503404940,270.699158,267.839661,262.120667
1503406740,270.337799,267.482147,261.770782
1503408540,269.984070,267.132141,261.428253
1503410340,269.591125,266.743317,261.047729
1503412140,269.104492,266.261841,260.576538
1503413940,268.494171,265.657990,259.985565
1503415740,268.011688,265.180573,259.518372
1503417540,267.840454,265.011139,259.352539
1503419340,267.745270,264.916992,259.260406
1503421140,267.811920,264.982910,259.324921
1503422940,268.005035,265.174011,259.511902
1503424740,268.514313,265.677887,260.005066
1503426540,271.324280,268.458191,262.725983
1503428340,271.861145,268.989380,263.245819
1503430140,272.410522,269.532959,263.777802
1503431940,273.004974,270.121124,264.353424
1503433740,273.427185,270.538879,264.762238
1503435540,273.491455,270.602448,264.824463
1503437340,273.774017,270.882050,265.098083
1503439140,274.059296,271.164307,265.374298
1503440940,274.403351,271.504730,265.707458
1503442740,274.774689,271.872131,266.067017
1503444540,274.921814,272.017731,266.209503
1503446340,274.982056,272.077301,266.267822
1503448140,275.052582,272.147095,266.336121
1503449940,275.073181,272.167480,266.356079
1503451740,275.124756,272.218506,266.406036
1503453540,275.244171,272.336670,266.521667
1503455340,275.417389,272.508057,266.689392
1503457140,275.552032,272.641266,266.819733
1503458940,275.826843,272.913177,267.085846
1503460740,276.119385,273.202637,267.369141
1503462540,276.506714,273.585876,267.744202
1503464340,277.088104,274.161133,268.307159
1503466140,277.484802,274.553619,268.691254
1503467940,277.835663,274.900787,269.031036
1503469740,278.131866,275.193878,269.317841
1503471540,278.268250,275.328796,269.449890
1503473340,278.340759,275.400543,269.520111
1503475140,278.561829,275.619293,269.734192
1503476940,278.778076,275.833252,269.943573
1503478740,279.044342,276.096680,270.201385
1503480540,279.369232,276.418152,270.515991
1503482340,279.730164,276.775269,270.865479
1503484140,280.151337,277.191986,271.273315
1503485940,280.504364,277.541290,271.615143
1503487740,280.840881,277.874268,271.941010
1503489540,281.212677,278.242126,272.301025
1503491340,281.471344,278.498047,272.551483
1503493140,281.645569,278.670471,272.720184
1503494940,281.856598,278.879242,272.924530
1503496740,282.040436,279.061157,273.102539
1503498540,282.169525,279.188873,273.227539
1503500340,282.335602,279.353210,273.388367
1503502140,282.513977,279.529694,273.561066
1503503940,282.652344,279.666595,273.695038
1503505740,282.767944,279.780975,273.807007
1503507540,282.892914,279.904633,273.928009
1503509340,282.948456,279.959595,273.981781
1503511140,282.978973,279.989777,274.011322
