mean fitness,best fitness,population size
165.917726,675.017029,386
325.539764,731.718323,388
380.692078,790.186951,390
417.586550,790.186951,392
455.775713,848.875427,394
471.024584,848.875427,396
507.740164,848.875427,398
506.713159,857.919128,400
512.847176,874.534973,402
528.952145,874.534973,404
554.084869,879.776306,406
534.142671,889.502014,408
557.804105,889.502014,410
561.587762,892.397705,412
576.985432,892.397705,414
605.975321,892.397705,416
601.462987,892.397705,418
582.082261,892.397705,420
586.761832,892.397705,422
598.431299,894.539124,424
599.975015,898.176392,426
623.543540,898.176392,428
626.727936,898.176392,430
617.883386,898.176392,432
611.176307,898.176392,434
628.331614,909.363770,436
613.490284,929.544128,438
638.599876,929.544128,440
628.023765,929.544128,442
647.028704,929.544128,444
636.936425,940.945496,446
636.782966,940.945496,448
619.273290,940.945496,450
658.034720,940.945496,452
678.987108,942.438416,454
667.330481,942.438416,456
692.191273,942.438416,458
668.458440,942.438416,460
660.018784,942.438416,462
679.250164,942.438416,464
