candles read:
from: 2019-Feb-28 04:00:00
to: 2023-Apr-11 16:27:00
difference: 1503d 12:27:00.000000
count: 2160979
duration: 2.194888
began: 2023-Apr-20 10:11:27
it: 0, temperature: 94, curr value: -36.821, best value: 136.169
it: 97, temperature: 16.8309, curr value: 215.627, best value: 268.348
it: 98, temperature: 16.8004, curr value: 231.305, best value: 268.348
it: 99, temperature: 16.7702, curr value: 211.943, best value: 268.348
it: 100, temperature: 16.7405, curr value: 208.363, best value: 268.348
it: 101, temperature: 16.7112, curr value: 188.336, best value: 268.348
it: 102, temperature: 16.6823, curr value: 179.828, best value: 268.348
it: 103, temperature: 16.6537, curr value: 184.811, best value: 268.348
it: 104, temperature: 16.6255, curr value: 212.706, best value: 268.348
it: 105, temperature: 16.5977, curr value: 199.495, best value: 268.348
it: 106, temperature: 16.5702, curr value: 198.601, best value: 268.348
it: 107, temperature: 16.5431, curr value: 208.385, best value: 268.348
it: 108, temperature: 16.5163, curr value: 204.168, best value: 268.348
it: 109, temperature: 16.4898, curr value: 228.336, best value: 268.348
it: 110, temperature: 16.4637, curr value: 200.939, best value: 268.348
it: 111, temperature: 16.4379, curr value: 219.843, best value: 268.348
it: 112, temperature: 16.4124, curr value: 213.672, best value: 268.348
it: 113, temperature: 16.3872, curr value: 213.672, best value: 268.348
it: 114, temperature: 16.3622, curr value: 252.082, best value: 268.348
it: 115, temperature: 16.3376, curr value: 244.456, best value: 268.348
it: 116, temperature: 16.3133, curr value: 216.961, best value: 268.348
it: 117, temperature: 16.2892, curr value: 199.93, best value: 268.348
it: 118, temperature: 16.2654, curr value: 216.961, best value: 268.348
it: 119, temperature: 16.2419, curr value: 216.961, best value: 268.348
it: 120, temperature: 16.2187, curr value: 264.683, best value: 268.348
it: 121, temperature: 16.1957, curr value: 233.036, best value: 268.348
it: 122, temperature: 16.1729, curr value: 241.841, best value: 268.348
it: 123, temperature: 16.1504, curr value: 237.557, best value: 268.348
it: 124, temperature: 16.1282, curr value: 259.293, best value: 268.348
it: 125, temperature: 16.1061, curr value: 259.293, best value: 268.348
it: 126, temperature: 16.0844, curr value: 212.26, best value: 268.348
it: 127, temperature: 16.0628, curr value: 250.901, best value: 268.348
it: 128, temperature: 16.0415, curr value: 234.454, best value: 268.348
it: 129, temperature: 16.0204, curr value: 234.454, best value: 268.348
it: 130, temperature: 15.9995, curr value: 201.605, best value: 268.348
it: 131, temperature: 15.9788, curr value: 219.378, best value: 268.348
it: 132, temperature: 15.9583, curr value: 206.989, best value: 268.348
it: 133, temperature: 15.938, curr value: 184.207, best value: 268.348
it: 134, temperature: 15.918, curr value: 226.534, best value: 268.348
it: 135, temperature: 15.8981, curr value: 235.546, best value: 268.348
it: 136, temperature: 15.8784, curr value: 230.232, best value: 268.348
