candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.232060
began: 2023-Apr-21 15:59:45
it: 0, best value: -52.375, curr value: -52.375, tabu list size: 1
it: 1, best value: -51.968, curr value: -51.968, tabu list size: 2
it: 2, best value: -51.968, curr value: -51.968, tabu list size: 3
it: 3, best value: -50.4511, curr value: -50.4511, tabu list size: 4
it: 4, best value: -48.6698, curr value: -48.6698, tabu list size: 5
it: 5, best value: -48.6698, curr value: -48.6698, tabu list size: 6
it: 6, best value: -47.8838, curr value: -47.8838, tabu list size: 7
it: 7, best value: -45.4647, curr value: -45.4647, tabu list size: 8
it: 8, best value: -44.8444, curr value: -44.8444, tabu list size: 9
it: 9, best value: -44.8444, curr value: -44.8444, tabu list size: 10
it: 10, best value: -44.8444, curr value: -48.3311, tabu list size: 11
it: 11, best value: -44.8444, curr value: -44.8444, tabu list size: 12
it: 12, best value: -44.8444, curr value: -50.2789, tabu list size: 13
it: 13, best value: -44.403, curr value: -44.403, tabu list size: 14
it: 14, best value: -44.403, curr value: -44.6528, tabu list size: 15
it: 15, best value: -44.403, curr value: -44.403, tabu list size: 16
it: 16, best value: -44.403, curr value: -44.403, tabu list size: 16
it: 17, best value: -44.403, curr value: -45.454, tabu list size: 17
it: 18, best value: -44.403, curr value: -44.6528, tabu list size: 17
it: 19, best value: -44.403, curr value: -46.0331, tabu list size: 18
it: 20, best value: -43.0413, curr value: -43.0413, tabu list size: 19
it: 21, best value: -43.0413, curr value: -43.0413, tabu list size: 19
it: 22, best value: -43.0171, curr value: -43.0171, tabu list size: 20
it: 23, best value: -43.0171, curr value: -43.0893, tabu list size: 21
it: 24, best value: -42.8984, curr value: -42.8984, tabu list size: 22
it: 25, best value: -42.8984, curr value: -43.3073, tabu list size: 23
it: 26, best value: -42.8984, curr value: -42.8984, tabu list size: 24
it: 27, best value: -42.8984, curr value: -43.8403, tabu list size: 25
it: 28, best value: -42.8984, curr value: -43.748, tabu list size: 26
it: 29, best value: -42.8984, curr value: -43.5822, tabu list size: 27
it: 30, best value: -42.8984, curr value: -43.9417, tabu list size: 28
it: 31, best value: -42.8984, curr value: -44.0393, tabu list size: 29
it: 32, best value: -42.8984, curr value: -44.0393, tabu list size: 30
it: 33, best value: -42.8984, curr value: -44.0393, tabu list size: 31
it: 34, best value: -42.8984, curr value: -44.0393, tabu list size: 32
it: 35, best value: -42.8984, curr value: -43.748, tabu list size: 32
it: 36, best value: -42.8984, curr value: -44.0393, tabu list size: 33
it: 37, best value: -42.8984, curr value: -44.1445, tabu list size: 34
it: 38, best value: -42.8984, curr value: -44.7151, tabu list size: 35
it: 39, best value: 217.702, curr value: 217.702, tabu list size: 36
it: 40, best value: 222.254, curr value: 222.254, tabu list size: 37
it: 41, best value: 229.129, curr value: 229.129, tabu list size: 38
it: 42, best value: 297.431, curr value: 297.431, tabu list size: 39
it: 43, best value: 359.801, curr value: 359.801, tabu list size: 40
it: 44, best value: 450.849, curr value: 450.849, tabu list size: 41
it: 45, best value: 466.787, curr value: 466.787, tabu list size: 42
it: 46, best value: 466.787, curr value: 459.426, tabu list size: 43
it: 47, best value: 468.128, curr value: 468.128, tabu list size: 44
it: 48, best value: 499.879, curr value: 499.879, tabu list size: 45
it: 49, best value: 514.587, curr value: 514.587, tabu list size: 46
it: 50, best value: 520.908, curr value: 520.908, tabu list size: 47
it: 51, best value: 572.831, curr value: 572.831, tabu list size: 48
it: 52, best value: 578.328, curr value: 578.328, tabu list size: 49
it: 53, best value: 588.569, curr value: 588.569, tabu list size: 50
it: 54, best value: 596.505, curr value: 596.505, tabu list size: 51
it: 55, best value: 617.318, curr value: 617.318, tabu list size: 52
it: 56, best value: 672.538, curr value: 672.538, tabu list size: 53
it: 57, best value: 688.814, curr value: 688.814, tabu list size: 54
it: 58, best value: 700.794, curr value: 700.794, tabu list size: 55
it: 59, best value: 700.794, curr value: 672.416, tabu list size: 56
it: 60, best value: 700.794, curr value: 700.794, tabu list size: 57
it: 61, best value: 700.794, curr value: 672.538, tabu list size: 58
it: 62, best value: 700.794, curr value: 672.538, tabu list size: 58
it: 63, best value: 700.794, curr value: 672.538, tabu list size: 58
it: 64, best value: 700.794, curr value: 666.558, tabu list size: 59
it: 65, best value: 700.794, curr value: 627.946, tabu list size: 60
it: 66, best value: 700.794, curr value: 598.546, tabu list size: 61
it: 67, best value: 700.794, curr value: 562.027, tabu list size: 62
it: 68, best value: 700.794, curr value: 498.824, tabu list size: 63
it: 69, best value: 700.794, curr value: 623.471, tabu list size: 64
it: 70, best value: 700.794, curr value: 547.4, tabu list size: 65
it: 71, best value: 700.794, curr value: 623.471, tabu list size: 66
it: 72, best value: 700.794, curr value: 568.79, tabu list size: 67
it: 73, best value: 700.794, curr value: 619.29, tabu list size: 68
it: 74, best value: 700.794, curr value: 658.293, tabu list size: 69
it: 75, best value: 700.794, curr value: 588.823, tabu list size: 70
it: 76, best value: 700.794, curr value: 431.026, tabu list size: 71
it: 77, best value: 700.794, curr value: 569.56, tabu list size: 72
it: 78, best value: 700.794, curr value: 592.454, tabu list size: 73
