candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.156633
began: 2023-Apr-21 14:31:58
it: 0, best value: -58.7307, curr value: -58.7307, tabu list size: 1
it: 1, best value: -31.8475, curr value: -31.8475, tabu list size: 2
it: 2, best value: 235.203, curr value: 235.203, tabu list size: 3
it: 3, best value: 235.203, curr value: 235.203, tabu list size: 4
it: 4, best value: 374.275, curr value: 374.275, tabu list size: 5
it: 5, best value: 421.142, curr value: 421.142, tabu list size: 6
it: 6, best value: 463.468, curr value: 463.468, tabu list size: 7
it: 7, best value: 463.468, curr value: 463.468, tabu list size: 8
it: 8, best value: 530.754, curr value: 530.754, tabu list size: 9
it: 9, best value: 530.754, curr value: 483.651, tabu list size: 10
it: 10, best value: 535.469, curr value: 535.469, tabu list size: 11
it: 11, best value: 575.687, curr value: 575.687, tabu list size: 12
it: 12, best value: 582.328, curr value: 582.328, tabu list size: 13
it: 13, best value: 582.328, curr value: 571.492, tabu list size: 14
it: 14, best value: 582.328, curr value: 582.328, tabu list size: 15
it: 15, best value: 582.328, curr value: 574.107, tabu list size: 16
it: 16, best value: 582.328, curr value: 562.399, tabu list size: 17
it: 17, best value: 582.328, curr value: 526.409, tabu list size: 18
it: 18, best value: 582.328, curr value: 518.506, tabu list size: 19
it: 19, best value: 582.328, curr value: 503.209, tabu list size: 20
it: 20, best value: 582.328, curr value: 526.409, tabu list size: 20
it: 21, best value: 582.328, curr value: 511.724, tabu list size: 21
it: 22, best value: 582.328, curr value: 467.218, tabu list size: 22
it: 23, best value: 582.328, curr value: 511.724, tabu list size: 23
it: 24, best value: 582.328, curr value: 467.751, tabu list size: 24
it: 25, best value: 582.328, curr value: 467.751, tabu list size: 24
it: 26, best value: 582.328, curr value: 435.186, tabu list size: 25
it: 27, best value: 582.328, curr value: 538.756, tabu list size: 26
it: 28, best value: 582.328, curr value: 529.981, tabu list size: 27
it: 29, best value: 582.328, curr value: 534.45, tabu list size: 28
it: 30, best value: 582.328, curr value: 494.218, tabu list size: 29
it: 31, best value: 582.328, curr value: 548.389, tabu list size: 30
it: 32, best value: 587.352, curr value: 587.352, tabu list size: 31
it: 33, best value: 587.352, curr value: 565.444, tabu list size: 32
it: 34, best value: 587.352, curr value: 587.352, tabu list size: 33
it: 35, best value: 587.352, curr value: 550.258, tabu list size: 34
