candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.430015
began: 2023-Apr-20 08:09:05
it: 94, temperature: 18.0054, curr value: 81.6748, best value: 107.489
it: 95, temperature: 17.9716, curr value: 48.2247, best value: 107.489
it: 96, temperature: 17.9381, curr value: 40.5103, best value: 107.489
it: 97, temperature: 17.9052, curr value: 37.8223, best value: 107.489
it: 98, temperature: 17.8727, curr value: 49.1242, best value: 107.489
it: 99, temperature: 17.8407, curr value: 70.3603, best value: 107.489
it: 100, temperature: 17.8091, curr value: 70.8018, best value: 107.489
it: 101, temperature: 17.7779, curr value: 69.3587, best value: 107.489
it: 102, temperature: 17.7471, curr value: 72.6202, best value: 107.489
it: 103, temperature: 17.7167, curr value: 67.3927, best value: 107.489
it: 104, temperature: 17.6867, curr value: 61.5747, best value: 107.489
it: 105, temperature: 17.6571, curr value: 62.024, best value: 107.489
it: 106, temperature: 17.6279, curr value: 57.2602, best value: 107.489
it: 107, temperature: 17.599, curr value: 62.1479, best value: 107.489
it: 108, temperature: 17.5705, curr value: 62.1479, best value: 107.489
it: 109, temperature: 17.5424, curr value: 62.4594, best value: 107.489
it: 110, temperature: 17.5146, curr value: 90.3562, best value: 107.489
it: 111, temperature: 17.4871, curr value: 46.667, best value: 107.489
it: 112, temperature: 17.46, curr value: 46.4748, best value: 107.489
it: 113, temperature: 17.4331, curr value: 33.1899, best value: 107.489
it: 114, temperature: 17.4066, curr value: 66.7341, best value: 107.489
it: 115, temperature: 17.3805, curr value: 58.6449, best value: 107.489
it: 116, temperature: 17.3546, curr value: 58.6449, best value: 107.489
it: 117, temperature: 17.329, curr value: 34.9149, best value: 107.489
it: 118, temperature: 17.3037, curr value: 37.3961, best value: 107.489
it: 119, temperature: 17.2786, curr value: 30.5785, best value: 107.489
it: 120, temperature: 17.2539, curr value: -54.122, best value: 107.489
it: 121, temperature: 17.2294, curr value: -61.4045, best value: 107.489
it: 122, temperature: 17.2052, curr value: 44.5332, best value: 107.489
it: 123, temperature: 17.1813, curr value: 63.4582, best value: 107.489
it: 124, temperature: 17.1576, curr value: 71.4831, best value: 107.489
