candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 3.954861
began: 2023-Apr-21 15:00:51
it: 0, best value: -55.2193, curr value: -55.2193, tabu list size: 1
it: 1, best value: -50.3618, curr value: -50.3618, tabu list size: 2
it: 2, best value: -50.3618, curr value: -50.3618, tabu list size: 3
it: 3, best value: -49.3471, curr value: -49.3471, tabu list size: 4
it: 4, best value: -43.1319, curr value: -43.1319, tabu list size: 5
it: 5, best value: -38.1292, curr value: -38.1292, tabu list size: 6
it: 6, best value: -37.1856, curr value: -37.1856, tabu list size: 7
it: 7, best value: -37.1856, curr value: -37.1856, tabu list size: 8
it: 8, best value: -37.1856, curr value: -38.1292, tabu list size: 8
it: 9, best value: -37.1856, curr value: -37.1856, tabu list size: 8
it: 10, best value: -37.1856, curr value: -38.1292, tabu list size: 8
it: 11, best value: -37.1856, curr value: -38.1292, tabu list size: 8
it: 12, best value: -37.1856, curr value: -37.1856, tabu list size: 8
it: 13, best value: -37.1856, curr value: -38.6348, tabu list size: 9
it: 14, best value: -37.1856, curr value: -38.6927, tabu list size: 10
it: 15, best value: -37.1856, curr value: -38.9432, tabu list size: 11
it: 16, best value: -37.1856, curr value: -39.8438, tabu list size: 12
it: 17, best value: -26.5397, curr value: -26.5397, tabu list size: 13
it: 18, best value: -22.0683, curr value: -22.0683, tabu list size: 14
it: 19, best value: 277.782, curr value: 277.782, tabu list size: 15
it: 20, best value: 305.418, curr value: 305.418, tabu list size: 16
it: 21, best value: 308.473, curr value: 308.473, tabu list size: 17
it: 22, best value: 336.648, curr value: 336.648, tabu list size: 18
it: 23, best value: 336.827, curr value: 336.827, tabu list size: 19
it: 24, best value: 336.827, curr value: 336.827, tabu list size: 19
it: 25, best value: 336.827, curr value: 331.592, tabu list size: 20
it: 26, best value: 336.827, curr value: 336.827, tabu list size: 21
it: 27, best value: 336.827, curr value: 329.306, tabu list size: 22
it: 28, best value: 336.827, curr value: 332.888, tabu list size: 23
it: 29, best value: 336.827, curr value: 325.52, tabu list size: 24
it: 30, best value: 336.827, curr value: 282.467, tabu list size: 24
it: 31, best value: 336.827, curr value: 256.591, tabu list size: 25
it: 32, best value: 336.827, curr value: 321.137, tabu list size: 25
it: 33, best value: 349.324, curr value: 349.324, tabu list size: 25
it: 34, best value: 358.921, curr value: 358.921, tabu list size: 25
it: 35, best value: 358.921, curr value: 358.921, tabu list size: 25
it: 36, best value: 358.921, curr value: 338.613, tabu list size: 25
it: 37, best value: 358.921, curr value: 358.921, tabu list size: 26
it: 38, best value: 358.921, curr value: 332.358, tabu list size: 27
it: 39, best value: 358.921, curr value: 313.131, tabu list size: 27
it: 40, best value: 358.921, curr value: 338.613, tabu list size: 28
it: 41, best value: 358.921, curr value: 338.613, tabu list size: 29
it: 42, best value: 358.921, curr value: 318.557, tabu list size: 30
it: 43, best value: 358.921, curr value: 313.131, tabu list size: 31
it: 44, best value: 358.921, curr value: 332.358, tabu list size: 31
it: 45, best value: 358.921, curr value: 308.166, tabu list size: 31
it: 46, best value: 358.921, curr value: 318.557, tabu list size: 31
it: 47, best value: 358.921, curr value: 308.166, tabu list size: 31
it: 48, best value: 358.921, curr value: 332.358, tabu list size: 30
it: 49, best value: 358.921, curr value: 338.613, tabu list size: 30
it: 50, best value: 358.921, curr value: 316.701, tabu list size: 30
it: 51, best value: 358.921, curr value: 316.701, tabu list size: 29
it: 52, best value: 358.921, curr value: 291.764, tabu list size: 29
it: 53, best value: 358.921, curr value: 281.84, tabu list size: 29
it: 54, best value: 358.921, curr value: 324.695, tabu list size: 29
it: 55, best value: 358.921, curr value: 314.201, tabu list size: 29
it: 56, best value: 358.921, curr value: 296.617, tabu list size: 30
it: 57, best value: 358.921, curr value: 296.617, tabu list size: 29
it: 58, best value: 358.921, curr value: 264.323, tabu list size: 29
it: 59, best value: 358.921, curr value: 227.947, tabu list size: 29
it: 60, best value: 358.921, curr value: 264.323, tabu list size: 28
it: 61, best value: 358.921, curr value: 264.323, tabu list size: 27
it: 62, best value: 358.921, curr value: 224.632, tabu list size: 27
it: 63, best value: 358.921, curr value: 339.186, tabu list size: 26
it: 64, best value: 358.921, curr value: 305.474, tabu list size: 26
it: 65, best value: 358.921, curr value: 339.186, tabu list size: 27
it: 66, best value: 358.921, curr value: 271.013, tabu list size: 27
it: 67, best value: 359.81, curr value: 359.81, tabu list size: 27
it: 68, best value: 359.81, curr value: 359.81, tabu list size: 27
it: 69, best value: 359.81, curr value: 285.451, tabu list size: 27
it: 70, best value: 359.81, curr value: 241.557, tabu list size: 27
it: 71, best value: 359.81, curr value: 352.604, tabu list size: 27
it: 72, best value: 370.685, curr value: 370.685, tabu list size: 27
it: 73, best value: 370.685, curr value: 324.928, tabu list size: 27
it: 74, best value: 370.685, curr value: 352.204, tabu list size: 27
it: 75, best value: 370.685, curr value: 352.204, tabu list size: 27
it: 76, best value: 370.685, curr value: 308.675, tabu list size: 27
it: 77, best value: 370.685, curr value: 289.401, tabu list size: 27
it: 78, best value: 370.685, curr value: 319.651, tabu list size: 27
it: 79, best value: 370.685, curr value: 366.789, tabu list size: 27
it: 80, best value: 370.685, curr value: 366.789, tabu list size: 27
it: 81, best value: 370.685, curr value: 351.647, tabu list size: 27
it: 82, best value: 370.685, curr value: 366.789, tabu list size: 27
it: 83, best value: 370.685, curr value: 366.789, tabu list size: 27
it: 84, best value: 370.685, curr value: 349.324, tabu list size: 27
it: 85, best value: 370.685, curr value: 366.789, tabu list size: 27
it: 86, best value: 370.685, curr value: 354.152, tabu list size: 27
it: 87, best value: 370.685, curr value: 351.087, tabu list size: 28
it: 88, best value: 370.685, curr value: 337.626, tabu list size: 28
it: 89, best value: 370.685, curr value: 346.252, tabu list size: 29
it: 90, best value: 370.685, curr value: 332.194, tabu list size: 29
it: 91, best value: 370.685, curr value: 332.194, tabu list size: 28
it: 92, best value: 370.685, curr value: 310.68, tabu list size: 28
it: 93, best value: 370.685, curr value: 260.426, tabu list size: 29
it: 94, best value: 370.685, curr value: 359.81, tabu list size: 29
it: 95, best value: 370.685, curr value: 339.186, tabu list size: 29
it: 96, best value: 370.685, curr value: 339.186, tabu list size: 28
it: 97, best value: 370.685, curr value: 339.186, tabu list size: 28
it: 98, best value: 370.685, curr value: 339.186, tabu list size: 27
it: 99, best value: 370.685, curr value: 319.273, tabu list size: 27
it: 100, best value: 370.685, curr value: 262.16, tabu list size: 27
it: 101, best value: 370.685, curr value: 319.273, tabu list size: 27
it: 102, best value: 370.685, curr value: 319.273, tabu list size: 27
it: 103, best value: 370.685, curr value: 319.273, tabu list size: 26
it: 104, best value: 370.685, curr value: 255.22, tabu list size: 26
it: 105, best value: 370.685, curr value: 339.186, tabu list size: 26
it: 106, best value: 370.685, curr value: 339.186, tabu list size: 25
