candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.175028
began: 2023-Apr-21 15:13:56
it: 100, best value: 754.849, curr value: 703.582, tabu list size: 28
it: 101, best value: 754.849, curr value: 749.084, tabu list size: 28
it: 102, best value: 754.849, curr value: 659.417, tabu list size: 28
it: 103, best value: 754.849, curr value: 713.552, tabu list size: 28
it: 104, best value: 754.849, curr value: 664.063, tabu list size: 28
it: 105, best value: 754.849, curr value: 713.552, tabu list size: 29
it: 106, best value: 754.849, curr value: 713.552, tabu list size: 30
it: 107, best value: 754.849, curr value: 705.032, tabu list size: 29
it: 108, best value: 754.849, curr value: 619.019, tabu list size: 29
it: 109, best value: 754.849, curr value: 705.032, tabu list size: 29
it: 110, best value: 754.849, curr value: 705.032, tabu list size: 29
it: 111, best value: 754.849, curr value: 705.032, tabu list size: 29
it: 112, best value: 754.849, curr value: 617.378, tabu list size: 29
it: 113, best value: 754.849, curr value: 705.032, tabu list size: 29
it: 114, best value: 754.849, curr value: 599.815, tabu list size: 29
it: 115, best value: 754.849, curr value: 581.61, tabu list size: 30
it: 116, best value: 754.849, curr value: 524.454, tabu list size: 30
it: 117, best value: 754.849, curr value: 542.785, tabu list size: 30
it: 118, best value: 754.849, curr value: 549.23, tabu list size: 30
it: 119, best value: 754.849, curr value: 562.255, tabu list size: 30
it: 120, best value: 754.849, curr value: 574.238, tabu list size: 30
it: 121, best value: 754.849, curr value: 558.663, tabu list size: 30
it: 122, best value: 754.849, curr value: 575.939, tabu list size: 29
it: 123, best value: 754.849, curr value: 653.646, tabu list size: 29
it: 124, best value: 754.849, curr value: 655.196, tabu list size: 29
it: 125, best value: 754.849, curr value: 654.113, tabu list size: 29
it: 126, best value: 754.849, curr value: 629.135, tabu list size: 29
it: 127, best value: 754.849, curr value: 653.646, tabu list size: 29
ended: 2023-Apr-21 15:17:44
duration: 3:47.542311
