mean fitness,best fitness,population size
171.662054,606.299438,1018
288.524431,702.152771,1012
357.575583,716.789429,1006
395.383696,724.932800,1000
407.412943,738.210144,996
425.454783,743.124023,992
464.216170,743.124023,988
471.519703,743.124023,984
481.280489,747.391113,980
498.223326,749.398621,976
516.037890,749.398621,972
526.609777,749.398621,968
534.892925,763.743896,964
543.529008,768.169373,960
548.977992,767.008850,956
545.567482,770.322205,952
537.353204,808.832031,948
556.591802,808.832031,944
547.546944,768.411560,940
548.915492,768.411560,936
552.321781,782.544434,932
559.255589,814.380615,928
553.561428,826.036499,924
555.777429,811.600830,920
542.552867,868.690979,916
540.141730,868.690979,912
524.692289,839.494629,908
513.108199,867.730774,904
510.224796,867.730774,900
516.495580,867.730774,896
527.940352,867.730774,892
540.010528,867.730774,888
538.414861,869.335815,884
544.014839,869.335815,880
529.802396,897.539307,876
540.323028,897.539307,872
546.035914,897.539307,868
541.798645,897.539307,864
558.275593,897.539307,860
570.393594,897.539307,856
