candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.548258
began: 2023-Apr-20 19:38:19
it: 94, best value: 85.1454, curr value: 82.4667, tabu list size: 38
it: 95, best value: 85.1454, curr value: 82.0151, tabu list size: 39
it: 96, best value: 85.1454, curr value: 81.8429, tabu list size: 39
it: 97, best value: 85.1454, curr value: 77.9591, tabu list size: 40
it: 98, best value: 85.1454, curr value: 78.6749, tabu list size: 40
it: 99, best value: 85.1454, curr value: 78.7911, tabu list size: 40
it: 100, best value: 85.1454, curr value: 77.9591, tabu list size: 40
it: 101, best value: 85.1454, curr value: 82.4667, tabu list size: 40
it: 102, best value: 85.1454, curr value: 81.7458, tabu list size: 40
it: 103, best value: 85.1454, curr value: 75.1188, tabu list size: 40
it: 104, best value: 85.1454, curr value: 78.6749, tabu list size: 41
it: 105, best value: 85.1454, curr value: 78.2687, tabu list size: 41
it: 106, best value: 85.1454, curr value: 78.2687, tabu list size: 40
it: 107, best value: 85.1454, curr value: 75.737, tabu list size: 40
it: 108, best value: 85.1454, curr value: 71.5665, tabu list size: 41
it: 109, best value: 85.1454, curr value: 65.4041, tabu list size: 41
it: 110, best value: 85.1454, curr value: 71.5665, tabu list size: 40
it: 111, best value: 85.1454, curr value: 73.9526, tabu list size: 40
it: 112, best value: 85.1454, curr value: 77.2854, tabu list size: 40
it: 113, best value: 85.1454, curr value: 73.5043, tabu list size: 40
it: 114, best value: 85.1454, curr value: 77.2854, tabu list size: 40
it: 115, best value: 85.1454, curr value: 70.5409, tabu list size: 40
it: 116, best value: 85.1454, curr value: 77.2854, tabu list size: 40
it: 117, best value: 85.1454, curr value: 74.0765, tabu list size: 40
it: 118, best value: 85.1454, curr value: 77.7411, tabu list size: 40
it: 119, best value: 85.1454, curr value: 74.0765, tabu list size: 40
it: 120, best value: 85.1454, curr value: 73.5043, tabu list size: 40
it: 121, best value: 85.1454, curr value: 74.0246, tabu list size: 40
it: 122, best value: 85.1454, curr value: 77.7411, tabu list size: 40
it: 123, best value: 85.1454, curr value: 73.8046, tabu list size: 40
it: 124, best value: 85.1454, curr value: 68.7279, tabu list size: 40
it: 125, best value: 85.1454, curr value: 73.8046, tabu list size: 40
it: 126, best value: 85.1454, curr value: 70.4723, tabu list size: 40
it: 127, best value: 85.1454, curr value: 73.8046, tabu list size: 40
ended: 2023-Apr-20 19:39:44
duration: 1:25.377274
