candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-12 00:06:00
difference: 2063d 20:06:00.000000
count: 2963365
duration: 3.655745
began: 2023-Apr-21 13:53:33
it: 100, best value: 664.483, curr value: 522.114, tabu list size: 28
it: 101, best value: 664.483, curr value: 514.253, tabu list size: 28
it: 102, best value: 664.483, curr value: 514.253, tabu list size: 29
it: 103, best value: 664.483, curr value: 548.371, tabu list size: 29
it: 104, best value: 664.483, curr value: 599.555, tabu list size: 29
it: 105, best value: 664.483, curr value: 599.555, tabu list size: 29
it: 106, best value: 664.483, curr value: 562.535, tabu list size: 29
it: 107, best value: 664.483, curr value: 599.555, tabu list size: 29
it: 108, best value: 664.483, curr value: 599.555, tabu list size: 28
it: 109, best value: 664.483, curr value: 555.479, tabu list size: 28
it: 110, best value: 664.483, curr value: 548.371, tabu list size: 28
it: 111, best value: 664.483, curr value: 514.845, tabu list size: 28
it: 112, best value: 664.483, curr value: 457.893, tabu list size: 28
it: 113, best value: 664.483, curr value: 436.731, tabu list size: 29
it: 114, best value: 664.483, curr value: 434.34, tabu list size: 29
it: 115, best value: 664.483, curr value: 433.581, tabu list size: 29
it: 116, best value: 664.483, curr value: 366.317, tabu list size: 29
it: 117, best value: 664.483, curr value: 599.555, tabu list size: 29
it: 118, best value: 664.483, curr value: 526.325, tabu list size: 30
it: 119, best value: 664.483, curr value: 491.068, tabu list size: 30
it: 120, best value: 664.483, curr value: 455.593, tabu list size: 30
it: 121, best value: 664.483, curr value: 482.425, tabu list size: 30
it: 122, best value: 664.483, curr value: 495.636, tabu list size: 30
it: 123, best value: 664.483, curr value: 430.69, tabu list size: 30
it: 124, best value: 664.483, curr value: 495.636, tabu list size: 30
it: 125, best value: 664.483, curr value: 427.294, tabu list size: 31
it: 126, best value: 664.483, curr value: 557.778, tabu list size: 31
it: 127, best value: 664.483, curr value: 540.393, tabu list size: 30
ended: 2023-Apr-21 13:58:05
duration: 4:32.392129
