mean fitness,best fitness,population size
136.657564,862.710510,254
195.227840,635.587646,252
216.646039,684.507874,250
242.573322,687.653320,248
257.263017,656.536255,246
255.300558,636.239197,244
259.972843,608.444885,242
247.124907,728.835571,240
250.991856,655.112122,238
266.654503,683.855469,236
264.387490,596.268188,234
263.679159,691.238647,232
260.070162,598.882080,230
253.352190,699.643433,228
270.127020,755.951538,226
299.916031,745.972778,224
301.673293,636.611084,222
298.984073,699.342041,220
312.027470,709.641235,218
315.929549,757.803467,216
321.781746,690.901550,214
325.763152,776.955322,212
329.098627,875.587830,210
334.455163,731.018066,208
332.459727,841.498596,206
326.082005,758.749207,204
298.317104,723.287415,202
301.769188,766.206543,200
307.535605,787.408081,198
301.603882,826.411926,196
307.576422,895.412170,194
341.584293,810.384155,192
348.061816,733.735779,190
351.074921,773.873657,188
359.116405,765.571228,186
341.138260,833.427979,184
324.429596,745.682617,182
351.943023,756.406372,180
364.972850,799.669861,178
330.372619,705.962830,176
339.016569,735.024719,174
345.169892,779.692505,172
306.237003,749.734985,170
321.515859,809.414673,168
320.301000,710.266479,166
303.751805,698.209473,164
318.631112,740.277039,162
293.253839,682.131104,160
319.764913,664.193298,158
318.631302,740.574585,156
317.807478,826.338623,154
354.613676,866.552429,152
348.718199,762.052673,150
344.716182,814.448486,148
341.716789,793.946899,146
346.273256,699.528870,144
342.625761,695.672058,142
336.642712,769.946167,140
367.691677,854.949707,138
374.600045,773.321106,136
376.062094,768.110962,134
347.635740,773.873657,132
347.497526,688.825134,130
339.396950,724.578735,128
354.007441,648.571350,126
333.483816,660.089172,124
328.584211,696.938293,122
325.013662,689.938293,120
348.142544,782.541077,118
355.421291,705.580566,116
351.147537,745.292480,114
335.895444,664.106079,112
321.057382,682.214722,110
345.711300,761.030090,108
295.339226,702.174561,106
329.096356,765.862488,104
341.021570,883.531494,102
337.232101,643.137268,100
308.125704,720.451904,100
337.801273,793.807495,100
345.381008,666.828491,100
355.523680,625.428894,100
348.716790,702.645447,100
336.198068,646.624573,100
339.995213,724.415833,100
344.970145,660.730408,100
354.452582,655.041870,100
367.353542,762.245178,100
356.741463,820.592651,100
348.635852,758.422119,100
325.505851,679.396240,100
347.848960,772.064026,100
382.083704,828.893494,100
402.408183,783.837891,100
375.764687,782.275024,100
356.531356,782.275024,100
316.235175,722.830139,100
336.878000,724.968628,100
345.111728,753.378113,100
337.950267,745.788879,100
331.694299,690.821350,100
356.972994,671.961670,100
321.438277,634.893860,100
284.291924,676.468750,100
276.512606,676.468750,100
276.722953,804.345398,100
283.521513,623.153870,100
298.458180,754.209717,100
289.109808,766.206543,100
287.222560,695.300171,100
322.929807,765.711121,100
335.863646,746.432068,100
310.223470,723.433899,100
299.292600,813.906006,100
325.383173,727.836548,100
336.237448,699.753601,100
291.432618,637.336121,100
281.781067,640.067810,100
308.795936,641.117920,100
290.474011,568.065247,100
