mean fitness,best fitness,population size
163.966734,777.804871,900
291.741228,805.022583,904
409.553344,868.504700,908
481.419181,888.425171,912
522.021588,943.934509,916
502.503368,1000.148010,920
520.772889,1013.478577,924
534.387125,1000.148010,928
555.923789,1046.609741,932
565.300886,1140.891479,936
583.800139,1140.891479,940
612.728832,1140.891479,944
653.240206,1145.044556,948
648.825857,1205.123047,952
677.748777,1275.161621,956
702.344840,1275.161621,960
744.040162,1218.670898,964
762.976112,1243.666260,968
782.195316,1268.525635,972
800.153913,1247.658447,976
812.709111,1250.219727,980
825.762251,1277.791626,984
834.416607,1285.693848,988
836.760436,1285.693848,992
848.770752,1285.693848,996
848.603646,1285.693848,1000
852.766160,1285.693848,1006
851.913859,1287.101929,1012
858.239237,1305.796875,1018
884.824992,1305.796875,1024
878.536084,1287.101929,1030
882.588517,1299.060913,1036
891.825141,1308.437744,1042
894.452635,1308.437744,1048
891.969851,1308.437744,1054
877.355274,1308.437744,1060
883.111430,1308.437744,1066
896.374180,1308.437744,1072
892.335288,1308.437744,1078
900.053209,1308.437744,1084
