time,open,high,low,close,Baseline,Baseline,Entry Level [L] #1,Entry Level [L] #2,Entry Level [L] #3,Entry Level [L] #4,Entry Level [S] #1,Entry Level [S] #2,Entry Level [S] #3,Entry Level [S] #4,Exit Level [L],Exit Level [S],Avg Entry Price,Position Size (AC),Current Bar MDD (AC),Current Bar MDD %,1. Max Historical Trade Drawdown %,2. Max Historical Trade Drawdown %,3. Max Historical Trade Drawdown %,Max Leverage Allowed,Volume,Volume MA
2022-06-12T12:00:00+02:00,1463.85,1477.1,1457.72,1460.48,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,41037.4321,60737.01754149998
2022-06-12T13:00:00+02:00,1460.49,1474.44,1452.83,1468.98,1469.069166666665,1469.069166666665,1410.31,1366.23,1322.16,1248.71,1527.83,1571.9,1615.98,1689.43,1469.069166666665,1469.069166666665,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,53248.0015,56928.69830949998
2022-06-12T14:00:00+02:00,1468.98,1476.26,1462.64,1463.09,1466.127499999998,1466.127499999998,1407.48,1363.5,1319.51,1246.21,1524.77,1568.76,1612.74,1686.05,1466.127499999998,1466.127499999998,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,31594.5044,52550.87905399998
2022-06-12T15:00:00+02:00,1463.09,1467.55,1437.62,1447.76,1465.571666666665,1465.571666666665,1406.95,1362.98,1319.01,1245.74,1524.19,1568.16,1612.13,1685.41,1465.571666666665,1465.571666666665,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,90858.772,54929.36473899998
2022-06-12T16:00:00+02:00,1447.76,1531.76,1429,1510.1,1461.9774999999984,1461.9774999999984,1403.5,1359.64,1315.78,1242.68,1520.46,1564.32,1608.18,1681.27,1461.9774999999984,1461.9774999999984,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,164073.5954,60248.92899399998
2022-06-12T17:00:00+02:00,1510.1,1547,1504.9,1525.92,1467.134166666665,1467.134166666665,1408.45,1364.43,1320.42,1247.06,1525.82,1569.83,1613.8500000000001,1687.2,1467.134166666665,1467.134166666665,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,96580.8793,63614.62955899998
2022-06-12T18:00:00+02:00,1525.91,1532.48,1497.14,1506.61,1485.2133333333315,1485.2133333333315,1425.8,1381.25,1336.69,1262.43,1544.6200000000001,1589.18,1633.73,1708,1485.2133333333315,1485.2133333333315,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,58561.7635,64992.666653999964
2022-06-12T19:00:00+02:00,1506.62,1527.55,1506.02,1521.5,1505.7233333333315,1505.7233333333315,1445.49,1400.32,1355.15,1279.8600000000001,1565.95,1611.1200000000001,1656.3,1731.58,1505.7233333333315,1505.7233333333315,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,42148.5192,65649.06571399997
2022-06-12T20:00:00+02:00,1521.5,1522.99,1510.42,1512.79,1517.6458333333314,1517.6458333333314,1456.94,1411.41,1365.88,1290,1578.3500000000001,1623.88,1669.41,1745.29,1517.6458333333314,1517.6458333333314,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,31328.7989,65605.70076899996
2022-06-12T21:00:00+02:00,1512.78,1517.06,1477.38,1479.59,1515.9608333333317,1515.9608333333317,1455.32,1409.84,1364.3600000000001,1288.57,1576.6000000000001,1622.08,1667.56,1743.3500000000001,1515.9608333333317,1515.9608333333317,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,81692.2262,67876.61284899995
2022-06-12T22:00:00+02:00,1479.58,1488.71,1476.42,1477.42,1509.6833333333316,1509.6833333333316,1449.3,1404.01,1358.71,1283.23,1570.07,1615.3600000000001,1660.65,1736.14,1509.6833333333316,1509.6833333333316,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,32566.496,67914.08880399997
2022-06-12T23:00:00+02:00,1477.42,1487,1472,1474.46,1498.0533333333315,1498.0533333333315,1438.13,1393.19,1348.25,1273.3500000000001,1557.98,1602.92,1647.8600000000001,1722.76,1498.0533333333315,1498.0533333333315,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,24984.1092,66398.79874399997
2022-06-13T00:00:00+02:00,1474.46,1476.35,1452,1456.41,1484.984999999998,1484.984999999998,1425.59,1381.04,1336.49,1262.24,1544.38,1588.93,1633.48,1707.73,1484.984999999998,1484.984999999998,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,80164.3078,62156.362028999974
2022-06-13T01:00:00+02:00,1456.41,1467,1433,1434.84,1474.3524999999981,1474.3524999999981,1415.38,1371.15,1326.92,1253.2,1533.33,1577.56,1621.79,1695.51,1474.3524999999981,1474.3524999999981,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,67978.2002,62696.21059399998
2022-06-13T02:00:00+02:00,1434.84,1455,1385.28,1387.4,1463.4458333333314,1463.4458333333314,1404.91,1361,1317.1000000000001,1243.93,1521.98,1565.89,1609.79,1682.96,1463.4458333333314,1463.4458333333314,1404.91,26815.29095456077,374.6746492216803,0.17091980361311773,25.328492221005106,23.340668635243883,22.820413111670828,3,150082.60026,67954.57037199997
2022-06-13T03:00:00+02:00,1387.31,1400.38,1343.06,1364.36,1442.749166666665,1442.749166666665,1385.04,1341.76,1298.47,1226.34,1500.46,1543.74,1587.02,1659.16,1442.749166666665,1442.749166666665,1404.91,26815.29095456077,1180.5209910525139,0.5385323409817268,25.328492221005106,23.340668635243883,22.820413111670828,3,204964.21927,73101.72205649997
2022-06-13T04:00:00+02:00,1364.35,1367.31,1338.09,1339.41,1412.406666666665,1412.406666666665,1355.91,1313.54,1271.17,1200.55,1468.9,1511.28,1553.65,1624.27,1412.406666666665,1412.406666666665,1404.91,26815.29095456077,1275.382580794325,0.581806483822134,25.328492221005106,23.340668635243883,22.820413111670828,3,125412.06795,75578.81814399998
2022-06-13T05:00:00+02:00,1339.4,1371.08,1304.39,1350.83,1380.5658333333315,1380.5658333333315,1325.34,1283.93,1242.51,1173.48,1435.79,1477.21,1518.6200000000001,1587.65,1380.5658333333315,1380.5658333333315,1404.91,26815.29095456077,1918.6090544963365,0.875234776321472,25.328492221005106,23.340668635243883,22.820413111670828,3,207295.99483,83750.98196049998
2022-06-13T06:00:00+02:00,1350.96,1387.32,1343.26,1349.69,1355.8308333333316,1355.8308333333316,1301.6000000000001,1260.92,1220.25,1152.46,1410.06,1450.74,1491.41,1559.21,1355.8308333333316,1355.8308333333316,1404.91,26815.29095456077,1176.703623256062,0.5367909267829173,25.328492221005106,23.340668635243883,22.820413111670828,3,141909.0837,87946.94539049998
2022-06-13T07:00:00+02:00,1349.69,1368.7,1319.49,1323.04,1350.5074999999981,1350.5074999999981,1296.49,1255.97,1215.46,1147.93,1404.53,1445.04,1485.56,1553.08,1350.5074999999981,1350.5074999999981,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,101811.4705,91414.65211049998
2022-06-13T08:00:00+02:00,1323.05,1348.89,1300,1324.35,1346.4874999999981,1346.4874999999981,1292.63,1252.23,1211.84,1144.51,1400.3500000000001,1440.74,1481.14,1548.46,1346.4874999999981,1346.4874999999981,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,168852.92081,97805.42654599997
2022-06-13T09:00:00+02:00,1324.35,1339.66,1262.76,1283.46,1340.7033333333313,1340.7033333333313,1287.08,1246.8500000000001,1206.63,1139.6000000000001,1394.33,1434.55,1474.77,1541.81,1340.7033333333313,1340.7033333333313,1287.08,26509.930383960535,500.9179747474272,0.2295456529720555,25.328492221005106,23.340668635243883,22.820413111670828,3,215085.9197,105897.32245599998
2022-06-13T10:00:00+02:00,1283.07,1288.95,1205,1206.93,1322.2866666666648,1322.2866666666648,1269.4,1229.73,1190.06,1123.94,1375.18,1414.8500000000001,1454.52,1520.63,1322.2866666666648,1322.2866666666648,1257.9553568181439,52645.621327270586,2216.18966618187,1.0155688749044076,25.328492221005106,23.340668635243883,22.820413111670828,3,313431.11075,119989.15277349998
2022-06-13T11:00:00+02:00,1206.93,1267.85,1180,1237.56,1290.8724999999984,1290.8724999999984,1239.24,1200.51,1161.79,1097.24,1342.51,1381.23,1419.96,1484.5,1290.8724999999984,1290.8724999999984,1257.9553568181439,52645.621327270586,3262.4434350841257,1.4950146457978106,25.328492221005106,23.340668635243883,22.820413111670828,3,317396.74416,131316.05138149997
2022-06-13T12:00:00+02:00,1237.55,1259.4,1215.53,1221.85,1257.2099999999982,1257.2099999999982,1206.92,1169.21,1131.49,1068.63,1307.5,1345.21,1382.93,1445.79,1257.2099999999982,1257.2099999999982,1257.9553568181439,52645.621327270586,1775.5075787202413,0.813626316204107,25.328492221005106,23.340668635243883,22.820413111670828,3,173933.4479,131809.0440065
2022-06-13T13:00:00+02:00,1221.85,1232.1,1180,1209.23,1234.2183333333314,1234.2183333333314,1184.8500000000001,1147.82,1110.8,1049.09,1283.59,1320.6100000000001,1357.64,1419.3500000000001,1234.2183333333314,1234.2183333333314,1184.8500000000001,26451.642865466707,108.27570401107069,0.049648384434248294,25.328492221005106,23.340668635243883,22.820413111670828,3,199544.7738,136957.23873149997
2022-06-13T14:00:00+02:00,1209.14,1258.69,1208.38,1218.33,1222.4874999999981,1222.4874999999981,1173.59,1136.91,1100.24,1039.1100000000001,1271.39,1308.06,1344.74,1405.8600000000001,1222.4874999999981,1222.4874999999981,1184.8500000000001,26451.642865466707,-525.3046011093647,-0.2408714403583151,25.328492221005106,23.340668635243883,22.820413111670828,3,185576.715,143307.98630649998
2022-06-13T15:00:00+02:00,1218.32,1250,1201.92,1237.32,1222.6708333333315,1222.6708333333315,1173.76,1137.08,1100.4,1039.27,1271.58,1308.26,1344.94,1406.07,1222.6708333333315,1222.6708333333315,0,0,0,0,25.328492221005106,23.340668635243883,22.820413111670828,3,175064.9816,149953.80942649997
2022-06-13T16:00:00+02:00,1237.33,1244.82,1165.45,1192.55,1220.439999999998,1220.439999999998,1171.6200000000001,1135.01,1098.4,1037.3700000000001,1269.26,1305.8700000000001,1342.48,1403.51,1220.439999999998,1220.439999999998,1171.6200000000001,25906.12071399901,136.4271391794061,0.06233203838825815,25.328492221005106,23.340668635243883,22.820413111670828,3,201070.06473,158440.872718
2022-06-13T17:00:00+02:00,1192.55,1244.71,1185,1229.97,1220.187499999998,1220.187499999998,1171.38,1134.77,1098.17,1037.16,1268.99,1305.6000000000001,1342.21,1403.22,1220.187499999998,1220.187499999998,1171.6200000000001,25906.12071399901,-295.8501008460966,-0.13517061161019073,25.328492221005106,23.340668635243883,22.820413111670828,3,159816.5678,162347.089798
