time,ema(12),entry level 1,entry level 2,entry level 3,entry level 4,ema(16)
1609632000,32011.8,30731.4,29771,28810.6,27210.1,31936.6
1609633800,32061.8,30779.3,29817.4,28855.6,27252.5,31983.7
1609635600,32126,30840.9,29877.2,28913.4,27307.1,32041.9
1609637400,32203,30914.8,29948.8,28982.7,27372.5,32110.7
1609639200,32276.2,30985.2,30016.9,29048.6,27434.8,32177.6
1609641000,32353.3,31059.2,30088.6,29118,27500.3,32248.1
1609642800,32404,31107.8,30135.7,29163.6,27543.4,32299.2
1609644600,32432.5,31135.2,30162.2,29189.2,27567.6,32333.4
1609646400,32455.1,31156.9,30183.2,29209.6,27586.8,32362.3
1609648200,32523.4,31222.5,30246.8,29271.1,27644.9,32425.5
1609650000,32687.9,31380.4,30399.7,29419.1,27784.7,32562.8
1609651800,32872.3,31557.4,30571.2,29585.1,27941.5,32718.5
1609653600,33021.8,31700.9,30710.3,29719.6,28068.5,32850.9
1609655400,33161.7,31835.3,30840.4,29845.6,28187.5,32978
1609657200,33319.9,31987.1,30987.5,29987.9,28321.9,33120.6
1609659000,33491,32151.4,31146.6,30141.9,28467.4,33274.9
1609660800,33614.5,32269.9,31261.4,30253,28572.3,33394.7
1609662600,33739.7,32390.1,31377.9,30365.7,28678.8,33516.4
1609664400,33812,32459.6,31445.2,30430.8,28740.2,33597.9
1609666200,33851.3,32497.3,31481.7,30466.2,28773.6,33653.2
1609668000,33862,32507.5,31491.6,30475.8,28782.7,33684.6
1609669800,33854.6,32500.5,31484.8,30469.2,28776.4,33699.9
1609671600,33869.3,32514.5,31498.4,30482.3,28788.9,33729.3
1609673400,33917.3,32560.6,31543.1,30525.6,28829.7,33782.5
1609675200,33988.1,32628.6,31609,30589.3,28889.9,33852.5
1609677000,34016.1,32655.5,31635,30614.5,28913.7,33889.9
1609678800,34042.6,32680.9,31659.6,30638.3,28936.2,33924.9
1609680600,34037.5,32676,31654.8,30633.7,28931.9,33934.9
1609682400,34016.2,32655.5,31635,30614.6,28913.7,33930.7
1609684200,33985.5,32626.1,31606.5,30586.9,28887.7,33917.3
1609686000,33895.8,32540,31523.1,30506.3,28811.5,33856.7
1609687800,33792.4,32440.7,31426.9,30413.2,28723.5,33782.2
1609689600,33752.4,32402.3,31389.8,30377.2,28689.6,33752.9
1609691400,33647.5,32301.6,31292.2,30282.7,28600.4,33672.6
1609693200,33524.9,32183.9,31178.1,30172.4,28496.1,33575.8
1609695000,33449.5,32111.6,31108.1,30104.6,28432.1,33512.2
1609696800,33340.4,32006.8,31006.6,30006.4,28339.3,33421.4
1609698600,33226.6,31897.5,30900.7,29903.9,28242.6,33324.9
1609700400,33148.1,31822.2,30827.8,29833.3,28175.9,33253.3
1609702200,33073.6,31750.7,30758.5,29766.3,28112.6,33183.9
1609704000,33098.3,31774.3,30781.4,29788.5,28133.5,33189.8
1609705800,33186.3,31858.9,30863.3,29867.7,28208.4,33246.4
1609707600,33267.9,31937.2,30939.2,29941.1,28277.7,33301.7
1609709400,33325.1,31992.1,30992.4,29992.6,28326.4,33341.5
1609711200,33349.4,32015.4,31014.9,30014.5,28347,33358.1
1609713000,33342.9,32009.2,31008.9,30008.6,28341.4,33352.1
1609714800,33332.3,31999,30999,29999,28332.4,33342.9
1609716600,33307.1,31974.8,30975.6,29976.4,28311,33322.4
1609718400,33242.9,31913.1,30915.9,29918.6,28256.4,33271.5
1609720200,33163.6,31837.1,30842.2,29847.3,28189.1,33207.5
1609722000,33104.4,31780.2,30787.1,29794,28138.8,33157.1
1609723800,33081.3,31758.1,30765.6,29773.2,28119.1,33133.2
1609725600,33091.4,31767.8,30775,29782.3,28127.7,33134.9
1609727400,33118.4,31793.7,30800.1,29806.6,28150.7,33150.4
1609729200,33160.1,31833.7,30838.9,29844.1,28186.1,33178.5
1609731000,33192.4,31864.7,30869,29873.2,28213.6,33201.1
1609732800,33226.9,31897.8,30901,29904.2,28242.9,33226.4
1609734600,33235,31905.6,30908.6,29911.5,28249.8,33232.7
1609736400,33231.5,31902.2,30905.3,29908.3,28246.8,33230.2
