candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 3.589694s
it: 85, best fitness: 1153.19, curr fitness: 1067.36, tabu list size: 35
it: 86, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 34
it: 87, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 34
it: 88, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 34
it: 89, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 34
it: 90, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 34
it: 91, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 34
it: 92, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 34
it: 93, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 34
it: 94, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 34
it: 95, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 96, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 33
it: 97, best fitness: 1153.19, curr fitness: 1001.68, tabu list size: 33
it: 98, best fitness: 1153.19, curr fitness: 1001.68, tabu list size: 33
it: 99, best fitness: 1153.19, curr fitness: 1015.32, tabu list size: 32
it: 100, best fitness: 1153.19, curr fitness: 1009.04, tabu list size: 32
it: 101, best fitness: 1153.19, curr fitness: 1015.32, tabu list size: 32
it: 102, best fitness: 1153.19, curr fitness: 1041.15, tabu list size: 31
it: 103, best fitness: 1153.19, curr fitness: 1027.13, tabu list size: 31
it: 104, best fitness: 1153.19, curr fitness: 1027.13, tabu list size: 31
it: 105, best fitness: 1153.19, curr fitness: 1027.13, tabu list size: 31
it: 106, best fitness: 1153.19, curr fitness: 1001.68, tabu list size: 30
it: 107, best fitness: 1153.19, curr fitness: 1001.68, tabu list size: 31
it: 108, best fitness: 1153.19, curr fitness: 928.854, tabu list size: 31
it: 109, best fitness: 1153.19, curr fitness: 928.854, tabu list size: 31
it: 110, best fitness: 1153.19, curr fitness: 952.628, tabu list size: 31
it: 111, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 31
it: 112, best fitness: 1153.19, curr fitness: 1049.77, tabu list size: 31
it: 113, best fitness: 1153.19, curr fitness: 1049.77, tabu list size: 31
it: 114, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 31
it: 115, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 31
it: 116, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 31
it: 117, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 31
it: 118, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 32
it: 119, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 32
it: 120, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 32
it: 121, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 122, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 123, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 124, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 125, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 126, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 127, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 128, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 129, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 130, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 131, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 33
it: 132, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 33
it: 133, best fitness: 1153.19, curr fitness: 1052.96, tabu list size: 33
it: 134, best fitness: 1153.19, curr fitness: 1067.36, tabu list size: 33
it: 135, best fitness: 1153.19, curr fitness: 1067.36, tabu list size: 33
it: 136, best fitness: 1153.19, curr fitness: 1049.77, tabu list size: 33
it: 137, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 138, best fitness: 1153.19, curr fitness: 1049.77, tabu list size: 33
it: 139, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
it: 140, best fitness: 1153.19, curr fitness: 1035.53, tabu list size: 33
