mean fitness,best fitness,population size
87.767947,479.414459,100
145.659670,638.670471,100
199.591625,677.296570,100
246.784648,860.052185,100
295.881864,746.432068,100
274.784036,610.652527,100
275.598443,655.214172,100
295.099627,674.803894,100
338.419851,822.901245,100
323.435562,696.427124,100
317.899111,789.674561,100
312.839254,631.373047,100
336.533138,814.002625,100
313.111352,641.081909,100
281.849473,691.439697,100
278.027109,724.066528,100
301.640401,710.859924,100
280.978326,603.858276,100
293.433948,622.534058,100
314.803348,693.997803,100
346.507592,724.066528,100
328.877796,687.481873,100
311.226787,642.437622,100
317.662674,754.592102,100
331.194928,761.020935,100
330.533836,758.227356,100
326.641377,710.127380,100
318.700567,695.817383,100
297.983343,707.352234,100
309.452954,697.331421,100
306.379259,630.222107,100
279.034344,738.029724,100
296.951973,750.593506,100
339.419185,778.494873,100
378.367287,755.864685,100
382.565739,672.429077,100
365.962361,667.340393,100
381.072345,776.610229,100
411.690154,750.593506,100
392.760640,747.326538,100
368.966006,741.964294,100
379.083572,897.016785,100
377.820903,710.937073,100
373.503822,809.673279,100
376.000637,781.929626,100
375.364928,747.926880,100
342.810533,664.563171,100
343.620917,707.629822,100
348.770841,689.609558,100
356.764287,723.342041,100
339.524928,756.059570,100
351.503499,802.186829,100
399.649223,803.574402,100
363.089300,789.602478,100
359.427328,719.785706,100
346.873463,648.483459,100
339.669393,832.398193,100
378.308590,887.117310,100
365.559269,819.815125,100
333.498166,780.504028,100
306.347470,670.804688,100
326.119313,827.943298,100
326.633635,919.728577,100
316.749485,730.869873,100
