candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 5.150893
began: 2023-Apr-20 19:21:51
it: 0, best value: -45.7742, curr value: -45.7742, tabu list size: 1
it: 1, best value: -45.7742, curr value: -45.7742, tabu list size: 2
it: 2, best value: -45.7742, curr value: -45.7742, tabu list size: 3
it: 3, best value: -41.3778, curr value: -41.3778, tabu list size: 4
it: 4, best value: -41.3778, curr value: -41.3778, tabu list size: 5
it: 5, best value: -40.3569, curr value: -40.3569, tabu list size: 6
it: 6, best value: -37.8061, curr value: -37.8061, tabu list size: 7
it: 7, best value: -37.8061, curr value: -38.0274, tabu list size: 8
it: 8, best value: -37.8061, curr value: -40.3931, tabu list size: 9
it: 9, best value: -35.3166, curr value: -35.3166, tabu list size: 10
it: 10, best value: -35.3166, curr value: -39.858, tabu list size: 11
it: 11, best value: -35.3166, curr value: -35.5541, tabu list size: 12
it: 12, best value: -35.3166, curr value: -36.8842, tabu list size: 13
it: 13, best value: -35.3166, curr value: -35.9371, tabu list size: 14
it: 14, best value: -35.3166, curr value: -39.5903, tabu list size: 14
it: 15, best value: -35.3166, curr value: -41.2334, tabu list size: 15
it: 16, best value: -35.3166, curr value: -36.5525, tabu list size: 16
it: 17, best value: -35.3166, curr value: -39.9669, tabu list size: 17
it: 18, best value: -35.3166, curr value: -36.5525, tabu list size: 18
it: 19, best value: -35.3166, curr value: -39.6657, tabu list size: 19
it: 20, best value: -35.3166, curr value: -42.035, tabu list size: 20
it: 21, best value: -35.3166, curr value: -39.6657, tabu list size: 21
it: 22, best value: -35.3166, curr value: -39.6657, tabu list size: 21
it: 23, best value: -35.3166, curr value: -41.7587, tabu list size: 22
it: 24, best value: -35.3166, curr value: -37.2501, tabu list size: 23
it: 25, best value: -35.3166, curr value: -37.2501, tabu list size: 23
it: 26, best value: -35.3166, curr value: -43.2502, tabu list size: 24
it: 27, best value: -35.3166, curr value: -41.9928, tabu list size: 25
it: 28, best value: 14.3349, curr value: 14.3349, tabu list size: 26
it: 29, best value: 42.8564, curr value: 42.8564, tabu list size: 27
it: 30, best value: 95.8901, curr value: 95.8901, tabu list size: 28
it: 31, best value: 96.3866, curr value: 96.3866, tabu list size: 29
it: 32, best value: 140.887, curr value: 140.887, tabu list size: 30
it: 33, best value: 187.9, curr value: 187.9, tabu list size: 31
it: 34, best value: 211.637, curr value: 211.637, tabu list size: 32
it: 35, best value: 216.296, curr value: 216.296, tabu list size: 33
it: 36, best value: 227.022, curr value: 227.022, tabu list size: 34
it: 37, best value: 227.677, curr value: 227.677, tabu list size: 35
it: 38, best value: 324.793, curr value: 324.793, tabu list size: 36
it: 39, best value: 354.202, curr value: 354.202, tabu list size: 37
it: 40, best value: 385.28, curr value: 385.28, tabu list size: 38
it: 41, best value: 391.015, curr value: 391.015, tabu list size: 39
it: 42, best value: 391.015, curr value: 355.883, tabu list size: 39
it: 43, best value: 391.015, curr value: 355.883, tabu list size: 39
it: 44, best value: 391.015, curr value: 355.883, tabu list size: 38
it: 45, best value: 391.015, curr value: 391.015, tabu list size: 38
it: 46, best value: 391.015, curr value: 391.015, tabu list size: 38
it: 47, best value: 391.015, curr value: 378.745, tabu list size: 38
it: 48, best value: 391.015, curr value: 364.669, tabu list size: 38
it: 49, best value: 391.015, curr value: 385.28, tabu list size: 38
it: 50, best value: 391.015, curr value: 370.297, tabu list size: 38
it: 51, best value: 391.015, curr value: 391.015, tabu list size: 39
it: 52, best value: 391.015, curr value: 362.688, tabu list size: 39
it: 53, best value: 391.015, curr value: 372.285, tabu list size: 39
it: 54, best value: 391.015, curr value: 351.074, tabu list size: 39
it: 55, best value: 391.015, curr value: 372.285, tabu list size: 39
it: 56, best value: 391.015, curr value: 372.285, tabu list size: 38
it: 57, best value: 391.015, curr value: 344.456, tabu list size: 38
