candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 4.045588
began: 2023-Apr-20 19:28:50
it: 0, best value: 245.352, curr value: 245.352, tabu list size: 1
it: 1, best value: 254.962, curr value: 254.962, tabu list size: 2
it: 2, best value: 254.962, curr value: 254.962, tabu list size: 3
it: 3, best value: 254.962, curr value: 254.962, tabu list size: 4
it: 4, best value: 254.962, curr value: 254.962, tabu list size: 5
it: 5, best value: 289.354, curr value: 289.354, tabu list size: 6
it: 6, best value: 289.354, curr value: 287.352, tabu list size: 7
it: 7, best value: 299.168, curr value: 299.168, tabu list size: 8
it: 8, best value: 299.168, curr value: 287.015, tabu list size: 9
it: 9, best value: 311.087, curr value: 311.087, tabu list size: 10
it: 10, best value: 311.306, curr value: 311.306, tabu list size: 11
it: 11, best value: 311.306, curr value: 277.114, tabu list size: 12
it: 12, best value: 314.1, curr value: 314.1, tabu list size: 13
it: 13, best value: 314.1, curr value: 311.087, tabu list size: 14
it: 14, best value: 314.1, curr value: 314.1, tabu list size: 15
it: 15, best value: 314.1, curr value: 297.482, tabu list size: 16
it: 16, best value: 314.1, curr value: 293.465, tabu list size: 17
it: 17, best value: 314.1, curr value: 313.438, tabu list size: 18
it: 18, best value: 314.1, curr value: 312.283, tabu list size: 19
it: 19, best value: 316.874, curr value: 316.874, tabu list size: 20
it: 20, best value: 316.874, curr value: 300.357, tabu list size: 21
it: 21, best value: 316.874, curr value: 316.874, tabu list size: 22
it: 22, best value: 316.874, curr value: 316.874, tabu list size: 22
it: 23, best value: 316.874, curr value: 305.814, tabu list size: 23
it: 24, best value: 316.874, curr value: 293.876, tabu list size: 23
it: 25, best value: 316.874, curr value: 304.076, tabu list size: 23
it: 26, best value: 316.874, curr value: 293.876, tabu list size: 23
it: 27, best value: 316.874, curr value: 305.814, tabu list size: 23
it: 28, best value: 316.874, curr value: 305.814, tabu list size: 23
it: 29, best value: 316.874, curr value: 305.814, tabu list size: 23
it: 30, best value: 316.874, curr value: 284.992, tabu list size: 23
it: 31, best value: 316.874, curr value: 302.51, tabu list size: 23
it: 32, best value: 316.874, curr value: 293.49, tabu list size: 23
it: 33, best value: 316.874, curr value: 293.49, tabu list size: 22
it: 34, best value: 316.874, curr value: 293.876, tabu list size: 22
it: 35, best value: 316.874, curr value: 239.777, tabu list size: 22
it: 36, best value: 316.874, curr value: 293.876, tabu list size: 22
it: 37, best value: 316.874, curr value: 303.162, tabu list size: 22
it: 38, best value: 316.874, curr value: 248.995, tabu list size: 22
it: 39, best value: 316.874, curr value: 303.162, tabu list size: 22
it: 40, best value: 316.874, curr value: 303.162, tabu list size: 22
it: 41, best value: 316.874, curr value: 245.554, tabu list size: 22
it: 42, best value: 316.874, curr value: 265.534, tabu list size: 22
it: 43, best value: 316.874, curr value: 281.554, tabu list size: 22
it: 44, best value: 316.874, curr value: 281.466, tabu list size: 22
it: 45, best value: 316.874, curr value: 281.466, tabu list size: 21
it: 46, best value: 316.874, curr value: 281.238, tabu list size: 22
it: 47, best value: 316.874, curr value: 281.466, tabu list size: 22
it: 48, best value: 316.874, curr value: 313.438, tabu list size: 21
it: 49, best value: 316.874, curr value: 312.283, tabu list size: 21
it: 50, best value: 316.874, curr value: 243.944, tabu list size: 21
it: 51, best value: 333.948, curr value: 333.948, tabu list size: 21
it: 52, best value: 338.156, curr value: 338.156, tabu list size: 21
it: 53, best value: 338.156, curr value: 334.307, tabu list size: 21
it: 54, best value: 351.647, curr value: 351.647, tabu list size: 21
it: 55, best value: 351.647, curr value: 351.647, tabu list size: 21
it: 56, best value: 351.647, curr value: 351.647, tabu list size: 21
it: 57, best value: 366.789, curr value: 366.789, tabu list size: 22
it: 58, best value: 366.789, curr value: 326.689, tabu list size: 21
it: 59, best value: 366.789, curr value: 282.935, tabu list size: 21
it: 60, best value: 366.789, curr value: 250.424, tabu list size: 21
it: 61, best value: 366.789, curr value: 289.401, tabu list size: 21
it: 62, best value: 370.685, curr value: 370.685, tabu list size: 21
it: 63, best value: 370.685, curr value: 352.604, tabu list size: 21
