best fitness,curr fitness,tabu list size
35.852383,35.852383,1
36.351875,36.351875,2
47.107090,47.107090,3
147.843445,147.843445,4
176.881271,176.881271,5
200.821213,200.821213,6
220.138626,220.138626,7
231.610153,231.610153,8
245.060669,245.060669,9
249.146545,249.146545,10
252.371597,252.371597,11
252.371597,252.371597,12
255.835953,255.835953,13
255.835953,255.835953,14
255.835953,252.371597,15
255.835953,253.253357,16
255.835953,253.253357,16
255.835953,253.253357,17
255.835953,253.398819,18
255.835953,241.976547,19
255.835953,245.320908,20
255.835953,246.588699,21
255.835953,253.398819,22
255.835953,253.398819,23
255.835953,251.610977,24
255.835953,251.610977,25
255.835953,251.610977,26
255.835953,247.700623,27
259.272491,259.272491,28
260.605408,260.605408,28
260.735046,260.735046,28
260.735046,260.735046,29
261.023956,261.023956,29
261.023956,261.023956,30
264.758453,264.758453,31
273.508820,273.508820,31
273.508820,273.369843,31
273.508820,273.084229,31
273.508820,273.508820,31
273.508820,273.508820,31
273.508820,272.281189,32
273.508820,269.353210,32
273.508820,272.171112,32
273.508820,268.771393,32
273.508820,270.503662,32
273.508820,238.098618,33
273.508820,253.398056,34
275.122101,275.122101,34
321.530701,321.530701,35
331.946198,331.946198,35
441.130005,441.130005,36
445.628510,445.628510,37
463.858154,463.858154,38
526.680176,526.680176,38
526.680176,516.548279,38
545.120972,545.120972,38
558.986816,558.986816,38
581.006714,581.006714,39
586.250854,586.250854,39
586.250854,586.250854,39
593.161560,593.161560,39
817.110229,817.110229,40
836.152344,836.152344,40
929.926270,929.926270,41
957.105713,957.105713,41
1032.485229,1032.485229,42
1032.485229,974.132202,43
1032.485229,974.132202,44
1094.531616,1094.531616,45
1094.531616,995.030396,45
1147.044556,1147.044556,45
1147.044556,1147.044556,46
1147.044556,1147.044556,46
1147.044556,1147.044556,45
1147.044556,1147.044556,44
1147.044556,897.320496,44
1147.044556,897.320496,44
1147.044556,1063.818115,44
1191.510742,1191.510742,44
1191.510742,1185.015869,44
1191.510742,1078.358154,44
1207.527954,1207.527954,44
1207.527954,1207.527954,44
1207.527954,1191.510742,44
1207.527954,1147.044556,44
1207.527954,1162.471313,44
1207.527954,1207.527954,44
1207.527954,1172.689819,44
1207.527954,1150.537598,44
1207.527954,1115.685547,44
1207.527954,1167.708008,44
1207.527954,1127.279419,44
1207.527954,1184.691650,44
1207.527954,1207.527954,44
1207.527954,1185.015869,44
1207.527954,1185.015869,43
1207.527954,1184.691650,44
1207.527954,1184.691650,44
1207.527954,1184.691650,43
1207.527954,1184.691650,43
1207.527954,1184.691650,43
1207.527954,1057.872559,43
1207.527954,1018.370178,43
1207.527954,1124.745117,43
1246.177490,1246.177490,43
1246.177490,1181.381958,43
1246.177490,1181.062012,43
1246.177490,1204.184082,43
1246.177490,1181.062012,43
1246.177490,1188.217773,43
1246.177490,1234.572754,43
1246.177490,1234.572754,43
1295.098389,1295.098389,43
1313.829956,1313.829956,43
1313.829956,1270.985474,43
1313.829956,1312.641846,43
1313.829956,1312.641846,43
1313.829956,1263.496948,43
1313.829956,1288.089478,44
1338.017212,1338.017212,44
1338.017212,1294.077148,44
1338.017212,1318.762451,44
