candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 3.891918s
it: 0, best fitness: 77.9062, curr fitness: 77.9062, tabu list size: 1
it: 1, best fitness: 78.0959, curr fitness: 78.0959, tabu list size: 2
it: 2, best fitness: 95.3537, curr fitness: 95.3537, tabu list size: 3
it: 3, best fitness: 165.737, curr fitness: 165.737, tabu list size: 4
it: 4, best fitness: 187.707, curr fitness: 187.707, tabu list size: 5
it: 5, best fitness: 198.081, curr fitness: 198.081, tabu list size: 6
it: 6, best fitness: 210.268, curr fitness: 210.268, tabu list size: 7
it: 7, best fitness: 249.729, curr fitness: 249.729, tabu list size: 8
it: 8, best fitness: 268.989, curr fitness: 268.989, tabu list size: 9
it: 9, best fitness: 277.371, curr fitness: 277.371, tabu list size: 10
it: 10, best fitness: 286.329, curr fitness: 286.329, tabu list size: 11
it: 11, best fitness: 289.358, curr fitness: 289.358, tabu list size: 12
it: 12, best fitness: 290.755, curr fitness: 290.755, tabu list size: 13
it: 13, best fitness: 291.047, curr fitness: 291.047, tabu list size: 14
it: 14, best fitness: 296.517, curr fitness: 296.517, tabu list size: 15
it: 15, best fitness: 296.517, curr fitness: 293.771, tabu list size: 16
it: 16, best fitness: 301.351, curr fitness: 301.351, tabu list size: 17
it: 17, best fitness: 301.351, curr fitness: 301.351, tabu list size: 18
it: 18, best fitness: 301.351, curr fitness: 298.751, tabu list size: 19
it: 19, best fitness: 303.966, curr fitness: 303.966, tabu list size: 20
it: 20, best fitness: 303.966, curr fitness: 301.351, tabu list size: 21
it: 21, best fitness: 303.966, curr fitness: 297.312, tabu list size: 22
it: 22, best fitness: 303.966, curr fitness: 296.463, tabu list size: 23
it: 23, best fitness: 303.966, curr fitness: 293.576, tabu list size: 24
it: 24, best fitness: 303.966, curr fitness: 295.964, tabu list size: 25
it: 25, best fitness: 303.966, curr fitness: 298.02, tabu list size: 26
it: 26, best fitness: 303.966, curr fitness: 296.457, tabu list size: 27
it: 27, best fitness: 303.966, curr fitness: 296.457, tabu list size: 28
it: 28, best fitness: 303.966, curr fitness: 301.515, tabu list size: 29
it: 29, best fitness: 309.838, curr fitness: 309.838, tabu list size: 30
it: 30, best fitness: 309.838, curr fitness: 309.064, tabu list size: 31
it: 31, best fitness: 310.375, curr fitness: 310.375, tabu list size: 32
it: 32, best fitness: 312.416, curr fitness: 312.416, tabu list size: 33
it: 33, best fitness: 312.416, curr fitness: 311.999, tabu list size: 34
it: 34, best fitness: 312.416, curr fitness: 312.236, tabu list size: 35
it: 35, best fitness: 313.176, curr fitness: 313.176, tabu list size: 36
it: 36, best fitness: 313.176, curr fitness: 313.176, tabu list size: 36
it: 37, best fitness: 313.176, curr fitness: 313.176, tabu list size: 37
it: 38, best fitness: 313.176, curr fitness: 312.236, tabu list size: 38
it: 39, best fitness: 313.176, curr fitness: 310.587, tabu list size: 39
it: 40, best fitness: 313.176, curr fitness: 310.089, tabu list size: 40
it: 41, best fitness: 313.2, curr fitness: 313.2, tabu list size: 41
it: 42, best fitness: 313.2, curr fitness: 311.067, tabu list size: 42
it: 43, best fitness: 313.2, curr fitness: 310.76, tabu list size: 43
it: 44, best fitness: 313.2, curr fitness: 310.11, tabu list size: 44
it: 45, best fitness: 313.2, curr fitness: 311.022, tabu list size: 45
it: 46, best fitness: 318.58, curr fitness: 318.58, tabu list size: 46
it: 47, best fitness: 318.58, curr fitness: 317.102, tabu list size: 47
it: 48, best fitness: 318.58, curr fitness: 317.81, tabu list size: 48
it: 49, best fitness: 318.58, curr fitness: 318.159, tabu list size: 49
it: 50, best fitness: 318.58, curr fitness: 312.808, tabu list size: 50
it: 51, best fitness: 318.671, curr fitness: 318.671, tabu list size: 51
it: 52, best fitness: 318.671, curr fitness: 318.159, tabu list size: 52
it: 53, best fitness: 318.671, curr fitness: 317.253, tabu list size: 53
it: 54, best fitness: 318.671, curr fitness: 317.605, tabu list size: 54
it: 55, best fitness: 319.869, curr fitness: 319.869, tabu list size: 55
it: 56, best fitness: 320.947, curr fitness: 320.947, tabu list size: 56
it: 57, best fitness: 320.947, curr fitness: 320.687, tabu list size: 57
it: 58, best fitness: 320.947, curr fitness: 320.06, tabu list size: 58
it: 59, best fitness: 320.947, curr fitness: 320.687, tabu list size: 59
it: 60, best fitness: 320.947, curr fitness: 320.857, tabu list size: 60
it: 61, best fitness: 320.947, curr fitness: 318.514, tabu list size: 61
it: 62, best fitness: 320.947, curr fitness: 320.568, tabu list size: 61
it: 63, best fitness: 320.947, curr fitness: 318.239, tabu list size: 61
it: 64, best fitness: 320.947, curr fitness: 318.105, tabu list size: 61
it: 65, best fitness: 320.947, curr fitness: 320.179, tabu list size: 61
it: 66, best fitness: 320.947, curr fitness: 320.568, tabu list size: 61
it: 67, best fitness: 320.947, curr fitness: 319.918, tabu list size: 61
it: 68, best fitness: 320.947, curr fitness: 317.759, tabu list size: 61
it: 69, best fitness: 320.947, curr fitness: 319.927, tabu list size: 61
it: 70, best fitness: 320.947, curr fitness: 320.437, tabu list size: 61
it: 71, best fitness: 320.947, curr fitness: 320.077, tabu list size: 61
it: 72, best fitness: 320.947, curr fitness: 320.077, tabu list size: 61
it: 73, best fitness: 320.947, curr fitness: 320.262, tabu list size: 61
it: 74, best fitness: 320.947, curr fitness: 319.569, tabu list size: 61
it: 75, best fitness: 320.947, curr fitness: 320.262, tabu list size: 61
it: 76, best fitness: 320.947, curr fitness: 320.914, tabu list size: 61
it: 77, best fitness: 320.947, curr fitness: 318.758, tabu list size: 61
it: 78, best fitness: 320.947, curr fitness: 320.914, tabu list size: 61
it: 79, best fitness: 320.947, curr fitness: 320.687, tabu list size: 60
it: 80, best fitness: 320.947, curr fitness: 318.745, tabu list size: 60
it: 81, best fitness: 320.947, curr fitness: 318.009, tabu list size: 60
it: 82, best fitness: 320.947, curr fitness: 319.218, tabu list size: 60
it: 83, best fitness: 320.947, curr fitness: 320.78, tabu list size: 60
it: 84, best fitness: 320.947, curr fitness: 320.426, tabu list size: 60
it: 85, best fitness: 320.947, curr fitness: 320.682, tabu list size: 60
it: 86, best fitness: 320.947, curr fitness: 320.429, tabu list size: 60
it: 87, best fitness: 320.947, curr fitness: 314.49, tabu list size: 60
it: 88, best fitness: 320.947, curr fitness: 313.773, tabu list size: 60
it: 89, best fitness: 320.947, curr fitness: 319.908, tabu list size: 60
it: 90, best fitness: 320.947, curr fitness: 320.165, tabu list size: 60
it: 91, best fitness: 320.947, curr fitness: 318.372, tabu list size: 60
it: 92, best fitness: 320.947, curr fitness: 317.61, tabu list size: 60
it: 93, best fitness: 320.947, curr fitness: 318.3, tabu list size: 60
it: 94, best fitness: 320.947, curr fitness: 318.41, tabu list size: 60
it: 95, best fitness: 320.947, curr fitness: 316.779, tabu list size: 60
it: 96, best fitness: 320.947, curr fitness: 318.12, tabu list size: 60
it: 97, best fitness: 320.947, curr fitness: 317.266, tabu list size: 60
it: 98, best fitness: 320.947, curr fitness: 317.852, tabu list size: 60
it: 99, best fitness: 320.947, curr fitness: 319.905, tabu list size: 60
it: 100, best fitness: 320.947, curr fitness: 319.417, tabu list size: 60
it: 101, best fitness: 320.947, curr fitness: 319.791, tabu list size: 60
it: 102, best fitness: 320.947, curr fitness: 319.775, tabu list size: 60
it: 103, best fitness: 320.947, curr fitness: 317.666, tabu list size: 60
it: 104, best fitness: 320.947, curr fitness: 318.268, tabu list size: 60
it: 105, best fitness: 320.947, curr fitness: 316.779, tabu list size: 60
it: 106, best fitness: 320.947, curr fitness: 320.429, tabu list size: 60
it: 107, best fitness: 320.947, curr fitness: 317.796, tabu list size: 60
it: 108, best fitness: 320.947, curr fitness: 316.06, tabu list size: 60
it: 109, best fitness: 320.947, curr fitness: 318.414, tabu list size: 60
it: 110, best fitness: 320.947, curr fitness: 319.398, tabu list size: 60
it: 111, best fitness: 320.947, curr fitness: 320.046, tabu list size: 60
it: 112, best fitness: 320.947, curr fitness: 316.282, tabu list size: 60
it: 113, best fitness: 320.947, curr fitness: 318, tabu list size: 60
it: 114, best fitness: 320.947, curr fitness: 317.822, tabu list size: 60
it: 115, best fitness: 320.947, curr fitness: 317.621, tabu list size: 60
it: 116, best fitness: 320.947, curr fitness: 319.082, tabu list size: 60
it: 117, best fitness: 320.947, curr fitness: 318.606, tabu list size: 60
it: 118, best fitness: 320.947, curr fitness: 317.829, tabu list size: 60
it: 119, best fitness: 320.947, curr fitness: 318.606, tabu list size: 60
it: 120, best fitness: 320.947, curr fitness: 318.606, tabu list size: 60
it: 121, best fitness: 320.947, curr fitness: 318.639, tabu list size: 60
it: 122, best fitness: 320.947, curr fitness: 319.776, tabu list size: 61
it: 123, best fitness: 320.947, curr fitness: 320.34, tabu list size: 61
it: 124, best fitness: 320.947, curr fitness: 319.453, tabu list size: 61
it: 125, best fitness: 320.947, curr fitness: 319.945, tabu list size: 61
it: 126, best fitness: 320.947, curr fitness: 318.866, tabu list size: 61
it: 127, best fitness: 320.947, curr fitness: 316.903, tabu list size: 61
it: 128, best fitness: 320.947, curr fitness: 317.91, tabu list size: 61
it: 129, best fitness: 320.947, curr fitness: 318.309, tabu list size: 61
it: 130, best fitness: 320.947, curr fitness: 320.432, tabu list size: 61
it: 131, best fitness: 320.947, curr fitness: 317.258, tabu list size: 61
it: 132, best fitness: 320.947, curr fitness: 320.432, tabu list size: 61
it: 133, best fitness: 320.947, curr fitness: 318.926, tabu list size: 61
it: 134, best fitness: 320.947, curr fitness: 317.017, tabu list size: 61
it: 135, best fitness: 320.947, curr fitness: 316.172, tabu list size: 61
it: 136, best fitness: 320.947, curr fitness: 315.481, tabu list size: 61
it: 137, best fitness: 320.947, curr fitness: 318.606, tabu list size: 61
it: 138, best fitness: 320.947, curr fitness: 319.353, tabu list size: 61
it: 139, best fitness: 320.947, curr fitness: 319.915, tabu list size: 61
it: 140, best fitness: 320.947, curr fitness: 316.581, tabu list size: 61
it: 141, best fitness: 320.947, curr fitness: 319.558, tabu list size: 61
it: 142, best fitness: 320.947, curr fitness: 318.139, tabu list size: 61
it: 143, best fitness: 320.947, curr fitness: 319.558, tabu list size: 61
it: 144, best fitness: 320.947, curr fitness: 318.866, tabu list size: 61
it: 145, best fitness: 320.947, curr fitness: 317.288, tabu list size: 61
it: 146, best fitness: 320.947, curr fitness: 314.798, tabu list size: 61
it: 147, best fitness: 320.947, curr fitness: 317.051, tabu list size: 61
it: 148, best fitness: 320.947, curr fitness: 317.284, tabu list size: 61
it: 149, best fitness: 320.947, curr fitness: 319.44, tabu list size: 61
it: 150, best fitness: 320.947, curr fitness: 319.697, tabu list size: 61
it: 151, best fitness: 320.947, curr fitness: 319.908, tabu list size: 61
it: 152, best fitness: 320.947, curr fitness: 319.852, tabu list size: 61
it: 153, best fitness: 320.947, curr fitness: 319.407, tabu list size: 61
it: 154, best fitness: 320.947, curr fitness: 317.258, tabu list size: 61
it: 155, best fitness: 320.947, curr fitness: 318.3, tabu list size: 61
it: 156, best fitness: 320.947, curr fitness: 317.51, tabu list size: 61
it: 157, best fitness: 320.947, curr fitness: 318.155, tabu list size: 61
it: 158, best fitness: 320.947, curr fitness: 320.165, tabu list size: 61
it: 159, best fitness: 320.947, curr fitness: 319.559, tabu list size: 61
it: 160, best fitness: 320.947, curr fitness: 320.34, tabu list size: 61
it: 161, best fitness: 320.947, curr fitness: 320.34, tabu list size: 62
it: 162, best fitness: 320.947, curr fitness: 319.177, tabu list size: 62
it: 163, best fitness: 320.947, curr fitness: 317.051, tabu list size: 62
it: 164, best fitness: 320.947, curr fitness: 318.663, tabu list size: 62
it: 165, best fitness: 320.947, curr fitness: 319.852, tabu list size: 62
it: 166, best fitness: 320.947, curr fitness: 319.597, tabu list size: 62
it: 167, best fitness: 320.947, curr fitness: 319.275, tabu list size: 62
it: 168, best fitness: 320.947, curr fitness: 317.33, tabu list size: 62
it: 169, best fitness: 320.947, curr fitness: 319.057, tabu list size: 62
it: 170, best fitness: 320.947, curr fitness: 319.678, tabu list size: 62
it: 171, best fitness: 320.947, curr fitness: 317.593, tabu list size: 62
it: 172, best fitness: 320.947, curr fitness: 318.453, tabu list size: 62
it: 173, best fitness: 320.947, curr fitness: 320.395, tabu list size: 62
it: 174, best fitness: 320.947, curr fitness: 318.016, tabu list size: 62
it: 175, best fitness: 320.947, curr fitness: 320.278, tabu list size: 62
it: 176, best fitness: 320.947, curr fitness: 320.165, tabu list size: 62
it: 177, best fitness: 320.947, curr fitness: 320.395, tabu list size: 62
it: 178, best fitness: 320.947, curr fitness: 318.221, tabu list size: 62
it: 179, best fitness: 320.947, curr fitness: 318.016, tabu list size: 62
it: 180, best fitness: 320.947, curr fitness: 317.713, tabu list size: 62
it: 181, best fitness: 320.947, curr fitness: 320.263, tabu list size: 62
it: 182, best fitness: 320.947, curr fitness: 320.263, tabu list size: 62
it: 183, best fitness: 320.947, curr fitness: 317.058, tabu list size: 62
it: 184, best fitness: 320.947, curr fitness: 319.082, tabu list size: 62
it: 185, best fitness: 320.947, curr fitness: 319.864, tabu list size: 62
it: 186, best fitness: 320.947, curr fitness: 319.44, tabu list size: 62
it: 187, best fitness: 320.947, curr fitness: 319.915, tabu list size: 62
it: 188, best fitness: 320.947, curr fitness: 319.678, tabu list size: 62
it: 189, best fitness: 320.947, curr fitness: 318.913, tabu list size: 62
it: 190, best fitness: 320.947, curr fitness: 319.29, tabu list size: 62
it: 191, best fitness: 320.947, curr fitness: 319.864, tabu list size: 62
it: 192, best fitness: 320.947, curr fitness: 318.016, tabu list size: 62
it: 193, best fitness: 320.947, curr fitness: 315.868, tabu list size: 62
it: 194, best fitness: 320.947, curr fitness: 317.051, tabu list size: 62
it: 195, best fitness: 320.947, curr fitness: 319.678, tabu list size: 62
it: 196, best fitness: 320.947, curr fitness: 318.32, tabu list size: 62
it: 197, best fitness: 320.947, curr fitness: 318.892, tabu list size: 62
it: 198, best fitness: 320.947, curr fitness: 319.582, tabu list size: 62
it: 199, best fitness: 320.947, curr fitness: 315.998, tabu list size: 62
it: 200, best fitness: 320.947, curr fitness: 317.5, tabu list size: 62
it: 201, best fitness: 320.947, curr fitness: 318, tabu list size: 62
it: 202, best fitness: 320.947, curr fitness: 317.181, tabu list size: 62
it: 203, best fitness: 320.947, curr fitness: 319.255, tabu list size: 62
it: 204, best fitness: 320.947, curr fitness: 318.241, tabu list size: 62
it: 205, best fitness: 320.947, curr fitness: 318.877, tabu list size: 62
it: 206, best fitness: 320.947, curr fitness: 317.334, tabu list size: 62
it: 207, best fitness: 320.947, curr fitness: 317.017, tabu list size: 62
it: 208, best fitness: 320.947, curr fitness: 318.606, tabu list size: 62
it: 209, best fitness: 320.947, curr fitness: 318.877, tabu list size: 62
it: 210, best fitness: 320.947, curr fitness: 319.932, tabu list size: 62
it: 211, best fitness: 320.947, curr fitness: 318.639, tabu list size: 62
it: 212, best fitness: 320.947, curr fitness: 319.353, tabu list size: 62
it: 213, best fitness: 320.947, curr fitness: 319.558, tabu list size: 62
it: 214, best fitness: 320.947, curr fitness: 320.432, tabu list size: 62
it: 215, best fitness: 320.947, curr fitness: 317.91, tabu list size: 62
it: 216, best fitness: 320.947, curr fitness: 318.393, tabu list size: 62
it: 217, best fitness: 320.947, curr fitness: 318.543, tabu list size: 62
it: 218, best fitness: 320.947, curr fitness: 319.177, tabu list size: 62
it: 219, best fitness: 320.947, curr fitness: 319.742, tabu list size: 62
it: 220, best fitness: 320.947, curr fitness: 320.429, tabu list size: 62
it: 221, best fitness: 320.947, curr fitness: 318.41, tabu list size: 62
it: 222, best fitness: 320.947, curr fitness: 320.278, tabu list size: 62
it: 223, best fitness: 320.947, curr fitness: 319.398, tabu list size: 62
it: 224, best fitness: 320.947, curr fitness: 319.112, tabu list size: 62
it: 225, best fitness: 320.947, curr fitness: 318.79, tabu list size: 62
it: 226, best fitness: 320.947, curr fitness: 318.613, tabu list size: 62
it: 227, best fitness: 320.947, curr fitness: 316.673, tabu list size: 62
it: 228, best fitness: 320.947, curr fitness: 319.742, tabu list size: 62
it: 229, best fitness: 320.947, curr fitness: 319.742, tabu list size: 62
it: 230, best fitness: 320.947, curr fitness: 318.937, tabu list size: 62
it: 231, best fitness: 320.947, curr fitness: 318.694, tabu list size: 62
it: 232, best fitness: 320.947, curr fitness: 319.597, tabu list size: 62
it: 233, best fitness: 320.947, curr fitness: 318, tabu list size: 62
it: 234, best fitness: 320.947, curr fitness: 315.65, tabu list size: 62
it: 235, best fitness: 320.947, curr fitness: 318, tabu list size: 62
it: 236, best fitness: 320.947, curr fitness: 319.941, tabu list size: 62
it: 237, best fitness: 320.947, curr fitness: 316.172, tabu list size: 62
it: 238, best fitness: 320.947, curr fitness: 317.829, tabu list size: 62
it: 239, best fitness: 320.947, curr fitness: 319.932, tabu list size: 62
it: 240, best fitness: 320.947, curr fitness: 318.926, tabu list size: 62
it: 241, best fitness: 320.947, curr fitness: 320.429, tabu list size: 62
it: 242, best fitness: 320.947, curr fitness: 318.314, tabu list size: 62
it: 243, best fitness: 320.947, curr fitness: 317.515, tabu list size: 62
it: 244, best fitness: 320.947, curr fitness: 318.314, tabu list size: 62
it: 245, best fitness: 320.947, curr fitness: 316.683, tabu list size: 62
it: 246, best fitness: 320.947, curr fitness: 319.197, tabu list size: 62
it: 247, best fitness: 320.947, curr fitness: 316.378, tabu list size: 62
it: 248, best fitness: 320.947, curr fitness: 318.016, tabu list size: 62
it: 249, best fitness: 320.947, curr fitness: 320.395, tabu list size: 62
it: 250, best fitness: 320.947, curr fitness: 319.275, tabu list size: 62
it: 251, best fitness: 320.947, curr fitness: 318.221, tabu list size: 62
it: 252, best fitness: 320.947, curr fitness: 320.34, tabu list size: 62
it: 253, best fitness: 320.947, curr fitness: 315.937, tabu list size: 62
it: 254, best fitness: 320.947, curr fitness: 317.273, tabu list size: 62
it: 255, best fitness: 320.947, curr fitness: 317.236, tabu list size: 62
it: 256, best fitness: 320.947, curr fitness: 316.565, tabu list size: 62
it: 257, best fitness: 320.947, curr fitness: 318.12, tabu list size: 62
it: 258, best fitness: 320.947, curr fitness: 318.877, tabu list size: 62
it: 259, best fitness: 320.947, curr fitness: 319.446, tabu list size: 62
it: 260, best fitness: 320.947, curr fitness: 318.32, tabu list size: 62
it: 261, best fitness: 320.947, curr fitness: 319.559, tabu list size: 62
it: 262, best fitness: 320.947, curr fitness: 320.165, tabu list size: 62
it: 263, best fitness: 320.947, curr fitness: 318.061, tabu list size: 62
it: 264, best fitness: 320.947, curr fitness: 315.905, tabu list size: 62
it: 265, best fitness: 320.947, curr fitness: 319.177, tabu list size: 62
it: 266, best fitness: 320.947, curr fitness: 319.776, tabu list size: 62
it: 267, best fitness: 320.947, curr fitness: 319.177, tabu list size: 62
it: 268, best fitness: 320.947, curr fitness: 318.277, tabu list size: 62
it: 269, best fitness: 320.947, curr fitness: 317.223, tabu list size: 62
