candles read:
from: 2020-Aug-11 06:00:00
to: 2023-Apr-11 15:55:00
difference: 973d 09:55:00.000000
count: 1400292
duration: 1.689444
began: 2023-Apr-21 14:02:20
it: 98, best value: 200.968, curr value: 177.607, tabu list size: 31
it: 99, best value: 200.968, curr value: 146.835, tabu list size: 31
it: 100, best value: 200.968, curr value: 168.274, tabu list size: 31
it: 101, best value: 200.968, curr value: 169.41, tabu list size: 31
it: 102, best value: 200.968, curr value: 170.174, tabu list size: 31
it: 103, best value: 200.968, curr value: 172.41, tabu list size: 31
it: 104, best value: 200.968, curr value: 172.41, tabu list size: 32
it: 105, best value: 200.968, curr value: 172.41, tabu list size: 31
it: 106, best value: 200.968, curr value: 151.532, tabu list size: 31
it: 107, best value: 200.968, curr value: 170.174, tabu list size: 31
it: 108, best value: 200.968, curr value: 161.543, tabu list size: 31
it: 109, best value: 200.968, curr value: 170.174, tabu list size: 31
it: 110, best value: 200.968, curr value: 170.174, tabu list size: 31
it: 111, best value: 200.968, curr value: 140.558, tabu list size: 31
it: 112, best value: 200.968, curr value: 170.174, tabu list size: 31
it: 113, best value: 200.968, curr value: 170.174, tabu list size: 30
it: 114, best value: 200.968, curr value: 154.504, tabu list size: 30
it: 115, best value: 200.968, curr value: 170.174, tabu list size: 30
it: 116, best value: 200.968, curr value: 155.288, tabu list size: 30
it: 117, best value: 200.968, curr value: 166.857, tabu list size: 30
it: 118, best value: 200.968, curr value: 156.236, tabu list size: 30
it: 119, best value: 200.968, curr value: 165.984, tabu list size: 30
it: 120, best value: 200.968, curr value: 151.61, tabu list size: 30
it: 121, best value: 200.968, curr value: 164.824, tabu list size: 30
it: 122, best value: 200.968, curr value: 168.274, tabu list size: 30
it: 123, best value: 200.968, curr value: 168.274, tabu list size: 30
it: 124, best value: 200.968, curr value: 166.281, tabu list size: 30
it: 125, best value: 200.968, curr value: 169.417, tabu list size: 30
it: 126, best value: 200.968, curr value: 181.334, tabu list size: 30
it: 127, best value: 200.968, curr value: 181.334, tabu list size: 29
ended: 2023-Apr-21 14:03:51
duration: 1:31.154368
