time,equity
1502942400,10000.000000
1503374340,9983.416992
1503374400,10050.506836
1503374460,10050.506836
1503374520,10050.506836
1503374580,10050.506836
1503374640,10050.506836
1503374700,10050.506836
1503374760,10068.096680
1503374820,10053.423828
1503374880,10053.423828
1503374940,10053.423828
1503375000,10053.423828
1503375060,10053.423828
1503375120,10052.052734
1503375180,9994.035156
1503375240,10055.932617
1503375300,10055.932617
1503375360,10055.932617
1503375420,10055.932617
1503375480,10068.096680
1503375540,10068.096680
1503375600,10068.096680
1503375660,10068.096680
1503375720,10050.449219
1503375780,10050.449219
1503375840,10048.611328
1503375900,10050.449219
1503375960,10050.449219
1503376020,10050.449219
1503376080,10046.773438
1503376140,10050.449219
1503376200,10050.449219
1503376260,10050.449219
1503376320,10041.755859
1503376380,10038.167969
1503376440,10038.167969
1503376500,10038.167969
1503376560,10038.167969
1503376620,10050.390625
1503376680,10050.390625
1503376740,10050.390625
1503376800,10050.390625
1503376860,10045.256836
1503376920,10045.256836
1503376980,10045.256836
1503377040,10045.256836
1503377100,10045.256836
1503377160,10041.755859
1503377220,10041.755859
1503377280,10041.755859
1503377340,10041.755859
1503377400,10041.755859
1503377460,10033.822266
1503377520,10041.726562
1503377580,10041.726562
1503377640,10041.726562
1503377700,10041.726562
1503377760,10026.296875
1503377820,10020.549805
1503377880,10003.835938
1503377940,10003.835938
1503378000,10003.835938
1503378060,10003.835938
1503378120,10003.835938
1503378180,10003.835938
1503378240,10003.806641
1503378300,9996.426758
1503378360,9995.959961
1503378420,9994.706055
1503378480,9994.706055
1503378540,10012.586914
1503378600,10012.586914
1503378660,10012.586914
1503378720,10012.586914
1503378780,10012.586914
1503378840,10012.586914
1503378900,10012.586914
1503378960,10012.586914
1503379020,9993.625977
1503379080,10012.557617
1503379140,10012.557617
1503379200,10012.557617
1503379260,10012.557617
1503379320,10012.557617
1503379380,10012.557617
1503379440,10050.506836
1503379500,10050.506836
1503379560,10050.506836
1503379620,10050.506836
1503379680,10050.506836
1503379740,10050.506836
1503379800,10050.506836
1503379860,10050.506836
1503379920,10050.506836
1503379980,10050.506836
1503380040,10043.535156
1503380100,10043.535156
1503380160,10043.535156
1503380220,9986.916992
1503380280,9986.916992
1503380340,9986.916992
1503380400,9983.299805
1503380460,9983.299805
1503380520,9983.299805
1503380580,9983.299805
1503380640,9983.299805
1503380700,9983.299805
1503380760,9983.299805
1503380820,9983.299805
1503380880,9983.299805
1503380940,9983.299805
1503381000,9983.299805
1503381060,9983.299805
1503381120,9983.299805
1503381180,9983.299805
1503381240,9983.299805
1503381300,9983.299805
1503381360,9983.299805
1503381420,9983.299805
1503381480,9983.299805
1503381540,9983.299805
1503381600,9983.299805
1503381660,9983.299805
1503381720,9983.299805
1503381780,9983.299805
1503381840,9983.299805
1503381900,9983.299805
1503381960,9983.299805
1503382020,9983.299805
1503382080,9983.299805
1503382140,10050.477539
1503382200,10050.215820
1503382260,10050.215820
1503382320,10050.215820
1503382380,10050.215820
1503382440,10050.215820
1503382500,10050.215820
1503382560,10016.757812
1503382620,10016.757812
1503382680,10016.757812
1503382740,10050.215820
1503382800,10050.215820
1503382860,10050.215820
1503382920,10050.215820
1503382980,10050.506836
1503383040,10050.506836
1503383100,10050.215820
1503383160,10048.319336
1503383220,10068.125977
1503383280,10068.125977
1503383340,10068.125977
1503383400,10068.125977
1503383460,10068.125977
1503383520,10064.887695
1503383580,10064.887695
1503383640,10063.137695
1503383700,10063.137695
1503383760,10063.137695
1503383820,10068.125977
1503383880,10068.708984
1503383940,10068.708984
1503384000,10068.708984
1503384060,10068.708984
1503384120,10068.708984
1503384180,10068.708984
1503384240,10071.625977
1503384300,10066.346680
1503384360,10066.346680
1503384420,10066.346680
1503384480,10066.346680
1503384540,10059.899414
1503384600,10056.982422
1503384660,10059.899414
1503384720,10059.899414
1503384780,10059.899414
1503384840,10059.899414
1503384900,10059.899414
1503384960,10059.899414
1503385020,10057.419922
1503385080,10057.419922
1503385140,10057.419922
1503385200,10057.419922
1503385260,10057.419922
1503385320,10057.419922
1503385380,10057.419922
1503385440,10057.419922
1503385500,10057.419922
1503385560,10044.848633
1503385620,10046.394531
1503385680,10041.814453
1503385740,10041.814453
1503385800,10042.426758
1503385860,10042.426758
1503385920,10042.456055
1503385980,10042.426758
1503386040,10042.426758
1503386100,10042.456055
1503386160,10042.426758
1503386220,10042.456055
1503386280,10035.017578
1503386340,10035.017578
1503386400,10035.017578
1503386460,10034.375977
1503386520,10034.375977
1503386580,10030.613281
1503386640,10030.613281
1503386700,10030.613281
1503386760,10030.292969
1503386820,10027.958984
1503386880,10027.958984
1503386940,10035.222656
1503387000,10035.222656
1503387060,10035.222656
1503387120,10035.222656
1503387180,10035.193359
1503387240,10035.193359
1503387300,10035.222656
1503387360,10040.589844
1503387420,10040.735352
1503387480,10040.735352
1503387540,10043.768555
1503387600,10046.394531
1503387660,10046.394531
1503387720,10051.615234
1503387780,10051.644531
1503387840,10051.644531
1503387900,10051.644531
1503387960,10051.644531
1503388020,10051.644531
1503388080,10051.644531
1503388140,10051.294922
1503388200,10051.120117
1503388260,10051.120117
1503388320,10051.120117
1503388380,10047.911133
1503388440,10047.911133
