time,exit
1503275340,296.369415
1503276240,296.494720
1503277140,296.664459
1503278040,296.818207
1503278940,296.936249
1503279840,297.038208
1503280740,297.129303
1503281640,297.225159
1503282540,297.278809
1503283440,297.298370
1503284340,297.340759
1503285240,297.413574
1503286140,297.497345
1503287040,297.569519
1503287940,297.674225
1503288840,297.796783
1503289740,297.919495
1503290640,298.060608
1503291540,298.245697
1503292440,298.448212
1503293340,298.671356
1503294240,298.918243
1503295140,299.229767
1503296040,299.573853
1503296940,300.090332
1503297840,300.675201
1503298740,301.169739
1503299640,301.692108
1503300540,302.178406
1503301440,302.635437
1503302340,303.091339
1503303240,303.575378
1503304140,304.055817
1503305040,304.597504
1503305940,305.129822
1503306840,305.562714
1503307740,305.967438
1503308640,306.358734
1503309540,306.749878
1503310440,307.236450
1503311340,307.715912
1503312240,308.185760
1503313140,308.675659
1503314040,309.178192
1503314940,309.616943
1503315840,309.988800
1503316740,310.611298
1503317640,311.250214
1503318540,311.882111
1503319440,312.521240
1503320340,313.189178
1503321240,313.927765
1503322140,314.805389
1503323040,315.717010
1503323940,316.781860
1503324840,317.801147
1503325740,318.718903
1503326640,319.478638
1503327540,320.230988
1503328440,320.990051
1503329340,321.701233
1503330240,322.429413
1503331140,323.171204
1503332040,323.894440
1503332940,324.607941
1503333840,325.307007
1503334740,325.984009
1503335640,326.640259
1503336540,327.245270
1503337440,327.746307
1503338340,327.997009
1503339240,328.124573
1503340140,328.356476
1503341040,328.568359
1503341940,328.623413
1503342840,328.888153
1503343740,329.176514
1503344640,329.443298
1503345540,329.698486
1503346440,329.883545
1503347340,330.015106
1503348240,330.197815
1503349140,330.361786
1503350040,330.497864
1503350940,330.559845
1503351840,330.523315
1503352740,330.573151
1503353640,330.676941
1503354540,330.725708
1503355440,330.733643
1503356340,330.751678
1503357240,330.836090
1503358140,330.630707
1503359040,330.400055
1503359940,330.233215
1503360840,330.073578
1503361740,329.874359
1503362640,329.717926
1503363540,329.452606
1503364440,329.067230
1503365340,328.535645
1503366240,327.959015
1503367140,327.348206
1503368040,326.772705
1503368940,326.243164
1503369840,325.776428
1503370740,325.317657
1503371640,324.847015
1503372540,324.334686
1503373440,323.813110
1503374340,322.943634
1503375240,320.516571
1503376140,319.793091
1503377040,318.961304
1503377940,317.962219
