candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2354949
duration: 3.070790s
it: 0, population size: 1030, mean fitness: 182.26, best fitness: 897.863
it: 1, population size: 1036, mean fitness: 298.669, best fitness: 1099.31
it: 2, population size: 1042, mean fitness: 380.951, best fitness: 1205.53
it: 3, population size: 1048, mean fitness: 460.446, best fitness: 1218.76
it: 4, population size: 1054, mean fitness: 553.116, best fitness: 1286.79
it: 5, population size: 1060, mean fitness: 626.215, best fitness: 1286.79
it: 6, population size: 1066, mean fitness: 681.557, best fitness: 1285.04
it: 7, population size: 1072, mean fitness: 702.425, best fitness: 1285.04
it: 8, population size: 1078, mean fitness: 692.446, best fitness: 1363.76
it: 9, population size: 1084, mean fitness: 708.371, best fitness: 1363.76
it: 10, population size: 1090, mean fitness: 722.255, best fitness: 1363.76
it: 11, population size: 1096, mean fitness: 765.204, best fitness: 1436.94
it: 12, population size: 1102, mean fitness: 783.016, best fitness: 1436.94
it: 13, population size: 1108, mean fitness: 811.206, best fitness: 1436.94
it: 14, population size: 1114, mean fitness: 854.91, best fitness: 1436.94
it: 15, population size: 1120, mean fitness: 886.454, best fitness: 1436.94
it: 16, population size: 1126, mean fitness: 898.852, best fitness: 1451.7
it: 17, population size: 1132, mean fitness: 942.893, best fitness: 1451.7
it: 18, population size: 1138, mean fitness: 954.548, best fitness: 1462.44
it: 19, population size: 1144, mean fitness: 957.788, best fitness: 1462.44
it: 20, population size: 1150, mean fitness: 972.476, best fitness: 1462.44
it: 21, population size: 1156, mean fitness: 941.044, best fitness: 1462.44
it: 22, population size: 1162, mean fitness: 958.383, best fitness: 1462.44
it: 23, population size: 1168, mean fitness: 972.958, best fitness: 1472.81
it: 24, population size: 1174, mean fitness: 967.538, best fitness: 1482.85
it: 25, population size: 1180, mean fitness: 962.138, best fitness: 1482.85
it: 26, population size: 1186, mean fitness: 998.921, best fitness: 1472.81
it: 27, population size: 1192, mean fitness: 1004.48, best fitness: 1476.58
it: 28, population size: 1198, mean fitness: 997.438, best fitness: 1476.58
it: 29, population size: 1204, mean fitness: 1012.02, best fitness: 1487.06
it: 30, population size: 1210, mean fitness: 1038.47, best fitness: 1487.06
it: 31, population size: 1216, mean fitness: 1018.83, best fitness: 1501.29
it: 32, population size: 1222, mean fitness: 1018.72, best fitness: 1487.06
it: 33, population size: 1228, mean fitness: 1023.88, best fitness: 1487.06
it: 34, population size: 1234, mean fitness: 1028.74, best fitness: 1487.06
it: 35, population size: 1240, mean fitness: 1020.2, best fitness: 1487.06
it: 36, population size: 1246, mean fitness: 1008.99, best fitness: 1487.06
it: 37, population size: 1252, mean fitness: 1006.08, best fitness: 1487.06
it: 38, population size: 1258, mean fitness: 1036.69, best fitness: 1487.06
it: 39, population size: 1264, mean fitness: 1050.91, best fitness: 1487.06
duration: 16:31.578380
