candles read:
from: 2018-May-04 08:11:00
to: 2023-Apr-11 18:09:00
difference: 1803d 09:58:00.000000
count: 2591038
duration: 2.998289
began: 2023-Apr-21 14:07:24
it: 100, best value: 221.392, curr value: 220.372, tabu list size: 30
it: 101, best value: 221.392, curr value: 220.372, tabu list size: 30
it: 102, best value: 221.392, curr value: 180.183, tabu list size: 30
it: 103, best value: 221.392, curr value: 205.206, tabu list size: 30
it: 104, best value: 221.392, curr value: 209.472, tabu list size: 30
it: 105, best value: 221.392, curr value: 205.206, tabu list size: 30
it: 106, best value: 221.392, curr value: 196.146, tabu list size: 30
it: 107, best value: 221.392, curr value: 207.859, tabu list size: 30
it: 108, best value: 221.392, curr value: 193.08, tabu list size: 30
it: 109, best value: 221.392, curr value: 193.08, tabu list size: 30
it: 110, best value: 221.392, curr value: 193.376, tabu list size: 29
it: 111, best value: 221.392, curr value: 193.376, tabu list size: 28
it: 112, best value: 221.392, curr value: 183.147, tabu list size: 28
it: 113, best value: 221.392, curr value: 168.486, tabu list size: 28
it: 114, best value: 221.392, curr value: 183.147, tabu list size: 28
it: 115, best value: 221.392, curr value: 167.075, tabu list size: 28
it: 116, best value: 221.392, curr value: 184.635, tabu list size: 28
it: 117, best value: 221.392, curr value: 166.68, tabu list size: 28
it: 118, best value: 221.392, curr value: 175.256, tabu list size: 28
it: 119, best value: 221.392, curr value: 184.308, tabu list size: 27
it: 120, best value: 221.392, curr value: 193.376, tabu list size: 27
it: 121, best value: 221.392, curr value: 206.263, tabu list size: 27
it: 122, best value: 221.392, curr value: 189.707, tabu list size: 27
it: 123, best value: 221.392, curr value: 200.162, tabu list size: 26
it: 124, best value: 221.392, curr value: 208.715, tabu list size: 26
it: 125, best value: 221.392, curr value: 188.523, tabu list size: 27
it: 126, best value: 221.392, curr value: 183.407, tabu list size: 27
it: 127, best value: 221.392, curr value: 212.162, tabu list size: 27
ended: 2023-Apr-21 14:11:11
duration: 3:47.472270
