time,close balance
1502942400,10000.000000
1503382140,10302.865234
1504550580,10183.732422
1504593060,11624.169922
1504908360,11901.252930
1505437440,11885.261719
1505478240,12428.601562
1512004860,12924.487305
1513737540,14479.564453
1513894560,14841.719727
1513938240,15254.416992
1513957320,16747.275391
1514096880,18088.261719
1515432120,19848.015625
1515655740,21942.384766
1516117320,22802.556641
1516145040,24945.517578
1516208160,27537.205078
1517576880,31236.066406
1517862600,34539.304688
1517909220,36248.507812
1536222480,37177.968750
1542239700,38234.195312
1542724380,39147.250000
1551062760,37848.714844
1554359880,39025.789062
1559282040,39573.742188
1563174060,40914.335938
1563323820,41427.117188
1569376740,42128.250000
1584036420,38145.753906
1584069540,39302.148438
1584368460,39490.773438
1584742020,43758.648438
1589097960,44992.140625
1596379500,47625.828125
1610090640,49592.308594
1610358720,50317.156250
1610398200,53696.500000
1614023820,58006.328125
1614085680,61323.855469
1618756020,63725.023438
1619172360,64849.699219
1620884760,67995.320312
1621439340,68085.867188
1621483260,73057.984375
1621638900,80750.062500
1621797840,85770.968750
1631057160,91116.757812
1638620400,98189.812500
1652351100,100475.046875
1655135040,101904.531250
