time,open order
1503374340,280.000000
1504510080,291.130005
1504510320,280.220001
1504510380,280.220001
1504576080,235.550003
1504576260,247.009995
1504576440,242.009995
1504878720,289.100006
1504879680,281.000000
1504880100,272.000000
1505394360,230.610001
1505472600,197.110001
1511983980,421.000000
1511984040,415.000000
1511984100,406.140015
1513730160,696.010010
1513730280,678.000000
1513730340,668.330017
1513871280,715.000000
1513912740,655.000000
1513914420,643.099976
1513927020,605.000000
1513951140,570.000000
1513951440,561.000000
1513951800,542.020020
1514083620,590.000000
1514084340,583.000000
1515422520,1001.109985
1515422760,988.479980
1515422820,970.330017
1515644220,1100.500000
1515644280,1080.020020
1515644340,1069.989990
1516091220,1050.000000
1516091280,1038.010010
1516091400,1021.000000
1516138080,920.989990
1516138500,900.010010
1516138680,888.000000
1516199340,790.000000
1516199700,780.359985
1516200000,766.989990
1517575080,802.000000
1517575560,786.960022
1517859840,646.969971
1517860680,636.890015
1517892900,594.309998
1517893380,584.590027
1517893800,572.510010
1536193620,212.589996
1542213000,178.580002
1542213060,176.309998
1542703560,129.210007
1551017640,141.880005
1551017700,138.020004
1551017760,137.210007
1554332760,150.300003
1559251620,241.850006
1563150540,204.850006
1563296700,193.770004
1569351300,168.850006
1569351540,165.330002
1569351660,161.899994
1584009420,156.070007
1584009480,153.009995
1584009660,149.419998
1584055320,118.110001
1584055380,115.889999
1584055440,112.900002
1584344160,106.320000
1584736140,121.879997
1584736200,119.919998
1584736260,117.489998
1589070000,185.020004
1589070060,180.699997
1596343260,326.429993
1610073840,1070.569946
1610335800,1091.660034
1610335920,1073.250000
1610336220,1023.750000
1610381580,935.440002
1610381880,920.599976
1614003360,1579.900024
1614003480,1569.780029
1614070560,1464.969971
1614071340,1402.939941
1614071460,1357.000000
1618716180,2052.459961
1618716840,2000.000000
1618716900,1952.630005
1619144700,2122.929932
1620864120,3582.639893
1621399260,2906.159912
1621423860,2500.010010
1621423920,2484.409912
1621471020,2310.000000
1621471380,2261.139893
1621471440,2234.100098
1621631400,2187.610107
1621631880,2108.510010
1621631940,2105.760010
1621775280,1873.869995
1621787820,1753.859985
1631027220,3268.020020
1631027280,3110.080078
1631027340,3038.169922
1638595560,3603.570068
1638595620,3516.229980
1652332380,1822.810059
1655111280,1184.520020
