time,entry level 1,entry level 2,entry level 3
1503503940,279.255981,274.269287,269.282562
1503507540,279.076630,274.093109,269.109589
1503511140,278.882904,273.902863,268.922821
1503514740,278.678497,273.702087,268.725708
1503518340,278.472382,273.499664,268.526947
1503521940,278.074036,273.108429,268.142822
1503525540,277.919434,272.956604,267.993744
1503529140,277.904877,272.942261,267.979675
1503532740,277.936462,272.973297,268.010162
1503536340,277.783081,272.822693,267.862274
1503539940,277.546600,272.590424,267.634216
1503543540,277.261261,272.310150,267.359070
1503547140,276.955719,272.010101,267.064453
1503550740,276.700775,271.759674,266.818604
1503554340,276.904694,271.959961,267.015228
1503557940,277.177643,272.228027,267.278442
1503561540,277.467346,272.512573,267.557800
1503565140,277.736420,272.776855,267.817261
1503568740,278.066254,273.100769,268.135315
1503572340,278.356689,273.386047,268.415405
1503575940,278.788116,273.809753,268.831421
1503579540,279.437073,274.447144,269.457184
1503583140,279.988831,274.989014,269.989227
1503586740,280.458160,275.449982,270.441803
1503590340,280.703156,275.690613,270.678040
1503593940,280.901001,275.884918,270.868835
1503597540,281.107849,276.088074,271.068298
1503601140,281.340454,276.316528,271.292572
1503604740,281.718414,276.687714,271.657043
1503608340,281.812225,276.779877,271.747498
1503611940,281.619232,276.590332,271.561401
1503615540,281.690948,276.660736,271.630554
1503619140,281.774078,276.742371,271.710693
1503622740,282.098053,277.060608,272.023132
1503626340,282.680420,277.632568,272.584686
1503629940,283.272736,278.214294,273.155853
1503633540,283.793121,278.725403,273.657654
1503637140,284.406586,279.327911,274.249207
1503640740,285.451965,280.354614,275.257263
1503644340,286.457977,281.342651,276.227356
1503647940,287.281219,282.151184,277.021179
1503651540,288.082581,282.938232,277.793915
1503655140,288.849884,283.691864,278.533844
1503658740,289.121155,283.958282,278.795380
1503662340,289.380981,284.213470,279.045929
1503665940,289.756012,284.581787,279.407593
1503669540,290.055450,284.875885,279.696320
1503673140,290.102600,284.922211,279.741791
1503676740,290.292908,285.109131,279.925323
1503680340,290.642426,285.452393,280.262329
1503683940,290.850983,285.657196,280.463440
1503687540,290.925842,285.730743,280.535614
1503691140,290.962280,285.766541,280.570770
1503694740,290.834442,285.640961,280.447510
1503698340,290.615692,285.426117,280.236572
1503701940,290.370697,285.185516,280.000305
1503705540,290.008545,284.829834,279.651093
1503709140,289.602142,284.430695,279.259216
1503712740,289.008606,283.847748,278.686890
1503716340,288.140900,282.995544,277.850159
1503719940,287.285828,282.155731,277.025635
1503723540,286.698364,281.578766,276.459137
1503727140,286.295380,281.182953,276.070557
1503730740,286.007599,280.900330,275.793060
1503734340,285.767700,280.664703,275.561707
1503737940,285.799072,280.695496,275.591949
1503741540,285.820679,280.716766,275.612823
1503745140,285.801971,280.698364,275.594757
1503748740,286.098022,280.989136,275.880219
1503752340,286.436096,281.321167,276.206238
1503755940,286.803375,281.681885,276.560394
1503759540,287.493408,282.359589,277.225769
1503763140,287.865997,282.725555,277.585083
1503766740,288.018890,282.875702,277.732513
1503770340,288.134094,282.988861,277.843597
1503773940,288.102264,282.957581,277.812897
1503777540,288.341919,283.192932,278.043976
1503781140,288.692627,283.537415,278.382172
1503784740,289.090271,283.927948,278.765625
1503788340,289.331635,284.165009,278.998352
1503791940,289.317047,284.150665,278.984283
1503795540,289.642487,284.470306,279.298126
1503799140,290.199341,285.017212,279.835083
1503802740,290.653137,285.462891,280.272644
1503806340,291.085022,285.887085,280.689148
1503809940,291.452057,286.247559,281.043030
1503813540,291.786255,286.575775,281.365326
1503817140,291.979248,286.765320,281.551392
1503820740,292.281342,287.062042,281.842743
1503824340,292.416748,287.195007,281.973267
1503827940,292.509583,287.286194,282.062805
1503831540,292.627472,287.401978,282.176483
1503835140,292.738770,287.511292,282.283813
1503838740,292.834045,287.604889,282.375702
1503842340,292.847656,287.618256,282.388824
1503845940,292.680450,287.454010,282.227570
1503849540,292.667328,287.441132,282.214905
1503853140,292.753113,287.525391,282.297638
1503856740,293.100922,287.867004,282.633057
1503860340,293.500031,288.258972,283.017883
1503863940,293.894989,288.646881,283.398743
1503867540,294.304535,289.049103,283.793671
1503871140,294.823212,289.558533,284.293823
1503874740,295.252960,289.980560,284.708191
1503878340,296.197479,290.908234,285.618988
1503881940,297.497314,292.184875,286.872437
1503885540,298.614899,293.282501,287.950073
1503889140,299.719574,294.367432,289.015320
1503892740,300.556427,295.189331,289.822266
1503896340,300.535522,295.168823,289.802094
1503899940,300.251862,294.890228,289.528595
1503903540,300.106537,294.747498,289.388428
1503907140,300.049408,294.691376,289.333374
1503910740,299.675598,294.324249,288.972900
1503914340,298.854553,293.517853,288.181183
1503917940,298.193695,292.868805,287.543915
1503921540,297.464996,292.153137,286.841248
1503925140,296.961884,291.658997,286.356110
1503928740,297.330353,292.020874,286.711395
1503932340,297.894714,292.575165,287.255615
1503935940,298.401733,293.073120,287.744537
1503939540,298.804230,293.468445,288.132660
1503943140,299.058472,293.718140,288.377808
1503946740,299.414307,294.067627,288.720947
1503950340,299.943909,294.587769,289.231628
1503953940,300.227081,294.865875,289.504669
1503957540,300.485443,295.119629,289.753815
1503961140,300.873108,295.500397,290.127655
1503964740,301.269073,295.889252,290.509460
1503968340,301.707306,296.319672,290.932037
1503971940,302.348724,296.949646,291.550537
1503975540,303.014435,297.603485,292.192505
1503979140,303.685028,298.262085,292.839142
1503982740,304.257446,298.824280,293.391083
1503986340,305.188080,299.738312,294.288513
1503989940,306.110504,300.644226,295.177979
1503993540,306.945618,301.464447,295.983276
1503997140,307.738708,302.243378,296.748047
1504000740,308.854095,303.338837,297.823608
1504004340,310.178497,304.639618,299.100708
1504007940,311.338379,305.778748,300.219147
1504011540,312.246674,306.670837,301.095001
1504015140,313.421844,307.825012,302.228210
1504018740,314.393829,308.779633,303.165466
1504022340,315.359711,309.728302,304.096863
1504025940,316.405334,310.755249,305.105164
1504029540,317.822357,312.146973,306.471558
1504033140,318.891083,313.196594,307.502106
1504036740,319.449127,313.744690,308.040222
1504040340,320.315125,314.595215,308.875305
1504043940,321.735321,315.990021,310.244751
1504047540,322.964691,317.197449,311.430237
1504051140,324.129883,318.341858,312.553833
1504054740,324.912292,319.110291,313.308289
1504058340,325.640961,319.825958,314.010925
1504061940,326.078217,320.255402,314.432587
1504065540,326.481201,320.651184,314.821167
1504069140,327.262146,321.418182,315.574219
1504072740,328.229034,322.367798,316.506561
1504076340,329.341492,323.460388,317.579285
1504079940,330.104431,324.209717,318.315002
1504083540,330.415802,324.515503,318.615234
1504087140,330.352356,324.453217,318.554077
1504090740,329.922150,324.030701,318.139221
1504094340,329.945496,324.053619,318.161713
1504097940,330.282593,324.384705,318.486786
1504101540,330.647186,324.742767,318.838348
1504105140,330.454437,324.553467,318.652496
1504108740,329.767578,323.878876,317.990173
1504112340,329.552216,323.667358,317.782501
1504115940,330.113678,324.218781,318.323914
1504119540,331.467499,325.548431,319.629364
1504123140,332.936768,326.991486,321.046173
1504126740,333.945709,327.982391,322.019073
1504130340,334.504974,328.531677,322.558350
1504133940,334.807556,328.828857,322.850159
1504137540,335.478882,329.488190,323.497498
1504141140,335.949921,329.950836,323.951721
1504144740,335.983704,329.984009,323.984283
1504148340,335.652191,329.658386,323.664612
1504151940,335.396484,329.407257,323.418060
1504155540,335.365875,329.377197,323.388519
1504159140,335.216644,329.230621,323.244598
1504162740,334.995941,329.013855,323.031799
1504166340,334.783752,328.805481,322.827179
1504169940,334.498169,328.524994,322.551788
1504173540,334.290344,328.320892,322.351410
1504177140,334.333374,328.363129,322.392883
1504180740,334.741211,328.763702,322.786163
1504184340,335.061554,329.078339,323.095093
1504187940,335.328918,329.340912,323.352905
1504191540,335.729980,329.734802,323.739624
1504195140,336.163574,330.160675,324.157745
1504198740,336.544464,330.534729,324.525024
1504202340,336.906128,330.889954,324.873749
1504205940,337.273132,331.250397,325.227661
1504209540,337.553375,331.525635,325.497894
1504213140,337.554596,331.526825,325.499084
1504216740,337.486542,331.459991,325.433441
1504220340,337.319061,331.295502,325.271973
1504223940,337.112244,331.092377,325.072510
1504227540,337.220398,331.198608,325.176819
1504231140,337.699707,331.669342,325.638977
1504234740,338.314850,332.273529,326.232178
1504238340,338.996643,332.943115,326.889618
1504241940,339.611084,333.546600,327.482117
1504245540,339.789978,333.722290,327.654602
1504249140,339.831299,333.762878,327.694458
1504252740,340.014557,333.942871,327.871185
1504256340,340.473907,334.394043,328.314148
1504259940,340.753662,334.668793,328.583893
1504263540,340.622192,334.539642,328.457092
1504267140,340.410004,334.331238,328.252502
1504270740,340.167419,334.093018,328.018585
1504274340,340.026703,333.954803,327.882904
1504277940,340.252258,334.176331,328.100403
1504281540,340.478790,334.398804,328.318817
1504285140,340.589874,334.507904,328.425934
1504288740,340.643585,334.560669,328.477722
1504292340,340.737396,334.652802,328.568207
1504295940,340.705078,334.621063,328.537048
1504299540,340.737396,334.652802,328.568207
1504303140,340.752960,334.668091,328.583191
1504306740,340.801575,334.715820,328.630066
1504310340,340.852600,334.765961,328.679291
1504313940,341.173920,335.081543,328.989136
1504317540,341.223511,335.130219,329.036957
1504321140,340.616608,334.534149,328.451721
1504324740,339.585052,333.521057,327.457031
1504328340,338.483063,332.438721,326.394379
1504331940,335.794128,329.797791,323.801483
1504335540,332.754944,326.812897,320.870850
1504339140,330.489197,324.587616,318.686005
1504342740,327.515656,321.667175,315.818665
1504346340,323.935211,318.150635,312.366089
1504349940,320.602417,314.877380,309.152344
1504353540,317.969147,312.291138,306.613129
1504357140,315.564362,309.929291,304.294220
1504360740,313.308075,307.713287,302.118500
1504364340,311.559784,305.996216,300.432648
1504367940,309.578400,304.050232,298.522034
1504371540,306.742920,301.265350,295.787811
1504375140,304.770294,299.327942,293.885620
1504378740,303.443207,298.024567,292.605927
1504382340,301.841461,296.451447,291.061401
1504385940,299.374695,294.028717,288.682739
1504389540,296.488892,291.194427,285.899994
1504393140,294.084595,288.833069,283.581573
1504396740,293.358582,288.120026,282.881470
1504400340,294.200775,288.947174,283.693604
1504403940,295.256592,289.984161,284.711731
1504407540,295.988922,290.703400,285.417877
1504411140,296.719788,291.421234,286.122650
1504414740,298.156250,292.832031,287.507812
