curr state net profit,temperature
8491.688477,57.000000
610.239990,56.715000
4166.298340,56.431426
8042.500000,56.149269
21925.466797,55.868523
11164.872070,55.589180
27884.753906,55.311235
24761.039062,55.034679
17295.634766,54.759506
15067.070312,54.485708
8945.546875,54.213280
7969.762207,53.942214
3214.417969,53.672503
13013.429688,53.404141
3022.843262,53.137120
4597.052734,52.871435
8234.979492,52.607078
1571.851074,52.344043
2170.601562,52.082323
0.000000,51.821912
11605.695312,51.562802
1551.205322,51.304989
9794.423828,51.048464
22076.148438,50.793222
23543.222656,50.539256
1915.203613,50.286560
2832.814941,50.035127
10270.103516,49.784952
12969.355469,49.536027
8125.596680,49.288347
16194.366211,49.041906
8698.630859,48.796697
20740.882812,48.552713
28230.042969,48.309950
28230.042969,48.068401
36043.980469,47.828059
14473.078125,47.588919
20517.914062,47.350974
18575.402344,47.114220
40754.539062,46.878649
50612.671875,46.644256
69488.703125,46.411035
69488.703125,46.178980
69488.703125,45.948085
69488.703125,45.718345
77112.210938,45.489753
77112.210938,45.262305
77112.210938,45.035994
80218.976562,44.810814
77112.210938,44.586760
69488.703125,44.363826
69488.703125,44.142007
72341.640625,43.921298
77112.210938,43.701691
69488.703125,43.483183
72341.640625,43.265767
72341.640625,43.049439
69488.703125,42.834192
69488.703125,42.620021
69488.703125,42.406921
72341.640625,42.194887
77112.210938,41.983912
69488.703125,41.773993
69488.703125,41.565123
77112.210938,41.357298
77112.210938,41.150512
72341.640625,40.944759
77112.210938,40.740036
77112.210938,40.536336
77112.210938,40.333654
77112.210938,40.131986
77112.210938,39.931326
69488.703125,39.731670
72341.640625,39.533012
69488.703125,39.335347
69488.703125,39.138670
69488.703125,38.942977
77112.210938,38.748263
80218.976562,38.554521
77112.210938,38.361749
77112.210938,38.169940
77112.210938,37.979091
80218.976562,37.789196
80218.976562,37.600250
80218.976562,37.412249
77112.210938,37.225188
80218.976562,37.039062
80218.976562,36.853867
