candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.268418
began: 2023-May-02 11:51:39
it: 97, temperature: 16.8309, curr value: 754.849, best value: 754.849
it: 98, temperature: 16.8004, curr value: 754.849, best value: 754.849
it: 99, temperature: 16.7702, curr value: 754.849, best value: 754.849
it: 100, temperature: 16.7405, curr value: 749.084, best value: 754.849
it: 101, temperature: 16.7112, curr value: 749.084, best value: 754.849
it: 102, temperature: 16.6823, curr value: 691.234, best value: 754.849
it: 103, temperature: 16.6537, curr value: 691.234, best value: 754.849
it: 104, temperature: 16.6255, curr value: 639.625, best value: 754.849
it: 105, temperature: 16.5977, curr value: 754.849, best value: 754.849
it: 106, temperature: 16.5702, curr value: 754.849, best value: 754.849
it: 107, temperature: 16.5431, curr value: 741.013, best value: 754.849
it: 108, temperature: 16.5163, curr value: 718.324, best value: 754.849
it: 109, temperature: 16.4898, curr value: 718.324, best value: 754.849
it: 110, temperature: 16.4637, curr value: 703.918, best value: 754.849
it: 111, temperature: 16.4379, curr value: 703.918, best value: 754.849
it: 112, temperature: 16.4124, curr value: 718.324, best value: 754.849
it: 113, temperature: 16.3872, curr value: 718.324, best value: 754.849
it: 114, temperature: 16.3622, curr value: 718.324, best value: 754.849
it: 115, temperature: 16.3376, curr value: 718.324, best value: 754.849
it: 116, temperature: 16.3133, curr value: 703.918, best value: 754.849
it: 117, temperature: 16.2892, curr value: 703.918, best value: 754.849
it: 118, temperature: 16.2654, curr value: 741.013, best value: 754.849
it: 119, temperature: 16.2419, curr value: 741.013, best value: 754.849
it: 120, temperature: 16.2187, curr value: 741.013, best value: 754.849
it: 121, temperature: 16.1957, curr value: 746.227, best value: 754.849
it: 122, temperature: 16.1729, curr value: 746.227, best value: 754.849
it: 123, temperature: 16.1504, curr value: 730.81, best value: 754.849
it: 124, temperature: 16.1282, curr value: 751.215, best value: 754.849
it: 125, temperature: 16.1061, curr value: 746.227, best value: 754.849
it: 126, temperature: 16.0844, curr value: 741.013, best value: 754.849
it: 127, temperature: 16.0628, curr value: 749.084, best value: 754.849
it: 128, temperature: 16.0415, curr value: 749.084, best value: 754.849
