candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.527870
began: 2023-Apr-21 09:21:33
it: 0, best value: -55.8435, curr value: -55.8435, tabu list size: 1
it: 1, best value: -54.3707, curr value: -54.3707, tabu list size: 2
it: 2, best value: -9.89595, curr value: -9.89595, tabu list size: 3
it: 3, best value: 0.993187, curr value: 0.993187, tabu list size: 4
it: 4, best value: 11.2114, curr value: 11.2114, tabu list size: 5
it: 5, best value: 11.2114, curr value: 11.2114, tabu list size: 6
it: 6, best value: 21.5987, curr value: 21.5987, tabu list size: 7
it: 7, best value: 41.1346, curr value: 41.1346, tabu list size: 8
it: 8, best value: 54.3962, curr value: 54.3962, tabu list size: 9
it: 9, best value: 64.9845, curr value: 64.9845, tabu list size: 10
it: 10, best value: 80.4888, curr value: 80.4888, tabu list size: 11
it: 11, best value: 80.4888, curr value: 80.4888, tabu list size: 12
it: 12, best value: 80.4888, curr value: 79.6579, tabu list size: 13
it: 13, best value: 80.4888, curr value: 80.4888, tabu list size: 14
it: 14, best value: 80.4888, curr value: 77.1313, tabu list size: 15
it: 15, best value: 80.4888, curr value: 72.7173, tabu list size: 16
it: 16, best value: 80.4888, curr value: 67.1555, tabu list size: 17
it: 17, best value: 80.4888, curr value: 73.9795, tabu list size: 18
it: 18, best value: 80.4888, curr value: 71.6379, tabu list size: 19
it: 19, best value: 80.4888, curr value: 74.4285, tabu list size: 20
it: 20, best value: 80.4888, curr value: 69.6109, tabu list size: 21
it: 21, best value: 80.4888, curr value: 68.4135, tabu list size: 22
it: 22, best value: 80.4888, curr value: 68.4135, tabu list size: 22
it: 23, best value: 80.4888, curr value: 66.3079, tabu list size: 23
it: 24, best value: 80.4888, curr value: 66.2575, tabu list size: 24
it: 25, best value: 90.5242, curr value: 90.5242, tabu list size: 25
it: 26, best value: 90.8713, curr value: 90.8713, tabu list size: 26
it: 27, best value: 93.3735, curr value: 93.3735, tabu list size: 27
it: 28, best value: 93.9029, curr value: 93.9029, tabu list size: 28
it: 29, best value: 97.4491, curr value: 97.4491, tabu list size: 29
it: 30, best value: 98.7138, curr value: 98.7138, tabu list size: 30
it: 31, best value: 102.469, curr value: 102.469, tabu list size: 31
it: 32, best value: 119.085, curr value: 119.085, tabu list size: 31
it: 33, best value: 120.755, curr value: 120.755, tabu list size: 31
it: 34, best value: 126.424, curr value: 126.424, tabu list size: 31
it: 35, best value: 126.424, curr value: 124.701, tabu list size: 31
it: 36, best value: 126.424, curr value: 122.232, tabu list size: 31
it: 37, best value: 130.145, curr value: 130.145, tabu list size: 31
it: 38, best value: 130.145, curr value: 130.145, tabu list size: 31
it: 39, best value: 131.917, curr value: 131.917, tabu list size: 31
it: 40, best value: 134.907, curr value: 134.907, tabu list size: 31
it: 41, best value: 134.907, curr value: 133.506, tabu list size: 31
it: 42, best value: 134.907, curr value: 128.908, tabu list size: 31
it: 43, best value: 134.907, curr value: 134.907, tabu list size: 31
it: 44, best value: 134.907, curr value: 134.907, tabu list size: 31
it: 45, best value: 136.116, curr value: 136.116, tabu list size: 31
it: 46, best value: 136.116, curr value: 136.116, tabu list size: 30
it: 47, best value: 136.116, curr value: 130.618, tabu list size: 30
it: 48, best value: 136.116, curr value: 136.116, tabu list size: 30
it: 49, best value: 136.116, curr value: 128.598, tabu list size: 30
it: 50, best value: 136.116, curr value: 133.506, tabu list size: 29
it: 51, best value: 136.116, curr value: 130.145, tabu list size: 29
it: 52, best value: 136.116, curr value: 129.94, tabu list size: 29
it: 53, best value: 136.116, curr value: 130.695, tabu list size: 28
