candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.619039
began: 2023-Apr-19 21:14:50
it: 97, temperature: 12.8917, curr value: 728.265, best value: 754.849
it: 98, temperature: 12.8684, curr value: 728.265, best value: 754.849
it: 99, temperature: 12.8453, curr value: 728.265, best value: 754.849
it: 100, temperature: 12.8225, curr value: 728.265, best value: 754.849
it: 101, temperature: 12.8001, curr value: 728.265, best value: 754.849
it: 102, temperature: 12.7779, curr value: 728.265, best value: 754.849
it: 103, temperature: 12.756, curr value: 728.265, best value: 754.849
it: 104, temperature: 12.7344, curr value: 728.265, best value: 754.849
it: 105, temperature: 12.7131, curr value: 706.781, best value: 754.849
it: 106, temperature: 12.6921, curr value: 706.781, best value: 754.849
it: 107, temperature: 12.6713, curr value: 751.445, best value: 754.849
it: 108, temperature: 12.6508, curr value: 751.445, best value: 754.849
it: 109, temperature: 12.6305, curr value: 751.445, best value: 754.849
it: 110, temperature: 12.6105, curr value: 741.19, best value: 754.849
it: 111, temperature: 12.5907, curr value: 741.19, best value: 754.849
it: 112, temperature: 12.5712, curr value: 741.19, best value: 754.849
it: 113, temperature: 12.5519, curr value: 749.084, best value: 754.849
it: 114, temperature: 12.5328, curr value: 749.084, best value: 754.849
it: 115, temperature: 12.5139, curr value: 749.084, best value: 754.849
it: 116, temperature: 12.4953, curr value: 749.084, best value: 754.849
it: 117, temperature: 12.4769, curr value: 730.727, best value: 754.849
it: 118, temperature: 12.4586, curr value: 686.894, best value: 754.849
it: 119, temperature: 12.4406, curr value: 751.445, best value: 754.849
it: 120, temperature: 12.4228, curr value: 751.445, best value: 754.849
it: 121, temperature: 12.4052, curr value: 751.445, best value: 754.849
it: 122, temperature: 12.3878, curr value: 746.227, best value: 754.849
it: 123, temperature: 12.3705, curr value: 746.227, best value: 754.849
it: 124, temperature: 12.3535, curr value: 746.227, best value: 754.849
it: 125, temperature: 12.3366, curr value: 746.227, best value: 754.849
it: 126, temperature: 12.3199, curr value: 746.227, best value: 754.849
it: 127, temperature: 12.3034, curr value: 746.227, best value: 754.849
it: 128, temperature: 12.2871, curr value: 746.227, best value: 754.849
it: 129, temperature: 12.2709, curr value: 746.227, best value: 754.849
it: 130, temperature: 12.2549, curr value: 751.445, best value: 754.849
it: 131, temperature: 12.2391, curr value: 749.789, best value: 754.849
