mean fitness,best fitness,population size
149.054303,701.043762,990
240.367094,714.355530,980
311.385400,795.772339,970
362.725615,837.906372,960
395.501734,850.377014,950
425.505986,876.344116,940
448.170778,880.733521,930
472.107722,885.513794,920
509.404460,920.953491,910
534.021161,935.619507,900
526.524989,955.577698,892
549.210939,972.180481,884
556.776704,985.827087,876
571.051849,985.827087,868
585.447097,999.053101,860
576.070662,1004.476624,852
580.217308,1018.194885,844
590.902186,1021.895081,836
586.537103,1021.895081,828
577.723500,1036.514648,820
588.302152,1039.308716,812
582.412589,1039.308716,804
580.111242,1053.288696,796
587.090865,1062.427490,788
573.636923,1062.427490,780
605.984168,1062.427490,772
605.251200,1078.507202,764
613.494045,1078.507202,756
614.186132,1078.507202,748
622.467766,1078.507202,740
637.142112,1107.072754,732
642.271643,1107.072754,724
641.741871,1107.072754,716
686.673358,1121.054932,708
667.102513,1121.054932,700
662.216350,1134.821777,694
685.396465,1121.054932,688
701.243171,1121.054932,682
705.966975,1121.054932,676
708.327754,1134.821777,670
678.309804,1134.821777,664
653.508078,1134.821777,658
664.237335,1161.676025,652
670.274957,1161.676025,646
707.239137,1161.676025,640
712.984860,1161.676025,634
704.473547,1161.676025,628
685.283148,1161.676025,622
718.278132,1148.365845,616
701.993314,1148.365845,610
690.723355,1148.365845,604
700.352399,1148.365845,598
725.652468,1161.676025,592
737.811659,1161.676025,586
715.885238,1161.676025,580
714.391280,1161.676025,574
730.080009,1161.676025,568
738.104728,1161.676025,562
752.345893,1161.676025,556
734.354632,1161.676025,550
767.101475,1161.676025,544
732.500837,1161.676025,538
724.711244,1161.676025,532
729.646135,1161.676025,526
715.341948,1161.676025,520
710.117052,1164.416382,514
710.713237,1164.416382,508
715.047533,1164.416382,502
696.622121,1164.416382,496
701.194393,1164.416382,492
689.207746,1164.416382,488
686.257875,1164.416382,484
668.370207,1164.416382,480
703.806096,1164.416382,476
714.182833,1164.416382,472
699.511541,1164.416382,468
725.761332,1164.416382,464
702.940246,1164.416382,460
722.816678,1164.416382,456
759.890383,1164.416382,452
716.211437,1164.416382,448
705.304628,1164.416382,444
716.727991,1164.416382,440
715.559377,1164.416382,436
684.104141,1164.416382,432
693.194362,1164.416382,428
700.179627,1164.416382,424
701.112053,1164.416382,420
714.836369,1164.416382,416
718.089084,1164.416382,412
700.330295,1164.416382,408
696.921358,1164.416382,404
700.925157,1164.416382,400
727.093956,1164.416382,396
705.053595,1164.416382,392
690.564462,1164.416382,388
695.167510,1164.416382,384
706.175645,1164.416382,380
705.965951,1164.416382,376
730.345848,1173.432007,372
