candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 3.758286
began: 2023-Apr-21 09:17:23
it: 100, best value: 391.015, curr value: 364.669, tabu list size: 30
it: 101, best value: 391.015, curr value: 385.28, tabu list size: 30
it: 102, best value: 391.015, curr value: 385.28, tabu list size: 30
it: 103, best value: 391.015, curr value: 353.456, tabu list size: 30
it: 104, best value: 391.015, curr value: 334.575, tabu list size: 30
it: 105, best value: 391.015, curr value: 348.822, tabu list size: 30
it: 106, best value: 391.015, curr value: 339.197, tabu list size: 30
it: 107, best value: 391.015, curr value: 305.847, tabu list size: 30
it: 108, best value: 391.015, curr value: 287.423, tabu list size: 30
it: 109, best value: 391.015, curr value: 276.663, tabu list size: 30
it: 110, best value: 391.015, curr value: 272.379, tabu list size: 30
it: 111, best value: 391.015, curr value: 305.62, tabu list size: 29
it: 112, best value: 391.015, curr value: 305.62, tabu list size: 29
it: 113, best value: 391.015, curr value: 272.97, tabu list size: 29
it: 114, best value: 391.015, curr value: 309.891, tabu list size: 29
it: 115, best value: 391.015, curr value: 309.891, tabu list size: 29
it: 116, best value: 391.015, curr value: 354.202, tabu list size: 29
it: 117, best value: 391.015, curr value: 391.015, tabu list size: 30
it: 118, best value: 391.015, curr value: 375.82, tabu list size: 30
it: 119, best value: 391.015, curr value: 375.82, tabu list size: 29
it: 120, best value: 391.015, curr value: 391.015, tabu list size: 29
it: 121, best value: 391.015, curr value: 355.883, tabu list size: 29
it: 122, best value: 391.015, curr value: 344.578, tabu list size: 30
it: 123, best value: 391.015, curr value: 375.82, tabu list size: 30
it: 124, best value: 391.015, curr value: 375.82, tabu list size: 29
it: 125, best value: 391.015, curr value: 375.82, tabu list size: 28
it: 126, best value: 391.015, curr value: 338.637, tabu list size: 28
it: 127, best value: 391.015, curr value: 375.82, tabu list size: 28
ended: 2023-Apr-21 09:21:30
duration: 4:07.750368
