candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2526055
duration: 3.245140s
it: 88, best fitness: 320.473, curr fitness: 304.209, tabu list size: 53
it: 89, best fitness: 320.473, curr fitness: 297.965, tabu list size: 53
it: 90, best fitness: 320.473, curr fitness: 297.965, tabu list size: 52
it: 91, best fitness: 320.473, curr fitness: 297.965, tabu list size: 53
it: 92, best fitness: 320.473, curr fitness: 305.573, tabu list size: 54
it: 93, best fitness: 320.473, curr fitness: 297.965, tabu list size: 55
it: 94, best fitness: 320.473, curr fitness: 301.773, tabu list size: 55
it: 95, best fitness: 320.473, curr fitness: 306.987, tabu list size: 56
it: 96, best fitness: 320.473, curr fitness: 309.415, tabu list size: 56
it: 97, best fitness: 320.473, curr fitness: 309.415, tabu list size: 56
it: 98, best fitness: 320.473, curr fitness: 309.587, tabu list size: 56
it: 99, best fitness: 320.473, curr fitness: 309.3, tabu list size: 56
it: 100, best fitness: 320.473, curr fitness: 309.3, tabu list size: 55
it: 101, best fitness: 320.473, curr fitness: 305.062, tabu list size: 56
it: 102, best fitness: 320.473, curr fitness: 300.524, tabu list size: 56
it: 103, best fitness: 320.473, curr fitness: 304.616, tabu list size: 56
it: 104, best fitness: 320.473, curr fitness: 309.004, tabu list size: 56
it: 105, best fitness: 320.473, curr fitness: 281.481, tabu list size: 56
it: 106, best fitness: 320.473, curr fitness: 291.343, tabu list size: 56
it: 107, best fitness: 320.473, curr fitness: 296.13, tabu list size: 56
it: 108, best fitness: 320.473, curr fitness: 304.705, tabu list size: 56
it: 109, best fitness: 320.473, curr fitness: 304.667, tabu list size: 56
it: 110, best fitness: 320.473, curr fitness: 308.997, tabu list size: 56
it: 111, best fitness: 320.473, curr fitness: 311.796, tabu list size: 56
it: 112, best fitness: 320.473, curr fitness: 311.796, tabu list size: 55
it: 113, best fitness: 320.473, curr fitness: 311.389, tabu list size: 55
it: 114, best fitness: 320.473, curr fitness: 312.732, tabu list size: 55
it: 115, best fitness: 320.473, curr fitness: 311.372, tabu list size: 55
it: 116, best fitness: 320.473, curr fitness: 309.902, tabu list size: 55
it: 117, best fitness: 320.473, curr fitness: 292.989, tabu list size: 55
it: 118, best fitness: 320.473, curr fitness: 282.424, tabu list size: 55
it: 119, best fitness: 320.473, curr fitness: 284.248, tabu list size: 55
it: 120, best fitness: 320.473, curr fitness: 292.982, tabu list size: 55
it: 121, best fitness: 320.473, curr fitness: 293.086, tabu list size: 56
it: 122, best fitness: 320.473, curr fitness: 303.911, tabu list size: 56
it: 123, best fitness: 320.473, curr fitness: 302.838, tabu list size: 56
it: 124, best fitness: 320.473, curr fitness: 301.708, tabu list size: 56
it: 125, best fitness: 320.473, curr fitness: 307.204, tabu list size: 56
