mean fitness,best fitness,population size
166.583590,620.478882,254
238.638579,620.478882,252
280.883555,656.964844,250
295.271141,656.964844,248
349.438809,688.510437,246
368.058080,688.510437,244
380.592549,708.620239,242
434.182316,788.910278,240
456.832054,788.910278,238
457.832475,741.226624,236
458.244502,741.226624,234
472.631744,880.578003,232
471.312174,880.578003,230
475.894704,880.578003,228
504.196293,918.489624,226
513.835941,955.324829,224
567.240027,1013.530884,222
588.920059,955.324829,220
578.663506,955.324829,218
579.147914,997.776123,216
574.529899,997.776123,214
576.129685,997.776123,212
577.172564,997.776123,210
596.993656,1025.161621,208
605.946740,1025.161621,206
633.230301,1025.161621,204
658.672612,1046.044067,202
696.012851,1058.318481,200
679.177438,1058.318481,200
672.540846,1092.198975,200
708.953470,1092.198975,200
657.056038,1092.198975,200
678.736115,1126.811157,200
709.051916,1126.811157,200
745.025064,1126.811157,200
730.323245,1135.650513,200
754.927721,1135.650513,200
746.571111,1135.650513,200
781.606667,1135.650513,200
788.222529,1135.650513,200
