candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 3.833705
began: 2023-Apr-21 08:59:28
it: 0, best value: -55.3396, curr value: -55.3396, tabu list size: 1
it: 1, best value: -55.3396, curr value: -55.3396, tabu list size: 2
it: 2, best value: -54.1102, curr value: -54.1102, tabu list size: 3
it: 3, best value: -53.8514, curr value: -53.8514, tabu list size: 4
it: 4, best value: -53.5765, curr value: -53.5765, tabu list size: 5
it: 5, best value: -51.0464, curr value: -51.0464, tabu list size: 6
it: 6, best value: -49.6712, curr value: -49.6712, tabu list size: 7
it: 7, best value: -0.399399, curr value: -0.399399, tabu list size: 8
it: 8, best value: 1.49823, curr value: 1.49823, tabu list size: 9
it: 9, best value: 12.1411, curr value: 12.1411, tabu list size: 10
it: 10, best value: 33.3923, curr value: 33.3923, tabu list size: 11
it: 11, best value: 77.2721, curr value: 77.2721, tabu list size: 12
it: 12, best value: 161.325, curr value: 161.325, tabu list size: 13
it: 13, best value: 175.243, curr value: 175.243, tabu list size: 14
it: 14, best value: 213.72, curr value: 213.72, tabu list size: 15
it: 15, best value: 225.778, curr value: 225.778, tabu list size: 16
it: 16, best value: 243.855, curr value: 243.855, tabu list size: 17
it: 17, best value: 243.855, curr value: 232.591, tabu list size: 18
it: 18, best value: 243.855, curr value: 223.314, tabu list size: 19
it: 19, best value: 243.855, curr value: 233.91, tabu list size: 20
it: 20, best value: 243.855, curr value: 232.591, tabu list size: 21
it: 21, best value: 256.215, curr value: 256.215, tabu list size: 22
it: 22, best value: 260.295, curr value: 260.295, tabu list size: 23
it: 23, best value: 262.509, curr value: 262.509, tabu list size: 24
it: 24, best value: 262.509, curr value: 261.973, tabu list size: 25
it: 25, best value: 262.509, curr value: 228.559, tabu list size: 26
it: 26, best value: 359.81, curr value: 359.81, tabu list size: 27
it: 27, best value: 359.81, curr value: 282.686, tabu list size: 28
it: 28, best value: 359.81, curr value: 264.323, tabu list size: 29
it: 29, best value: 359.81, curr value: 296.617, tabu list size: 30
it: 30, best value: 359.81, curr value: 262.199, tabu list size: 31
it: 31, best value: 359.81, curr value: 296.617, tabu list size: 32
it: 32, best value: 359.81, curr value: 244.926, tabu list size: 32
it: 33, best value: 359.81, curr value: 296.617, tabu list size: 32
it: 34, best value: 359.81, curr value: 296.617, tabu list size: 32
it: 35, best value: 359.81, curr value: 303.461, tabu list size: 32
it: 36, best value: 359.81, curr value: 303.461, tabu list size: 32
it: 37, best value: 359.81, curr value: 296.617, tabu list size: 31
it: 38, best value: 359.81, curr value: 296.617, tabu list size: 30
it: 39, best value: 359.81, curr value: 252.114, tabu list size: 30
it: 40, best value: 359.81, curr value: 239.641, tabu list size: 30
it: 41, best value: 359.81, curr value: 246.971, tabu list size: 30
it: 42, best value: 359.81, curr value: 233.933, tabu list size: 30
it: 43, best value: 359.81, curr value: 231.269, tabu list size: 30
it: 44, best value: 359.81, curr value: 268.164, tabu list size: 30
it: 45, best value: 359.81, curr value: 305.034, tabu list size: 30
it: 46, best value: 359.81, curr value: 286.587, tabu list size: 30
it: 47, best value: 359.81, curr value: 305.034, tabu list size: 30
it: 48, best value: 359.81, curr value: 305.034, tabu list size: 29
it: 49, best value: 359.81, curr value: 283.593, tabu list size: 29
it: 50, best value: 359.81, curr value: 270.121, tabu list size: 29
it: 51, best value: 359.81, curr value: 257.999, tabu list size: 29
it: 52, best value: 359.81, curr value: 283.593, tabu list size: 29
it: 53, best value: 359.81, curr value: 264.919, tabu list size: 29
it: 54, best value: 359.81, curr value: 261.72, tabu list size: 29
it: 55, best value: 359.81, curr value: 264.919, tabu list size: 28
it: 56, best value: 359.81, curr value: 259.239, tabu list size: 28
it: 57, best value: 359.81, curr value: 236.151, tabu list size: 28
it: 58, best value: 359.81, curr value: 339.138, tabu list size: 28
it: 59, best value: 359.81, curr value: 355.883, tabu list size: 29
it: 60, best value: 359.81, curr value: 351.171, tabu list size: 29
it: 61, best value: 359.81, curr value: 331.489, tabu list size: 29
it: 62, best value: 359.81, curr value: 346.461, tabu list size: 29
it: 63, best value: 359.81, curr value: 340.973, tabu list size: 29
it: 64, best value: 359.81, curr value: 305.847, tabu list size: 29
it: 65, best value: 359.81, curr value: 287.423, tabu list size: 29
it: 66, best value: 359.81, curr value: 287.423, tabu list size: 29
it: 67, best value: 359.81, curr value: 287.423, tabu list size: 29
it: 68, best value: 359.81, curr value: 276.663, tabu list size: 29
it: 69, best value: 359.81, curr value: 354.202, tabu list size: 29
it: 70, best value: 359.81, curr value: 341.727, tabu list size: 30
it: 71, best value: 364.669, curr value: 364.669, tabu list size: 30
it: 72, best value: 370.297, curr value: 370.297, tabu list size: 30
it: 73, best value: 370.297, curr value: 358.275, tabu list size: 30
it: 74, best value: 372.285, curr value: 372.285, tabu list size: 30
it: 75, best value: 372.285, curr value: 372.285, tabu list size: 30
it: 76, best value: 372.285, curr value: 358.275, tabu list size: 30
it: 77, best value: 378.745, curr value: 378.745, tabu list size: 30
it: 78, best value: 378.745, curr value: 364.669, tabu list size: 30
it: 79, best value: 385.28, curr value: 385.28, tabu list size: 30
it: 80, best value: 385.28, curr value: 370.297, tabu list size: 31
it: 81, best value: 391.015, curr value: 391.015, tabu list size: 31
it: 82, best value: 391.015, curr value: 349.975, tabu list size: 31
it: 83, best value: 391.015, curr value: 378.745, tabu list size: 31
it: 84, best value: 391.015, curr value: 358.275, tabu list size: 31
it: 85, best value: 391.015, curr value: 344.456, tabu list size: 31
it: 86, best value: 391.015, curr value: 349.975, tabu list size: 31
it: 87, best value: 391.015, curr value: 370.297, tabu list size: 32
it: 88, best value: 391.015, curr value: 385.28, tabu list size: 32
it: 89, best value: 391.015, curr value: 370.112, tabu list size: 32
it: 90, best value: 391.015, curr value: 375.82, tabu list size: 32
it: 91, best value: 391.015, curr value: 375.82, tabu list size: 32
it: 92, best value: 391.015, curr value: 359.013, tabu list size: 32
it: 93, best value: 391.015, curr value: 391.015, tabu list size: 32
it: 94, best value: 391.015, curr value: 362.688, tabu list size: 32
it: 95, best value: 391.015, curr value: 385.28, tabu list size: 32
it: 96, best value: 391.015, curr value: 378.745, tabu list size: 32
it: 97, best value: 391.015, curr value: 372.285, tabu list size: 32
it: 98, best value: 391.015, curr value: 351.074, tabu list size: 32
it: 99, best value: 391.015, curr value: 372.285, tabu list size: 32
it: 100, best value: 391.015, curr value: 372.285, tabu list size: 32
it: 101, best value: 391.015, curr value: 372.285, tabu list size: 31
it: 102, best value: 391.015, curr value: 358.275, tabu list size: 30
it: 103, best value: 391.015, curr value: 338.725, tabu list size: 30
