threshold
0.885894
0.517976
0.777877
0.789636
0.786651
0.920375
0.508240
0.988914
0.793724
0.384678
0.900148
0.991624
0.909895
0.817317
0.869574
0.922445
0.963988
0.897070
0.894819
0.933255
0.970017
0.822056
0.797126
0.962915
0.983806
0.737216
0.845425
0.377591
0.780627
0.762971
0.708489
0.999432
0.843001
0.793636
0.717156
0.856940
0.511075
0.995051
0.921184
0.506590
0.777769
0.787322
0.787322
0.931201
0.973216
0.805565
0.975141
0.741164
0.757802
0.876833
0.405343
0.843345
0.853989
0.593325
0.894886
0.733063
0.989060
0.894589
0.855458
0.661178
0.880360
0.536994
0.922589
0.738640
0.930288
0.970794
0.990259
0.977770
0.485385
0.916662
0.640101
0.862532
0.532379
0.933431
0.975986
0.934380
0.971427
0.974572
0.971427
0.535365
0.991221
0.991221
0.878077
0.993188
0.929698
0.881246
0.967832
0.814635
0.872293
0.910017
0.725343
0.315324
0.633901
0.882935
0.957282
0.535431
0.969562
0.693481
0.729373
0.902072
0.739683
0.991956
0.974913
0.882059
0.967232
0.450583
0.958300
0.971996
0.811947
0.868013
0.860847
0.829537
0.878678
0.961261
0.975915
0.926971
0.473198
0.769006
0.938906
0.991897
0.932466
0.979662
0.882548
0.911823
0.911149
0.833407
0.908692
0.891301
0.985090
0.984066
0.958957
0.960299
0.961327
0.979496
0.996162
0.610695
0.773407
0.491928
0.817387
0.847371
0.968944
0.952214
0.995258
0.970143
0.999809
0.999809
0.973160
0.999809
0.914893
0.841670
0.940804
0.701586
0.944444
0.933029
0.944936
0.554589
0.999491
0.985491
0.769551
0.935033
0.918955
0.863567
0.998406
0.964594
0.895025
0.964715
0.620771
0.990698
0.961185
0.967958
0.985173
0.891401
0.877160
0.967026
0.951990
0.839204
0.978966
0.978966
0.994700
0.508533
0.768491
0.982315
0.688954
0.844274
0.637867
0.414190
0.730706
0.291509
0.809147
0.699231
0.699231
0.893552
0.715504
0.715504
0.742025
0.342451
0.144066
0.848469
0.872654
0.256771
0.372437
0.748316
0.810204
0.873026
0.876604
0.926979
0.849871
0.298280
0.763028
0.362450
0.778961
0.514967
0.655206
0.820387
0.771951
0.983802
0.996212
0.336511
0.872383
0.483207
0.906411
0.479838
0.772480
0.922488
0.859204
0.867618
0.865680
0.804509
0.429539
0.844358
0.972458
0.959435
0.987147
0.734859
0.538582
0.821720
0.816377
0.806335
0.827313
0.163201
0.623513
0.086124
0.581542
0.867036
0.975896
0.949138
0.604930
0.709352
0.905193
0.806701
0.792438
0.493006
0.859452
0.986397
0.768974
0.827194
0.924926
0.768196
0.763364
0.900296
0.950417
0.950417
0.711295
0.930318
0.319711
0.793295
0.861763
0.954147
0.861763
0.971235
0.894494
0.978899
0.781967
0.901401
0.835407
0.880770
0.558511
0.930391
0.777329
0.577404
0.766522
0.946052
0.994676
0.994676
0.944970
0.917488
0.806417
0.979836
0.996338
0.999059
0.997452
0.408535
0.893064
0.938739
0.806290
0.891855
0.494305
0.881557
0.735859
0.983363
0.862761
0.710576
0.877269
0.597852
0.945161
0.959769
0.396309
0.840784
0.968442
0.839227
0.839227
0.860659
0.971434
0.993467
0.876686
0.998129
0.866201
0.995834
0.874784
0.759981
0.901995
0.897454
0.394516
0.394516
0.414322
0.792571
0.647815
0.973420
0.959667
0.959667
0.629881
0.450708
0.506790
0.790239
0.790239
0.850776
0.852841
0.870336
0.943479
0.895007
0.889484
0.900291
0.796076
0.958189
0.966552
0.844550
0.855589
0.928076
0.919130
0.775242
0.673616
0.188120
0.860809
0.871317
0.989539
0.911125
0.999712
0.946642
0.933985
0.916439
0.997074
0.997074
0.984799
0.999147
0.725263
0.999581
