candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 3.982043
began: 2023-Apr-21 15:48:11
it: 0, best value: 14.363, curr value: 14.363, tabu list size: 1
it: 1, best value: 14.363, curr value: 14.363, tabu list size: 2
it: 2, best value: 100.484, curr value: 100.484, tabu list size: 3
it: 3, best value: 100.484, curr value: 100.484, tabu list size: 4
it: 4, best value: 100.484, curr value: 100.484, tabu list size: 5
it: 5, best value: 127.778, curr value: 127.778, tabu list size: 6
it: 6, best value: 281.044, curr value: 281.044, tabu list size: 7
it: 7, best value: 285.792, curr value: 285.792, tabu list size: 8
it: 8, best value: 323.901, curr value: 323.901, tabu list size: 9
it: 9, best value: 328.733, curr value: 328.733, tabu list size: 10
it: 10, best value: 331.552, curr value: 331.552, tabu list size: 11
it: 11, best value: 331.592, curr value: 331.592, tabu list size: 12
it: 12, best value: 336.827, curr value: 336.827, tabu list size: 12
it: 13, best value: 350.936, curr value: 350.936, tabu list size: 12
it: 14, best value: 350.936, curr value: 350.936, tabu list size: 12
it: 15, best value: 350.936, curr value: 325.52, tabu list size: 12
it: 16, best value: 350.936, curr value: 282.467, tabu list size: 12
it: 17, best value: 350.936, curr value: 290.681, tabu list size: 12
it: 18, best value: 350.936, curr value: 290.681, tabu list size: 12
it: 19, best value: 350.936, curr value: 282.808, tabu list size: 12
it: 20, best value: 350.936, curr value: 290.681, tabu list size: 12
it: 21, best value: 350.936, curr value: 294.166, tabu list size: 12
it: 22, best value: 350.936, curr value: 294.166, tabu list size: 11
it: 23, best value: 350.936, curr value: 304.151, tabu list size: 11
it: 24, best value: 350.936, curr value: 287.351, tabu list size: 11
it: 25, best value: 350.936, curr value: 278.234, tabu list size: 11
it: 26, best value: 350.936, curr value: 280.604, tabu list size: 11
it: 27, best value: 350.936, curr value: 280.604, tabu list size: 11
it: 28, best value: 350.936, curr value: 272.805, tabu list size: 11
it: 29, best value: 350.936, curr value: 300.631, tabu list size: 10
it: 30, best value: 350.936, curr value: 306.741, tabu list size: 10
it: 31, best value: 350.936, curr value: 350.936, tabu list size: 10
it: 32, best value: 350.936, curr value: 332.888, tabu list size: 10
it: 33, best value: 350.936, curr value: 336.827, tabu list size: 10
it: 34, best value: 350.936, curr value: 336.827, tabu list size: 11
it: 35, best value: 350.936, curr value: 336.827, tabu list size: 10
it: 36, best value: 350.936, curr value: 329.306, tabu list size: 10
it: 37, best value: 350.936, curr value: 329.306, tabu list size: 9
it: 38, best value: 350.936, curr value: 323.901, tabu list size: 9
it: 39, best value: 350.936, curr value: 331.552, tabu list size: 9
it: 40, best value: 350.936, curr value: 331.552, tabu list size: 9
it: 41, best value: 350.936, curr value: 336.648, tabu list size: 10
it: 42, best value: 350.936, curr value: 325.52, tabu list size: 10
it: 43, best value: 350.936, curr value: 350.936, tabu list size: 10
it: 44, best value: 350.936, curr value: 350.936, tabu list size: 10
it: 45, best value: 350.936, curr value: 332.888, tabu list size: 10
it: 46, best value: 350.936, curr value: 332.888, tabu list size: 9
it: 47, best value: 350.936, curr value: 332.888, tabu list size: 10
it: 48, best value: 350.936, curr value: 288.395, tabu list size: 10
it: 49, best value: 350.936, curr value: 306.978, tabu list size: 10
it: 50, best value: 350.936, curr value: 306.978, tabu list size: 9
it: 51, best value: 350.936, curr value: 291.573, tabu list size: 9
it: 52, best value: 350.936, curr value: 331.592, tabu list size: 9
it: 53, best value: 350.936, curr value: 331.592, tabu list size: 9
it: 54, best value: 350.936, curr value: 336.827, tabu list size: 9
it: 55, best value: 350.936, curr value: 329.306, tabu list size: 9
it: 56, best value: 350.936, curr value: 350.936, tabu list size: 9
it: 57, best value: 350.936, curr value: 350.936, tabu list size: 9
it: 58, best value: 350.936, curr value: 336.648, tabu list size: 10
it: 59, best value: 350.936, curr value: 308.473, tabu list size: 10
it: 60, best value: 350.936, curr value: 336.648, tabu list size: 10
it: 61, best value: 350.936, curr value: 336.648, tabu list size: 11
it: 62, best value: 350.936, curr value: 325.52, tabu list size: 12
it: 63, best value: 350.936, curr value: 282.467, tabu list size: 12
it: 64, best value: 350.936, curr value: 290.681, tabu list size: 12
it: 65, best value: 350.936, curr value: 290.681, tabu list size: 12
it: 66, best value: 350.936, curr value: 287.443, tabu list size: 12
it: 67, best value: 350.936, curr value: 288.232, tabu list size: 12
it: 68, best value: 350.936, curr value: 294.166, tabu list size: 12
it: 69, best value: 350.936, curr value: 300.631, tabu list size: 12
it: 70, best value: 350.936, curr value: 306.966, tabu list size: 12
it: 71, best value: 350.936, curr value: 315.951, tabu list size: 11
it: 72, best value: 350.936, curr value: 345.129, tabu list size: 11
it: 73, best value: 350.936, curr value: 306.978, tabu list size: 11
it: 74, best value: 350.936, curr value: 306.978, tabu list size: 11
it: 75, best value: 350.936, curr value: 273.264, tabu list size: 11
it: 76, best value: 350.936, curr value: 311.916, tabu list size: 12
it: 77, best value: 350.936, curr value: 350.936, tabu list size: 12
it: 78, best value: 350.936, curr value: 350.936, tabu list size: 12
it: 79, best value: 350.936, curr value: 323.448, tabu list size: 12
it: 80, best value: 350.936, curr value: 350.936, tabu list size: 12
it: 81, best value: 350.936, curr value: 336.827, tabu list size: 12
it: 82, best value: 350.936, curr value: 350.936, tabu list size: 12
it: 83, best value: 350.936, curr value: 329.306, tabu list size: 12
it: 84, best value: 350.936, curr value: 336.648, tabu list size: 12
it: 85, best value: 350.936, curr value: 336.648, tabu list size: 12
it: 86, best value: 350.936, curr value: 331.552, tabu list size: 12
it: 87, best value: 350.936, curr value: 331.552, tabu list size: 12
it: 88, best value: 350.936, curr value: 320.453, tabu list size: 12
it: 89, best value: 350.936, curr value: 291.057, tabu list size: 12
it: 90, best value: 350.936, curr value: 303.069, tabu list size: 11
it: 91, best value: 350.936, curr value: 303.069, tabu list size: 11
it: 92, best value: 350.936, curr value: 293.267, tabu list size: 11
it: 93, best value: 350.936, curr value: 305.426, tabu list size: 11
it: 94, best value: 350.936, curr value: 265.019, tabu list size: 11
it: 95, best value: 350.936, curr value: 305.426, tabu list size: 11
it: 96, best value: 350.936, curr value: 305.426, tabu list size: 10
it: 97, best value: 350.936, curr value: 334.733, tabu list size: 10
it: 98, best value: 350.936, curr value: 313.114, tabu list size: 10
it: 99, best value: 350.936, curr value: 300.385, tabu list size: 10
it: 100, best value: 350.936, curr value: 334.733, tabu list size: 10
it: 101, best value: 350.936, curr value: 334.733, tabu list size: 10
it: 102, best value: 350.936, curr value: 334.733, tabu list size: 10
it: 103, best value: 350.936, curr value: 334.733, tabu list size: 9
it: 104, best value: 350.936, curr value: 334.733, tabu list size: 9
it: 105, best value: 350.936, curr value: 305.426, tabu list size: 10
it: 106, best value: 350.936, curr value: 309.521, tabu list size: 10
it: 107, best value: 350.936, curr value: 309.521, tabu list size: 9
it: 108, best value: 350.936, curr value: 309.521, tabu list size: 9
it: 109, best value: 350.936, curr value: 303.843, tabu list size: 9
it: 110, best value: 350.936, curr value: 306.966, tabu list size: 9
it: 111, best value: 350.936, curr value: 315.951, tabu list size: 9
it: 112, best value: 350.936, curr value: 297.382, tabu list size: 9
it: 113, best value: 350.936, curr value: 345.129, tabu list size: 9
it: 114, best value: 350.936, curr value: 345.129, tabu list size: 10
it: 115, best value: 350.936, curr value: 350.936, tabu list size: 10
it: 116, best value: 350.936, curr value: 336.827, tabu list size: 10
it: 117, best value: 350.936, curr value: 336.827, tabu list size: 10
it: 118, best value: 350.936, curr value: 331.592, tabu list size: 10
it: 119, best value: 350.936, curr value: 331.552, tabu list size: 11
it: 120, best value: 350.936, curr value: 331.552, tabu list size: 11
it: 121, best value: 350.936, curr value: 328.733, tabu list size: 11
it: 122, best value: 350.936, curr value: 323.901, tabu list size: 11
it: 123, best value: 350.936, curr value: 345.129, tabu list size: 11
it: 124, best value: 350.936, curr value: 320.453, tabu list size: 11
it: 125, best value: 350.936, curr value: 281.535, tabu list size: 12
it: 126, best value: 350.936, curr value: 291.057, tabu list size: 12
it: 127, best value: 350.936, curr value: 291.057, tabu list size: 12
ended: 2023-Apr-21 15:53:00
duration: 4:49.291178
