curr state net profit,temperature
13117.486328,125.000000
0.000000,125.000000
13119.032227,124.875002
17680.781250,124.750128
20233.167969,124.625380
14103.079102,124.500756
4806.969238,124.376257
696.295898,124.251882
12297.518555,124.127632
1045.006836,124.003506
13607.984375,123.879504
596.330078,123.755626
333.998108,123.631872
8476.166016,123.508242
9017.013672,123.384735
11167.769531,123.261352
44933.125000,123.138092
39326.722656,123.014956
26731.335938,122.891942
5912.972168,122.769052
13771.007812,122.646284
30769.992188,122.523640
54974.265625,122.401118
38343.414062,122.278718
15739.363281,122.156441
5485.729004,122.034286
4263.845215,121.912253
2681.253418,121.790343
19301.748047,121.668554
12417.525391,121.546887
639.851196,121.425342
11172.078125,121.303918
4529.558105,121.182615
0.000000,121.061434
695.905151,120.940375
26598.117188,120.819436
11515.013672,120.698618
12363.791016,120.577921
1230.446045,120.457344
12239.300781,120.336889
16835.562500,120.216553
9023.207031,120.096338
2627.434082,119.976243
3775.797363,119.856269
4988.935547,119.736414
2084.614258,119.616679
3062.003906,119.497064
866.198364,119.377568
2859.323730,119.258192
1743.842285,119.138936
10608.048828,119.019798
1205.994263,118.900780
5582.790039,118.781881
1911.348145,118.663101
14375.990234,118.544439
799.010010,118.425896
3621.765137,118.307472
25916.664062,118.189166
18360.544922,118.070978
13880.935547,117.952909
2855.650391,117.834957
2291.379395,117.717124
0.000000,117.599408
1071.035278,117.481810
1071.035278,117.364330
11751.152344,117.246967
2367.559326,117.129722
6572.148438,117.012594
5629.356445,116.895582
19750.390625,116.778688
3543.920898,116.661911
973.831848,116.545251
0.000000,116.428707
13925.700195,116.312280
0.000000,116.195969
944.752014,116.079775
10146.960938,115.963696
0.000000,115.847734
1952.357178,115.731888
9963.597656,115.616157
6302.663574,115.500543
889.648926,115.385044
23684.542969,115.269660
440.493103,115.154392
1010.547363,115.039239
10781.387695,114.924201
1767.577637,114.809279
2152.676025,114.694471
3078.508301,114.579778
5708.259277,114.465199
0.000000,114.350736
9488.292969,114.236386
17228.839844,114.122152
6557.871582,114.008031
0.000000,113.894024
17474.189453,113.780132
30571.185547,113.666353
0.000000,113.552688
0.000000,113.439137
8095.483887,113.325699
17285.195312,113.212375
7220.833984,113.099164
0.000000,112.986066
20655.921875,112.873082
49166.722656,112.760210
77112.210938,112.647451
61214.496094,112.534805
54974.265625,112.422272
17376.486328,112.309851
20058.390625,112.197543
21768.431641,112.085347
69488.703125,111.973263
55915.003906,111.861291
23063.187500,111.749431
0.000000,111.637683
11015.557617,111.526047
1722.450928,111.414522
0.000000,111.303109
2042.574585,111.191808
25726.029297,111.080617
0.000000,110.969538
653.704346,110.858570
198.776672,110.747713
11267.923828,110.636966
1678.719604,110.526331
8004.513672,110.415806
32689.935547,110.305392
35971.011719,110.195088
0.000000,110.084894
8773.871094,109.974811
15813.716797,109.864837
3254.625732,109.754974
16033.925781,109.645220
141.975891,109.535576
8780.979492,109.426042
24085.011719,109.316618
711.494751,109.207302
28687.421875,109.098096
20563.113281,108.989000
19347.773438,108.880012
973.831848,108.771134
0.000000,108.662364
522.086975,108.553703
7363.147949,108.445151
2965.802246,108.336707
2033.877441,108.228371
