candles read:
from: 2019-Mar-28 04:00:00
to: 2023-Apr-12 09:28:00
difference: 1476d 05:28:00.000000
count: 2122039
duration: 2.523725
began: 2023-Apr-21 14:50:47
it: 0, best value: -16.9499, curr value: -16.9499, tabu list size: 1
it: 1, best value: -16.4095, curr value: -16.4095, tabu list size: 2
it: 2, best value: -16.4095, curr value: -16.4095, tabu list size: 3
it: 3, best value: 3.12953, curr value: 3.12953, tabu list size: 4
it: 4, best value: 8.12434, curr value: 8.12434, tabu list size: 5
it: 5, best value: 24.4016, curr value: 24.4016, tabu list size: 6
it: 6, best value: 45.7865, curr value: 45.7865, tabu list size: 7
it: 7, best value: 47.2017, curr value: 47.2017, tabu list size: 8
it: 8, best value: 50.0236, curr value: 50.0236, tabu list size: 9
it: 9, best value: 53.3688, curr value: 53.3688, tabu list size: 10
it: 10, best value: 55.6914, curr value: 55.6914, tabu list size: 11
it: 11, best value: 55.9023, curr value: 55.9023, tabu list size: 12
it: 12, best value: 57.8251, curr value: 57.8251, tabu list size: 13
it: 13, best value: 67.558, curr value: 67.558, tabu list size: 14
it: 14, best value: 68.621, curr value: 68.621, tabu list size: 15
it: 15, best value: 75.1879, curr value: 75.1879, tabu list size: 16
it: 16, best value: 77.4177, curr value: 77.4177, tabu list size: 17
it: 17, best value: 80.8802, curr value: 80.8802, tabu list size: 18
it: 18, best value: 80.8802, curr value: 80.753, tabu list size: 19
it: 19, best value: 84.3283, curr value: 84.3283, tabu list size: 20
it: 20, best value: 103.886, curr value: 103.886, tabu list size: 21
it: 21, best value: 103.886, curr value: 103.886, tabu list size: 21
it: 22, best value: 103.886, curr value: 100.957, tabu list size: 22
it: 23, best value: 106.402, curr value: 106.402, tabu list size: 23
it: 24, best value: 106.402, curr value: 96.8371, tabu list size: 24
it: 25, best value: 106.402, curr value: 97.5208, tabu list size: 25
it: 26, best value: 106.402, curr value: 102.97, tabu list size: 26
it: 27, best value: 106.402, curr value: 100.407, tabu list size: 27
it: 28, best value: 106.402, curr value: 102.97, tabu list size: 28
it: 29, best value: 106.402, curr value: 97.5723, tabu list size: 29
it: 30, best value: 107.956, curr value: 107.956, tabu list size: 30
it: 31, best value: 107.956, curr value: 107.956, tabu list size: 30
it: 32, best value: 107.956, curr value: 105.902, tabu list size: 30
it: 33, best value: 107.956, curr value: 105.902, tabu list size: 30
it: 34, best value: 107.956, curr value: 103.796, tabu list size: 30
it: 35, best value: 107.956, curr value: 103.796, tabu list size: 30
it: 36, best value: 107.956, curr value: 98.0107, tabu list size: 30
it: 37, best value: 107.956, curr value: 105.902, tabu list size: 30
it: 38, best value: 107.956, curr value: 107.956, tabu list size: 29
it: 39, best value: 107.956, curr value: 100.058, tabu list size: 29
it: 40, best value: 107.956, curr value: 107.956, tabu list size: 29
it: 41, best value: 107.956, curr value: 103.861, tabu list size: 29
it: 42, best value: 107.956, curr value: 107.956, tabu list size: 29
it: 43, best value: 107.956, curr value: 91.7242, tabu list size: 29
it: 44, best value: 107.956, curr value: 88.6726, tabu list size: 29
it: 45, best value: 107.956, curr value: 100.804, tabu list size: 29
it: 46, best value: 107.956, curr value: 94.8711, tabu list size: 29
it: 47, best value: 107.956, curr value: 103.796, tabu list size: 29
it: 48, best value: 107.956, curr value: 97.5723, tabu list size: 28
it: 49, best value: 107.956, curr value: 102.97, tabu list size: 28
it: 50, best value: 107.956, curr value: 98.1342, tabu list size: 28
it: 51, best value: 107.956, curr value: 98.1342, tabu list size: 27
it: 52, best value: 107.956, curr value: 103.886, tabu list size: 27
it: 53, best value: 107.956, curr value: 103.886, tabu list size: 28
it: 54, best value: 107.956, curr value: 98.1342, tabu list size: 28
it: 55, best value: 107.956, curr value: 92.809, tabu list size: 28
it: 56, best value: 107.956, curr value: 97.9613, tabu list size: 28
it: 57, best value: 107.956, curr value: 100.407, tabu list size: 28
it: 58, best value: 107.956, curr value: 106.402, tabu list size: 28
it: 59, best value: 107.956, curr value: 100.957, tabu list size: 28
it: 60, best value: 107.956, curr value: 100.957, tabu list size: 27
it: 61, best value: 107.956, curr value: 95.0928, tabu list size: 27
it: 62, best value: 107.956, curr value: 93.5732, tabu list size: 27
it: 63, best value: 107.956, curr value: 95.0928, tabu list size: 28
it: 64, best value: 107.956, curr value: 93.5732, tabu list size: 27
it: 65, best value: 107.956, curr value: 85.1923, tabu list size: 27
it: 66, best value: 107.956, curr value: 85.1923, tabu list size: 27
it: 67, best value: 107.956, curr value: 80.7496, tabu list size: 27
it: 68, best value: 130.145, curr value: 130.145, tabu list size: 27
it: 69, best value: 134.907, curr value: 134.907, tabu list size: 27
it: 70, best value: 136.116, curr value: 136.116, tabu list size: 28
it: 71, best value: 136.116, curr value: 136.116, tabu list size: 28
it: 72, best value: 136.116, curr value: 133.506, tabu list size: 28
it: 73, best value: 136.116, curr value: 131.917, tabu list size: 28
it: 74, best value: 136.116, curr value: 131.917, tabu list size: 27
it: 75, best value: 136.116, curr value: 124.848, tabu list size: 27
it: 76, best value: 136.116, curr value: 131.917, tabu list size: 27
it: 77, best value: 136.116, curr value: 121.818, tabu list size: 27
it: 78, best value: 136.116, curr value: 131.917, tabu list size: 27
it: 79, best value: 136.116, curr value: 120.321, tabu list size: 27
it: 80, best value: 136.116, curr value: 134.907, tabu list size: 28
it: 81, best value: 136.116, curr value: 130.618, tabu list size: 28
it: 82, best value: 136.116, curr value: 136.116, tabu list size: 28
it: 83, best value: 136.116, curr value: 130.618, tabu list size: 29
it: 84, best value: 136.116, curr value: 134.907, tabu list size: 29
it: 85, best value: 136.116, curr value: 128.598, tabu list size: 29
it: 86, best value: 136.116, curr value: 130.795, tabu list size: 29
it: 87, best value: 136.116, curr value: 117.662, tabu list size: 29
it: 88, best value: 136.116, curr value: 124.731, tabu list size: 29
it: 89, best value: 136.116, curr value: 116.932, tabu list size: 29
it: 90, best value: 136.116, curr value: 129.94, tabu list size: 29
it: 91, best value: 136.116, curr value: 123.062, tabu list size: 29
it: 92, best value: 136.116, curr value: 130.695, tabu list size: 30
it: 93, best value: 138.123, curr value: 138.123, tabu list size: 30
it: 94, best value: 138.123, curr value: 130.795, tabu list size: 30
it: 95, best value: 138.123, curr value: 131.202, tabu list size: 30
it: 96, best value: 138.123, curr value: 130.22, tabu list size: 31
it: 97, best value: 138.123, curr value: 123.419, tabu list size: 31
it: 98, best value: 138.123, curr value: 114.9, tabu list size: 31
it: 99, best value: 138.123, curr value: 123.419, tabu list size: 31
it: 100, best value: 138.123, curr value: 130.22, tabu list size: 30
it: 101, best value: 138.123, curr value: 130.22, tabu list size: 30
it: 102, best value: 138.123, curr value: 119.144, tabu list size: 30
it: 103, best value: 138.123, curr value: 128.598, tabu list size: 30
it: 104, best value: 138.123, curr value: 136.116, tabu list size: 30
it: 105, best value: 138.123, curr value: 136.116, tabu list size: 30
it: 106, best value: 138.123, curr value: 134.907, tabu list size: 31
