candles read:
from: 2017-Dec-13 03:32:00
to: 2023-Apr-12 08:53:00
difference: 1946d 05:21:00.000000
count: 2794419
duration: 3.262039
began: 2023-Apr-21 13:58:09
it: 99, best value: 739.815, curr value: 594.666, tabu list size: 24
it: 100, best value: 739.815, curr value: 727.12, tabu list size: 25
it: 101, best value: 739.815, curr value: 727.12, tabu list size: 25
it: 102, best value: 739.815, curr value: 700.044, tabu list size: 25
it: 103, best value: 739.815, curr value: 739.815, tabu list size: 25
it: 104, best value: 739.815, curr value: 700.044, tabu list size: 25
it: 105, best value: 739.815, curr value: 727.12, tabu list size: 26
it: 106, best value: 739.815, curr value: 610.294, tabu list size: 26
it: 107, best value: 739.815, curr value: 610.294, tabu list size: 27
it: 108, best value: 739.815, curr value: 727.12, tabu list size: 27
it: 109, best value: 739.815, curr value: 696.088, tabu list size: 28
it: 110, best value: 739.815, curr value: 669.3, tabu list size: 28
it: 111, best value: 739.815, curr value: 700.044, tabu list size: 28
it: 112, best value: 739.815, curr value: 685.414, tabu list size: 28
it: 113, best value: 739.815, curr value: 712.358, tabu list size: 28
it: 114, best value: 739.815, curr value: 685.414, tabu list size: 28
it: 115, best value: 739.815, curr value: 727.12, tabu list size: 29
it: 116, best value: 739.815, curr value: 685.414, tabu list size: 30
it: 117, best value: 739.815, curr value: 685.414, tabu list size: 29
it: 118, best value: 739.815, curr value: 685.414, tabu list size: 28
it: 119, best value: 739.815, curr value: 657.718, tabu list size: 28
it: 120, best value: 739.815, curr value: 642.551, tabu list size: 28
it: 121, best value: 739.815, curr value: 657.718, tabu list size: 29
it: 122, best value: 739.815, curr value: 625.061, tabu list size: 29
it: 123, best value: 739.815, curr value: 712.358, tabu list size: 29
it: 124, best value: 739.815, curr value: 685.414, tabu list size: 28
it: 125, best value: 739.815, curr value: 685.414, tabu list size: 27
it: 126, best value: 739.815, curr value: 669.3, tabu list size: 27
it: 127, best value: 739.815, curr value: 696.088, tabu list size: 27
ended: 2023-Apr-21 14:02:18
duration: 4:09.370515
