candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.180138
began: 2023-Apr-20 19:15:40
it: 0, best value: 248.814, curr value: 248.814, tabu list size: 1
it: 1, best value: 265.981, curr value: 265.981, tabu list size: 2
it: 2, best value: 280.926, curr value: 280.926, tabu list size: 3
it: 3, best value: 342.054, curr value: 342.054, tabu list size: 4
it: 4, best value: 396.5, curr value: 396.5, tabu list size: 5
it: 5, best value: 396.5, curr value: 396.5, tabu list size: 6
it: 6, best value: 400.05, curr value: 400.05, tabu list size: 7
it: 7, best value: 421.129, curr value: 421.129, tabu list size: 8
it: 8, best value: 461.461, curr value: 461.461, tabu list size: 9
it: 9, best value: 461.461, curr value: 461.461, tabu list size: 10
it: 10, best value: 461.55, curr value: 461.55, tabu list size: 11
it: 11, best value: 461.55, curr value: 458.438, tabu list size: 12
it: 12, best value: 461.917, curr value: 461.917, tabu list size: 13
it: 13, best value: 470.27, curr value: 470.27, tabu list size: 14
it: 14, best value: 475.586, curr value: 475.586, tabu list size: 15
it: 15, best value: 665.999, curr value: 665.999, tabu list size: 16
it: 16, best value: 672.538, curr value: 672.538, tabu list size: 17
it: 17, best value: 672.538, curr value: 657.632, tabu list size: 18
it: 18, best value: 672.538, curr value: 667.786, tabu list size: 19
it: 19, best value: 681.249, curr value: 681.249, tabu list size: 20
it: 20, best value: 703.288, curr value: 703.288, tabu list size: 21
it: 21, best value: 754.849, curr value: 754.849, tabu list size: 22
it: 22, best value: 754.849, curr value: 730.727, tabu list size: 23
it: 23, best value: 754.849, curr value: 686.71, tabu list size: 24
it: 24, best value: 754.849, curr value: 730.727, tabu list size: 25
it: 25, best value: 754.849, curr value: 730.727, tabu list size: 25
it: 26, best value: 754.849, curr value: 718.324, tabu list size: 26
it: 27, best value: 754.849, curr value: 661.711, tabu list size: 27
it: 28, best value: 754.849, curr value: 718.324, tabu list size: 28
it: 29, best value: 754.849, curr value: 703.918, tabu list size: 28
it: 30, best value: 754.849, curr value: 679.567, tabu list size: 29
