time,sma(1),entry level 1,entry level 2,entry level 3,entry level 4,sma(1)
1578124800,7348.5,6834.11,6613.65,6246.23,5878.8,7348.5
1578128400,7347.41,6833.09,6612.67,6245.3,5877.93,7347.41
1578132000,7354.69,6839.86,6619.22,6251.48,5883.75,7354.69
1578135600,7339.15,6825.41,6605.24,6238.28,5871.32,7339.15
1578139200,7323.99,6811.31,6591.59,6225.39,5859.19,7323.99
1578142800,7323.56,6810.91,6591.2,6225.02,5858.84,7323.56
1578146400,7308.54,6796.94,6577.69,6212.26,5846.83,7308.54
1578150000,7310.16,6798.44,6579.14,6213.63,5848.12,7310.16
1578153600,7317.88,6805.62,6586.09,6220.19,5854.3,7317.88
1578157200,7311.82,6799.99,6580.63,6215.04,5849.45,7311.82
1578160800,7329.25,6816.2,6596.32,6229.86,5863.4,7329.25
1578164400,7333.62,6820.27,6600.26,6233.58,5866.9,7333.62
1578168000,7319.57,6807.2,6587.61,6221.63,5855.66,7319.57
1578171600,7334.82,6821.38,6601.33,6234.59,5867.85,7334.82
1578175200,7347.4,6833.08,6612.66,6245.29,5877.92,7347.4
1578178800,7350.83,6836.27,6615.75,6248.21,5880.67,7350.83
1578182400,7349.02,6834.58,6614.11,6246.66,5879.21,7349.02
1578186000,7368.7,6852.89,6631.83,6263.39,5894.96,7368.7
1578189600,7421.98,6902.44,6679.78,6308.68,5937.58,7421.98
1578193200,7454.84,6933,6709.36,6336.61,5963.87,7454.84
1578196800,7459.31,6937.16,6713.38,6340.41,5967.45,7459.31
1578200400,7468.04,6945.27,6721.23,6347.83,5974.43,7468.04
1578204000,7457.58,6935.54,6711.82,6338.94,5966.06,7457.58
1578207600,7458.67,6936.56,6712.8,6339.87,5966.93,7458.67
1578211200,7458.46,6936.36,6712.61,6339.69,5966.76,7458.46
1578214800,7443.92,6922.85,6699.53,6327.33,5955.14,7443.92
1578218400,7423.65,6903.99,6681.28,6310.1,5938.92,7423.65
1578222000,7419.58,6900.21,6677.62,6306.64,5935.66,7419.58
1578225600,7421.86,6902.33,6679.67,6308.58,5937.49,7421.86
1578229200,7440.42,6919.59,6696.38,6324.35,5952.33,7440.42
1578232800,7440.49,6919.65,6696.44,6324.41,5952.39,7440.49
1578236400,7433.18,6912.86,6689.86,6318.2,5946.54,7433.18
1578240000,7451.86,6930.23,6706.67,6334.08,5961.49,7451.86
1578243600,7465.82,6943.21,6719.24,6345.95,5972.66,7465.82
1578247200,7460.46,6938.22,6714.41,6341.39,5968.36,7460.46
1578250800,7448.5,6927.1,6703.65,6331.22,5958.8,7448.5
1578254400,7439.99,6919.19,6695.99,6323.99,5951.99,7439.99
1578258000,7436.83,6916.25,6693.14,6321.3,5949.46,7436.83
1578261600,7398.02,6880.16,6658.22,6288.31,5918.41,7398.02
1578265200,7356.75,6841.78,6621.08,6253.24,5885.4,7356.75
1578268800,7349.71,6835.23,6614.74,6247.25,5879.77,7349.71
1578272400,7366.97,6851.28,6630.27,6261.92,5893.57,7366.97
1578276000,7399.46,6881.5,6659.51,6289.54,5919.57,7399.46
1578279600,7489.54,6965.27,6740.58,6366.1,5991.63,7489.54
1578283200,7539.81,7012.02,6785.82,6408.83,6031.84,7539.81
1578286800,7535.27,7007.8,6781.75,6404.98,6028.22,7535.27
1578290400,7524.98,6998.23,6772.48,6396.23,6019.98,7524.98
1578294000,7525.34,6998.57,6772.81,6396.54,6020.27,7525.34
1578297600,7515.19,6989.12,6763.67,6387.91,6012.15,7515.19
1578301200,7528.7,7001.69,6775.83,6399.4,6022.96,7528.7
1578304800,7542.04,7014.1,6787.84,6410.74,6033.63,7542.04
1578308400,7556.1,7027.17,6800.49,6422.68,6044.88,7556.1
1578312000,7553.79,7025.02,6798.41,6420.72,6043.03,7553.79
1578315600,7550.85,7022.29,6795.76,6418.22,6040.68,7550.85
1578319200,7543.46,7015.42,6789.12,6411.94,6034.77,7543.46
1578322800,7535,7007.55,6781.5,6404.75,6028,7535
1578326400,7534.43,7007.02,6780.98,6404.26,6027.54,7534.43
1578330000,7525.95,6999.13,6773.36,6397.06,6020.76,7525.95
1578333600,7543.85,7015.78,6789.47,6412.27,6035.08,7543.85
1578337200,7544.44,7016.32,6789.99,6412.77,6035.55,7544.44
1578340800,7537.03,7009.44,6783.32,6406.47,6029.62,7537.03
1578344400,7545.97,7017.75,6791.37,6414.07,6036.78,7545.97
1578348000,7571.31,7041.31,6814.17,6435.61,6057.04,7571.31
