mean fitness,best fitness,population size
176.804245,714.197937,764
293.259284,805.597473,760
375.858766,805.597473,756
460.240419,816.997070,752
499.413852,857.980896,748
522.658076,845.130798,744
508.979309,851.643677,740
515.644576,857.980896,736
520.716787,905.276184,732
541.590884,912.009094,728
557.265704,920.248779,724
591.011405,920.248779,720
600.077992,942.319092,716
605.361720,942.319092,712
609.462643,942.319092,708
614.046582,942.319092,704
608.083835,942.319092,700
615.984777,942.319092,696
621.497717,942.438416,692
636.609020,942.438416,688
629.162454,942.438416,684
644.140331,942.438416,680
654.542624,942.438416,676
658.736182,942.438416,672
647.960848,942.438416,668
651.345991,942.438416,664
643.373655,942.438416,660
657.545831,942.438416,656
641.186364,942.438416,652
647.179346,942.438416,648
641.894240,942.438416,644
642.558243,942.438416,640
655.248829,942.438416,636
620.310342,942.438416,632
643.420761,942.438416,628
644.446215,942.438416,624
654.657995,942.438416,620
645.148438,942.438416,616
624.740177,942.438416,612
633.330600,942.438416,608
