curr state net profit,temperature
4965.754883,57.000000
1398.247681,56.715000
6750.531738,56.431426
3966.188232,56.149269
14673.394531,55.868523
16981.607422,55.589180
4166.298340,55.311235
3469.393066,55.034679
0.000000,54.759506
23991.742188,54.485708
10370.215820,54.213280
370.547852,53.942214
2100.502930,53.672503
1382.906982,53.404141
11868.337891,53.137120
11449.595703,52.871435
29511.207031,52.607078
27638.052734,52.344043
27638.052734,52.082323
28730.144531,51.821912
17711.679688,51.562802
0.000000,51.304989
3115.368652,51.048464
1662.888184,50.793222
13612.064453,50.539256
17527.433594,50.286560
16337.447266,50.035127
9188.790039,49.784952
7542.147461,49.536027
2596.339844,49.288347
7932.705566,49.041906
24725.492188,48.796697
19629.839844,48.552713
2616.357666,48.309950
5544.404785,48.068401
5787.318359,47.828059
23706.763672,47.588919
31409.193359,47.350974
43448.976562,47.114220
43448.976562,46.878649
43448.976562,46.644256
43448.976562,46.411035
36604.718750,46.178980
33484.683594,45.948085
30769.992188,45.718345
31660.382812,45.489753
28685.361328,45.262305
31660.382812,45.035994
36325.535156,44.810814
59656.707031,44.586760
59656.707031,44.363826
59656.707031,44.142007
67977.820312,43.921298
70730.437500,43.701691
63744.199219,43.483183
70730.437500,43.265767
80218.976562,43.049439
77112.210938,42.834192
77112.210938,42.620021
77112.210938,42.406921
72341.640625,42.194887
72341.640625,41.983912
72341.640625,41.773993
77112.210938,41.565123
80218.976562,41.357298
80218.976562,41.150512
80218.976562,40.944759
77112.210938,40.740036
77112.210938,40.536336
69488.703125,40.333654
77112.210938,40.131986
77112.210938,39.931326
80218.976562,39.731670
77112.210938,39.533012
72341.640625,39.335347
72341.640625,39.138670
77112.210938,38.942977
72341.640625,38.748263
80218.976562,38.554521
77112.210938,38.361749
77112.210938,38.169940
77112.210938,37.979091
77112.210938,37.789196
80218.976562,37.600250
77112.210938,37.412249
77112.210938,37.225188
80218.976562,37.039062
77112.210938,36.853867
