candles read:
from: 2018-Apr-17 04:02:00
to: 2023-Apr-12 11:26:00
difference: 1821d 07:24:00.000000
count: 2616803
duration: 3.279372
began: 2023-Apr-21 14:54:50
it: 0, best value: -52.7843, curr value: -52.7843, tabu list size: 1
it: 1, best value: -52.1797, curr value: -52.1797, tabu list size: 2
it: 2, best value: -46.6769, curr value: -46.6769, tabu list size: 3
it: 3, best value: -16.4072, curr value: -16.4072, tabu list size: 4
it: 4, best value: 296.704, curr value: 296.704, tabu list size: 5
it: 5, best value: 443.798, curr value: 443.798, tabu list size: 6
it: 6, best value: 469.029, curr value: 469.029, tabu list size: 7
it: 7, best value: 469.029, curr value: 469.029, tabu list size: 8
it: 8, best value: 487.816, curr value: 487.816, tabu list size: 9
it: 9, best value: 487.816, curr value: 487.816, tabu list size: 10
it: 10, best value: 570.516, curr value: 570.516, tabu list size: 11
it: 11, best value: 572.973, curr value: 572.973, tabu list size: 12
it: 12, best value: 671.62, curr value: 671.62, tabu list size: 13
it: 13, best value: 672.416, curr value: 672.416, tabu list size: 14
it: 14, best value: 700.794, curr value: 700.794, tabu list size: 15
it: 15, best value: 754.849, curr value: 754.849, tabu list size: 16
it: 16, best value: 754.849, curr value: 749.084, tabu list size: 17
it: 17, best value: 754.849, curr value: 741.19, tabu list size: 18
it: 18, best value: 754.849, curr value: 751.445, tabu list size: 19
it: 19, best value: 754.849, curr value: 751.215, tabu list size: 20
it: 20, best value: 754.849, curr value: 751.445, tabu list size: 20
it: 21, best value: 754.849, curr value: 749.789, tabu list size: 21
it: 22, best value: 754.849, curr value: 746.227, tabu list size: 22
it: 23, best value: 754.849, curr value: 685.442, tabu list size: 23
it: 24, best value: 754.849, curr value: 746.227, tabu list size: 24
it: 25, best value: 754.849, curr value: 682.212, tabu list size: 25
it: 26, best value: 754.849, curr value: 746.227, tabu list size: 26
it: 27, best value: 754.849, curr value: 662.161, tabu list size: 27
it: 28, best value: 754.849, curr value: 662.161, tabu list size: 27
it: 29, best value: 754.849, curr value: 651.241, tabu list size: 28
it: 30, best value: 754.849, curr value: 741.013, tabu list size: 29
it: 31, best value: 754.849, curr value: 696.211, tabu list size: 29
it: 32, best value: 754.849, curr value: 749.084, tabu list size: 29
it: 33, best value: 754.849, curr value: 749.084, tabu list size: 29
it: 34, best value: 754.849, curr value: 703.582, tabu list size: 29
it: 35, best value: 754.849, curr value: 754.849, tabu list size: 29
it: 36, best value: 754.849, curr value: 723.199, tabu list size: 29
it: 37, best value: 754.849, curr value: 703.288, tabu list size: 29
it: 38, best value: 754.849, curr value: 730.81, tabu list size: 29
it: 39, best value: 754.849, curr value: 741.19, tabu list size: 28
it: 40, best value: 754.849, curr value: 682.212, tabu list size: 28
it: 41, best value: 754.849, curr value: 686.894, tabu list size: 28
it: 42, best value: 754.849, curr value: 751.445, tabu list size: 28
it: 43, best value: 754.849, curr value: 751.445, tabu list size: 28
it: 44, best value: 754.849, curr value: 751.445, tabu list size: 27
it: 45, best value: 754.849, curr value: 730.81, tabu list size: 27
it: 46, best value: 754.849, curr value: 723.292, tabu list size: 27
it: 47, best value: 754.849, curr value: 754.849, tabu list size: 27
it: 48, best value: 754.849, curr value: 754.849, tabu list size: 27
it: 49, best value: 754.849, curr value: 749.084, tabu list size: 27
it: 50, best value: 754.849, curr value: 741.19, tabu list size: 27
it: 51, best value: 754.849, curr value: 751.445, tabu list size: 27
it: 52, best value: 754.849, curr value: 751.215, tabu list size: 28
it: 53, best value: 754.849, curr value: 686.592, tabu list size: 28
it: 54, best value: 754.849, curr value: 751.445, tabu list size: 28
it: 55, best value: 754.849, curr value: 749.789, tabu list size: 28
it: 56, best value: 754.849, curr value: 746.227, tabu list size: 28
it: 57, best value: 754.849, curr value: 685.442, tabu list size: 28
it: 58, best value: 754.849, curr value: 749.789, tabu list size: 28
it: 59, best value: 754.849, curr value: 686.894, tabu list size: 28
it: 60, best value: 754.849, curr value: 749.789, tabu list size: 29
it: 61, best value: 754.849, curr value: 694.475, tabu list size: 29
it: 62, best value: 754.849, curr value: 666.967, tabu list size: 29
it: 63, best value: 754.849, curr value: 605.525, tabu list size: 30
it: 64, best value: 754.849, curr value: 638.869, tabu list size: 30
it: 65, best value: 754.849, curr value: 730.727, tabu list size: 30
it: 66, best value: 754.849, curr value: 749.084, tabu list size: 29
it: 67, best value: 754.849, curr value: 749.084, tabu list size: 29
it: 68, best value: 754.849, curr value: 703.582, tabu list size: 29
it: 69, best value: 754.849, curr value: 754.849, tabu list size: 29
it: 70, best value: 754.849, curr value: 723.199, tabu list size: 29
it: 71, best value: 754.849, curr value: 754.849, tabu list size: 30
it: 72, best value: 754.849, curr value: 703.582, tabu list size: 30
it: 73, best value: 754.849, curr value: 749.084, tabu list size: 30
it: 74, best value: 754.849, curr value: 696.211, tabu list size: 30
it: 75, best value: 754.849, curr value: 749.084, tabu list size: 30
it: 76, best value: 754.849, curr value: 749.084, tabu list size: 31
it: 77, best value: 754.849, curr value: 659.417, tabu list size: 31
it: 78, best value: 754.849, curr value: 713.552, tabu list size: 31
it: 79, best value: 754.849, curr value: 719.938, tabu list size: 31
it: 80, best value: 754.849, curr value: 754.849, tabu list size: 31
it: 81, best value: 754.849, curr value: 754.849, tabu list size: 31
it: 82, best value: 754.849, curr value: 749.084, tabu list size: 31
it: 83, best value: 754.849, curr value: 741.19, tabu list size: 31
it: 84, best value: 754.849, curr value: 751.445, tabu list size: 31
it: 85, best value: 754.849, curr value: 690.933, tabu list size: 31
it: 86, best value: 754.849, curr value: 678.001, tabu list size: 31
it: 87, best value: 754.849, curr value: 678.001, tabu list size: 30
it: 88, best value: 754.849, curr value: 702.032, tabu list size: 30
it: 89, best value: 754.849, curr value: 711.189, tabu list size: 30
it: 90, best value: 754.849, curr value: 633.229, tabu list size: 30
it: 91, best value: 754.849, curr value: 533.478, tabu list size: 30
it: 92, best value: 754.849, curr value: 526.087, tabu list size: 30
it: 93, best value: 754.849, curr value: 527.686, tabu list size: 30
it: 94, best value: 754.849, curr value: 588.569, tabu list size: 30
it: 95, best value: 754.849, curr value: 596.505, tabu list size: 30
it: 96, best value: 754.849, curr value: 596.313, tabu list size: 30
it: 97, best value: 754.849, curr value: 643.159, tabu list size: 30
it: 98, best value: 754.849, curr value: 626.099, tabu list size: 31
it: 99, best value: 754.849, curr value: 595.626, tabu list size: 31
it: 100, best value: 754.849, curr value: 617.318, tabu list size: 31
it: 101, best value: 754.849, curr value: 617.318, tabu list size: 31
it: 102, best value: 754.849, curr value: 596.505, tabu list size: 31
it: 103, best value: 754.849, curr value: 643.415, tabu list size: 30
it: 104, best value: 754.849, curr value: 658.293, tabu list size: 30
it: 105, best value: 754.849, curr value: 654.195, tabu list size: 30
it: 106, best value: 754.849, curr value: 700.794, tabu list size: 30
it: 107, best value: 754.849, curr value: 666.558, tabu list size: 30
it: 108, best value: 754.849, curr value: 627.946, tabu list size: 30
it: 109, best value: 754.849, curr value: 627.946, tabu list size: 30
it: 110, best value: 754.849, curr value: 589.201, tabu list size: 30
it: 111, best value: 754.849, curr value: 666.558, tabu list size: 30
it: 112, best value: 754.849, curr value: 646.857, tabu list size: 29
it: 113, best value: 754.849, curr value: 645.35, tabu list size: 29
it: 114, best value: 754.849, curr value: 695.262, tabu list size: 29
it: 115, best value: 754.849, curr value: 723.199, tabu list size: 29
it: 116, best value: 754.849, curr value: 691.234, tabu list size: 29
it: 117, best value: 754.849, curr value: 723.199, tabu list size: 29
it: 118, best value: 754.849, curr value: 698.142, tabu list size: 29
it: 119, best value: 754.849, curr value: 600.685, tabu list size: 30
it: 120, best value: 754.849, curr value: 667.031, tabu list size: 30
it: 121, best value: 754.849, curr value: 667.031, tabu list size: 29
it: 122, best value: 754.849, curr value: 659.417, tabu list size: 29
it: 123, best value: 754.849, curr value: 749.084, tabu list size: 30
it: 124, best value: 754.849, curr value: 741.19, tabu list size: 30
it: 125, best value: 754.849, curr value: 751.445, tabu list size: 30
it: 126, best value: 754.849, curr value: 751.215, tabu list size: 30
it: 127, best value: 754.849, curr value: 749.789, tabu list size: 30
ended: 2023-Apr-21 15:00:47
duration: 5:56.706833
