mean fitness,best fitness,population size
205.484142,957.244812,506
351.063490,957.244812,500
423.977601,957.244812,496
531.792480,957.244812,492
592.158487,1047.687256,488
640.061024,1050.313843,484
664.524394,1050.313843,480
658.935638,1063.066528,476
644.611342,1096.771606,472
662.210959,1096.771606,468
672.319435,1096.771606,464
652.892230,1120.108765,460
676.975883,1126.811157,456
721.157611,1126.811157,452
712.749929,1126.811157,448
750.280351,1166.790283,444
766.390240,1166.790283,440
758.930208,1166.790283,436
739.849768,1166.790283,432
764.179659,1166.790283,428
747.305180,1166.790283,424
768.416034,1166.790283,420
791.450183,1166.790283,416
815.986436,1166.790283,412
847.894087,1166.790283,408
857.456763,1166.790283,404
872.681213,1166.790283,400
864.197804,1166.790283,396
859.144730,1166.790283,392
865.029598,1166.790283,388
857.583383,1166.790283,384
871.544621,1166.790283,380
845.846469,1166.790283,376
831.583291,1166.790283,372
851.076697,1166.790283,368
863.137107,1166.790283,364
835.079245,1166.790283,360
872.967905,1166.790283,356
841.443286,1166.790283,352
894.802853,1166.790283,348
830.291105,1166.790283,344
843.394918,1166.790283,340
846.150155,1166.790283,336
857.817721,1166.790283,332
863.652938,1166.790283,328
887.192599,1166.790283,324
848.609021,1166.790283,320
849.285771,1166.790283,316
845.046226,1166.790283,312
846.167908,1166.790283,308
