candles read:
from: 2017-Aug-17 04:00:00
to: 2023-Apr-11 22:10:00
difference: 2063d 18:10:00.000000
count: 2963250
duration: 4.002076
began: 2023-Apr-21 14:20:44
it: 0, best value: -62.6161, curr value: -62.6161, tabu list size: 1
it: 1, best value: -62.6161, curr value: -62.6161, tabu list size: 2
it: 2, best value: -62.5554, curr value: -62.5554, tabu list size: 3
it: 3, best value: -58.4289, curr value: -58.4289, tabu list size: 4
it: 4, best value: -53.8215, curr value: -53.8215, tabu list size: 5
it: 5, best value: -50.5934, curr value: -50.5934, tabu list size: 6
it: 6, best value: -50.5934, curr value: -50.5934, tabu list size: 7
it: 7, best value: 102.664, curr value: 102.664, tabu list size: 8
it: 8, best value: 106.074, curr value: 106.074, tabu list size: 9
it: 9, best value: 117.321, curr value: 117.321, tabu list size: 10
it: 10, best value: 187.017, curr value: 187.017, tabu list size: 11
it: 11, best value: 204.159, curr value: 204.159, tabu list size: 12
it: 12, best value: 204.159, curr value: 204.159, tabu list size: 13
it: 13, best value: 215.525, curr value: 215.525, tabu list size: 14
it: 14, best value: 234.024, curr value: 234.024, tabu list size: 15
it: 15, best value: 236.586, curr value: 236.586, tabu list size: 16
it: 16, best value: 264.998, curr value: 264.998, tabu list size: 17
it: 17, best value: 283.593, curr value: 283.593, tabu list size: 18
it: 18, best value: 305.034, curr value: 305.034, tabu list size: 19
it: 19, best value: 305.034, curr value: 286.441, tabu list size: 20
it: 20, best value: 305.034, curr value: 285.309, tabu list size: 21
it: 21, best value: 305.034, curr value: 286.441, tabu list size: 22
it: 22, best value: 305.034, curr value: 305.034, tabu list size: 23
it: 23, best value: 305.034, curr value: 286.587, tabu list size: 24
it: 24, best value: 305.034, curr value: 305.034, tabu list size: 24
it: 25, best value: 305.034, curr value: 285.309, tabu list size: 24
it: 26, best value: 305.034, curr value: 305.034, tabu list size: 23
it: 27, best value: 305.034, curr value: 305.034, tabu list size: 23
it: 28, best value: 305.034, curr value: 305.034, tabu list size: 22
it: 29, best value: 305.034, curr value: 282.904, tabu list size: 22
it: 30, best value: 305.034, curr value: 264.219, tabu list size: 22
it: 31, best value: 305.034, curr value: 257.381, tabu list size: 22
it: 32, best value: 305.034, curr value: 252.276, tabu list size: 22
it: 33, best value: 305.034, curr value: 275.735, tabu list size: 22
