candles read:
from: 2019-Jul-05 12:00:00
to: 2023-Apr-12 10:59:00
difference: 1376d 22:59:00.000000
count: 1979751
duration: 3.729242
began: 2023-Apr-21 13:50:50
it: 94, best value: 1309.3, curr value: 1277.38, tabu list size: 30
it: 95, best value: 1309.3, curr value: 1285.46, tabu list size: 30
it: 96, best value: 1309.3, curr value: 1306.8, tabu list size: 30
it: 97, best value: 1309.3, curr value: 1285.46, tabu list size: 30
it: 98, best value: 1309.3, curr value: 1291.61, tabu list size: 31
it: 99, best value: 1309.3, curr value: 1285.46, tabu list size: 31
it: 100, best value: 1309.3, curr value: 1277.93, tabu list size: 31
it: 101, best value: 1309.3, curr value: 1292.8, tabu list size: 31
it: 102, best value: 1309.3, curr value: 1291.13, tabu list size: 30
it: 103, best value: 1309.3, curr value: 1292.8, tabu list size: 29
it: 104, best value: 1309.3, curr value: 1291.13, tabu list size: 28
it: 105, best value: 1309.3, curr value: 1291.13, tabu list size: 28
it: 106, best value: 1309.3, curr value: 1292.8, tabu list size: 27
it: 107, best value: 1309.3, curr value: 1292.8, tabu list size: 27
it: 108, best value: 1309.3, curr value: 1292.8, tabu list size: 27
it: 109, best value: 1309.3, curr value: 1277.93, tabu list size: 27
it: 110, best value: 1309.3, curr value: 1277.93, tabu list size: 26
it: 111, best value: 1309.3, curr value: 1260.71, tabu list size: 26
it: 112, best value: 1309.3, curr value: 1306.8, tabu list size: 26
it: 113, best value: 1309.3, curr value: 1309.3, tabu list size: 26
it: 114, best value: 1309.3, curr value: 1309.3, tabu list size: 25
it: 115, best value: 1309.3, curr value: 1292.8, tabu list size: 25
it: 116, best value: 1309.3, curr value: 1241.27, tabu list size: 25
it: 117, best value: 1309.3, curr value: 1277.38, tabu list size: 25
it: 118, best value: 1309.3, curr value: 1272.17, tabu list size: 26
it: 119, best value: 1309.3, curr value: 1260.71, tabu list size: 26
it: 120, best value: 1309.3, curr value: 1272.17, tabu list size: 26
it: 121, best value: 1309.3, curr value: 1260.23, tabu list size: 26
it: 122, best value: 1309.3, curr value: 1249.72, tabu list size: 26
it: 123, best value: 1309.3, curr value: 1285.46, tabu list size: 26
it: 124, best value: 1309.3, curr value: 1260.23, tabu list size: 26
it: 125, best value: 1309.3, curr value: 1260.71, tabu list size: 25
it: 126, best value: 1309.3, curr value: 1291.61, tabu list size: 25
it: 127, best value: 1309.3, curr value: 1272.17, tabu list size: 25
ended: 2023-Apr-21 13:53:29
duration: 2:38.761405
