candles read:
from: 2018-Jan-04 00:00:00
to: 2022-Oct-29 18:00:00
difference: 1759d 18:00:00.000000
count: 2524282
duration: 4.411359s
it: 0, population size: 510, mean fitness: 219.594, best fitness: 822.065
it: 1, population size: 508, mean fitness: 378.642, best fitness: 838.338
it: 2, population size: 506, mean fitness: 453.434, best fitness: 932.449
it: 3, population size: 504, mean fitness: 511.968, best fitness: 928.396
it: 4, population size: 502, mean fitness: 537.118, best fitness: 967.674
it: 5, population size: 500, mean fitness: 546.019, best fitness: 967.674
it: 6, population size: 498, mean fitness: 565.993, best fitness: 967.674
it: 7, population size: 496, mean fitness: 576.13, best fitness: 967.674
it: 8, population size: 494, mean fitness: 576.628, best fitness: 967.674
it: 9, population size: 492, mean fitness: 603.44, best fitness: 967.674
it: 10, population size: 490, mean fitness: 610.626, best fitness: 978.905
it: 11, population size: 488, mean fitness: 616.551, best fitness: 971.462
it: 12, population size: 486, mean fitness: 637.684, best fitness: 1008.23
it: 13, population size: 484, mean fitness: 639.481, best fitness: 1008.23
it: 14, population size: 482, mean fitness: 643.018, best fitness: 1009.7
it: 15, population size: 480, mean fitness: 655.045, best fitness: 1009.7
it: 16, population size: 478, mean fitness: 667.101, best fitness: 1038.02
it: 17, population size: 476, mean fitness: 657.021, best fitness: 1038.02
it: 18, population size: 474, mean fitness: 653.07, best fitness: 1038.02
it: 19, population size: 472, mean fitness: 670.538, best fitness: 1038.02
it: 20, population size: 470, mean fitness: 662.929, best fitness: 1046.1
it: 21, population size: 468, mean fitness: 644.664, best fitness: 1038.02
it: 22, population size: 466, mean fitness: 655.437, best fitness: 1038.02
it: 23, population size: 464, mean fitness: 643.209, best fitness: 1038.75
it: 24, population size: 462, mean fitness: 648.851, best fitness: 1038.02
it: 25, population size: 460, mean fitness: 654.765, best fitness: 1054.99
it: 26, population size: 458, mean fitness: 660.375, best fitness: 1058.87
it: 27, population size: 456, mean fitness: 679.316, best fitness: 1054.99
it: 28, population size: 454, mean fitness: 689.437, best fitness: 1058.87
it: 29, population size: 452, mean fitness: 716.508, best fitness: 1058.87
it: 30, population size: 450, mean fitness: 668.849, best fitness: 1058.87
it: 31, population size: 448, mean fitness: 694.836, best fitness: 1059.77
it: 32, population size: 446, mean fitness: 709.636, best fitness: 1059.77
it: 33, population size: 444, mean fitness: 706.286, best fitness: 1085.93
it: 34, population size: 442, mean fitness: 718.806, best fitness: 1085.93
it: 35, population size: 440, mean fitness: 726.286, best fitness: 1085.93
it: 36, population size: 438, mean fitness: 705.909, best fitness: 1091.6
it: 37, population size: 436, mean fitness: 723.779, best fitness: 1098.15
it: 38, population size: 434, mean fitness: 714.246, best fitness: 1091.6
it: 39, population size: 432, mean fitness: 687.562, best fitness: 1102.62
duration: 7:24.080337
